id	title	author	date	a	b	2	3	5	6	7
260788	Tales from Shakespeare, designed for the use of young persons. By Charles Lamb. In two volumes. Vol. I.	Lamb, Charles	1813	['Author (text)']		['By Charles Lamb.']	['Title page']	['Male']		
260790	Shakespeare's jest book.		1814	['Author (paratext)']		['The editor.']	['To the reader']	['Indeterminate']		
260795	Tales of my landlord, third series, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1819	['Editor (text)']		['collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh']	['Title page']	['Male']	['Male']	
260799	The Scottish chiefs, a romance. In five volumes. By Miss Jane Porter, author of Thaddeus of Warsaw, and remarks on Sidney's aphorisms. Second edition. Vol. I.	Porter, Jane	1811	['Author (text)']		["By Miss Jane Porter, author of Thaddeus of Warsaw, and remarks on Sidney's aphorisms."]	['Title page']	['Female']	['Female']	
260800	The spirit of ""the book;"" or, memoirs of Caroline Princess of Hasborough, a political and amatory romance. In three volumes. Vol. I. Edited by Thomas Ashe, Esq.		1811	['Editor (text)']		['Edited by Thomas Ashe, Esq.']	['Title page']	['Male']	['Male']	
260807	The heroine, or adventures of Cherubina, by Eaton Stannard Barrett, Esq.  Third edition.  In three volumes.  Vol. I.	Barrett, Eaton Stannard	1815	['Author (text)']		['By Eaton Stannard Barrett, Esq.']	['Title page']	['Male']		
260818	The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I.		1810	['Author (paratext)']	['Generic/Descriptive']	['An english-woman.']	['Preface']	['Female']	['Unknown']	
260822	The life and advenutres of Peter Wilkins, a Cornish man: taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector.  By R.S., a passenger in the Hector.  In two volumes.  Vol. I.  A new edition, embellished with engravings.	Paltock, Robert	1816	['Author (paratext)']		["Madam, your ladyship's most obliged and most obedient servant, -- R.P."]	['Title page']	['Indeterminate']		
260826	Rhoda: A Novel. By the Author of ""Things by their right names,"" ""Plain sense,"" &c. Second Edition. In three volumes. Vol. I.	Jacson, Frances	1816	['Author (text)']	['Reference to other works']	['Author of ""Things by their right names,"" ""Plain sense,"" &c.']	['Title page']	['Indeterminate']	['Female"']	
260827	Charenton; or, the follies of the age: A philosophical romance. By M. De Lourdoueix. Translated from the french.	De Lourdoueix, M	1818	['Translator (paratext)']	['Generic/Descriptive']	["Translator's Preface"]	['Preface']	['Indeterminate']	['Unknown']	
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Author (text)']	['Reference to other works']	['the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary.""']	['Title page']	['Indeterminate']	['Male"']	
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['Author (text)']	['Reference to other works']	['the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary.""']	['Title page']	['Indeterminate']	['Male"']	
260843		Roche, Regina Maria	1815	['Author (text)']	['Reference to other works']	['Author of ""London Tales,"" or ""Reflective Portraits,"" ""The Moor,"" ""Plain Tales;"" &c.']	['Title page']	['Indeterminate']	['Female"']	
260852	Six Weeks at Long's. By a late resident. Second edition. In three volumes. Vol. I.	Barrett, Eaton Stannard	1817	['Author (text)']	['Generic/Descriptive']	['Printed for the author']	['Title page']	['Indeterminate']	['Male']	
260858	The Scottish Adventurers, or, The Way to Rise; An historical tale. By Hector Macneill, Esq. In Two Volumes. Vol. I.	Macneill, Hector	1812	['Author (paratext)']	['Genertic/Descriptive']	['I remain, My Dear Sir, Yours most faithfully, THE AUTHOR.']	['Dedication']	['Indeterminate']	['Male']	
260869	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. I.	Richardson, Samuel	1810	['Author (text)']		['A new edition, with the last corrections by the author.']	['Title page']	['Indeterminate']	['Male']	
260870	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XIV.	Richardson, Samuel	1810	['Author (text)']	['Proper name']	['By Mr. Samuel Richardson, author of Pamela and Clarissa.']	['Title page']	['Male']		
260871	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XVI.	Defoe, Daniel	1810	['Author (text)']		['Written by himself']	['Title page']	['Male']		
260872	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. XVIII.	Fielding, Henry	1810	['Author (text)']		['By Henry Fielding, Esq.']	['Title page']	['Male']	['Male']	
260873	The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld. Vol. XIX.	Fielding, Henry	1810	['Author (text)']	['Proper name']	['By Henry Fielding, Esq.']	['Title page']	['Male']	['Male']	
260874	The old English Baron. A gothic story. The  castle of Otranto. A gothic story. By Horace Walpole. Earl of Orford	Reeve, Clara	1810	['Author (text)']		['By Horace Walpole, Earl of Orford']	['Title page']	['Male']	['Male']	
260875	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIII.	Coventry, Francis	1810	['Author (text)']		['By Dr. Goldsmith.']	['Title page']	['Male']		
260876	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIIII.	Lennox, Charlotte	1810	['Author (text)']		['By Mrs. Lennox']	['Title page']	['Female']	['Female']	
260877	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXVI.	Johnson, Samuel	1810	['Author (text)']		['By Dr. Hawkesworth.']	['Title page']	['Male']	['Male']	
260879	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXVIII.	Inchbald	1810	['Author (text)']		['By Mrs. Inchbald.']	['Title page']	['Female']		
260880	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIX.	Mackenzie, Henry	1810	['Author (text)']	['Proper name']	['By Henry Mackenzie, Esq.']	['Title page']	['Male']		
260881	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXX.	Smollett, Tobias George	1810	['Author (text)']		['By the author of Roderick Random']	['Title page']	['Indeterminate']	['Male']	
260883	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXIV.	Moore, John	1810	['Author (text)']		['By Dr. Moore']	['Title page']	['Male']	['Male']	
260884	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXXVI.	Smith, Charlotte Turner	1810	['Author (text)']		['By Charlotte Smith']	['Title page']	['Female']	['Female']	
260885	Evelina; or the history of a young lady's introduction to the world. In two volumes. Vol. I.	Burney, Fanny	1810	['Editor (text)']		['The British novelists: with an essay; and prefaces, biographical and critical, by Mrs. Barbauld']	['Title page']	['Female']	['Female']	
260886	Cecilia; or, memoirs of an heiress. By the author of Evelina. In three volumes. Vol. I.	Burney, Fanny	1810	['Author (text)']		['By the author of Evelina']	['Title page']	['Indeterminate']	['Female']	
260887	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XLIV.	Radcliffe, Ann Ward	1810	['Author (text)']		['Interspersed with some pieces of poetry by the authoress of ""A Sicilian romance""']	['Title page']	['Female']	['Female"']	
260888	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XLV.	Radcliffe, Ann Ward	1810	['Author (text)']		['By Ann Radcliffe.']	['Title page']	['Female']	['Female']	
260894	A month in town; a satirical novel. By Humphrey Hedgehog, Esq. Author of ""The General-post bag,"" ""Rejected odes,"" &c. &c. &c. ""Velute in speculum."" In three volumes. Volume I. Third edition, corrected, with new preface, &c.	Agg, John	1816	['Author (text)']		['By Humphrey Hedgehog, Esq. Author of ""The general-post bag,"" ""Rejected odes,"" &c. &c. &c.']	['Title page']	['Male']	['Male"']	
260900	A year and a day. A novel. In two volumes. By Madame Panache, author of Manners	Brooke, Frances	1818	['Author (text)']		['By Madame Panache, author of Manners.']	['Title page']	['Female']	['Female']	
260907	The cottagers of Glenburnie. A Tale, for the farmer's fire-side. By Elizabeth Hamilton, Author of the Elementary Principles of Education, Memoirs of Modern Philosophers, &c.	Hamilton, Elizabeth	1812	['Author (paratext)']	['Generic/Descriptive']	['Your obedient and faithful humble servant, THE AUTHOR']	['Dedication']	['Indeterminate']	['Female']	
260910	The juvenile spectator: being observations of the tempers, manners, and foibles of various young persons; interspersed with such lively matter as it is presumed will amuse as well as instruct. By Arabella Argus.	Argus, Arabella	1810	['Author (text)']		['By Arabella Argus']	['Title page']	['Female']	['Female']	
260919	The Balance of Comfort; or the Old Maid and Married Woman. A Novell. In Three Volumes. By Mrs. Ross, Author of The Marchioness, The Cousins, Family Estate, Modern Calypso, Paired - Not Matched, &c. Vol. I.	Ross	1817	['Author (text)']	['Reference to other works']	['Author of The Marchioness, The Cousins, Family Estate, Modern Calypso, Paired - Not Matched, &c.']	['Title Page']	['Indeterminate']	['Indeterminate']	
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Translator (text)', 'Author (paratext)']		['Preface by the translator']	['Preface']	['Indeterminate']		
260931	An antidote to the miseries of human life, in the history of the widow Placid, and her daughter Rachel. By Harriet Corp, author of A Sequel to the Antidote to the Miseries of Human Life, Talents Improved, Cottage Sketches, Familiar Scenes, &c.	Corp, Harriet	1814	['Author (paratext)']	['Generic/Descriptive']	['The Author cannot but feel flattered at the favourable reception of this little Work has received...']	['Advertisement']	['Indeterminate']	['Female']	
260933	Adelaide: or, The Countercharm. A Novel. In Five Volumes. By the author of ""Santo Sebastiano ; or, the Young Protector:"" ""Romance of the Pyrenees:"" and ""The Forest of Montalbano."" Vol. V.	Cuthbertson, Catherine	1813	['Author (text)']	['Reference to other works']	['By the author of ""Santo Sebastiano ; or, the Young Protector:"" ""Romance of the Pyrenees:"" and ""The Forest of Montalbano.""']	['Title Page']	['Indeterminate"']		
260943	Clan-Albin: A National Tale. In Four Volumes. The Second Edition. Vol. I	Johnstone, C. I	1815	['Author (text)']	['Generic/Descriptive']	['The indulgence with which this National Tale has been received, gives the Author confidence to gratify her original wish....']	['Dedication']	['Female']	['Unknown']	
260945	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['Editor (paratext)']	['Generic/Descriptive']	['']	["Editor's Note"]	['Male']	['Indeterminate']	
260946	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['Editor (paratext)']	['Generic/Descriptive']	['']	["Editor's Note"]	['Male']	['Indeterminate']	
260958	Forman. A Tale. In Three Volumes. Vol. I.	Moysey, Abel	1819	['Author (paratext)']	['Generic/Descriptive']	['the Author']	['Preface']	['Male']	['Male']	
260973	Cava of Toledo; Or, The Gothic Princess. A Romance. In Five Volumes. By Augusta Amelia Stuart, author of Ludovico's Tale; The English Brothers; Exile of Portugal, &c. &c. Vol. I.	Stuart, Augusta Amelia	1812	['Author (paratext)']	['Generic/Descriptive']	['The author of the following sheets...']	['Preface']	['Female']	['Female']	
261013	O'Donnel. A National Tale. By Lady Morgan (Late Miss Owenson) Author of the Wild Irish Girl; Novice of St. Dominick, &c. In Three Volumes. Vol. I.	Morgan	1814	['Author (text)']	['References to other works']	['Author of The Wild Irish Girl; Novice of St. Dominick, &c.']	['Title Page']	['Indeterminate']	['Female']	
261018	The adventures of Uncle Sam, in search after his lost honor. By Frederick Augustus Fidfaddy, Esq. Member of the legion of honor, scratch-etary to Uncle Sam and privy counsellor to himself.	Fidfaddy, Frederick Augustus	1816	['Author (text)']	['Generic/Descriptive']	['Member of the legion of honor, scratch-etary to Uncle Sam and privy counsellor to himself.']	['Title page']	['Male']	['Male']	
261031	Sarah, or the exemplary wife. By Susanna Rowson, Author of Charlotte Temple, Reuben and Rachel, Fille de Chambre, &c. &c.	Rowson	1813	['Author (text)']	['Reference to other works']	['Author of Charlotte Temple, Reuben and Rachel, Fille de Chambre, &c. &c']	['Title page']	['Indeterminate']	['Female']	
261036	Adelaide. A new and original novel. By a lady of Philadelphia. [Epigraph.] In two volumes. Vol. I.	Botsford	1816	['Author (paratext)']	['Generic/descriptive']	['The authoress']	['Introduction']	['Female']	['Female']	['Margaret Botsford']
261039	The Common Reader, Consisting of a Variety of Pieces, Original and Selected, Intended for the use of schools, and particularly calculated for the improvement of scholars of the first &  second classes in the art of reading. By T. Strong, A.M.	Strong, Titus	1818	['Compiler']	['Generic/Descriptive']	['The Compiler has long been impressed...']	['Preface']	['Male']	['Unknown']	
261042	Keep cool, a novel. Written in Hot Weather. By Somebody, M.D.C. &c. &c. &c. Author of sundry works of great merit -- Never published, or read, From His-Story. Reviewed by -- Himself -- ""Esquire."" In Two Volumes. Vol. I.	Neal, John	1817	['Author (paratext)']	['Generic/Descriptive']	['this novel was written when the author felt that occupation was happiness...']	['Advertisement']	['Male']	['Indeterminate']	
261044		Finch, John	1812	['Author (paratext)']	['Generic/Descriptive']	['Charles Clinton, Clerk of the District of New York.']	['Note']	['Indeterminate']	['Male']	
261053	Comic Dramas, in Three Acts. By Maria Edgeworth, Author of ""Tales of Fashionable Life,"" &c. &c.	Edgeworth, Maria	1817	['Author (text)']	['Reference to other works']	['Author of ""Tales of Fashionable Life""']	['Title Page']	['Indeterminate']	['Female"']	
261066	Sancho, or The Proverbialist. Third Edition.	Cunningham, J. W	1817	['Author (paratext)']	['Generic/Descriptive']	['The Author of this little work']	['Preface']	['Male']	['Male']	
261078	Sentimental anecdotes, by Madame de Montolieu, Author of ""Tales,"" ""Caroline of Lichfield,"" &c. &c. &c. Translated from the French by Mrs. Plunkett, Formerly Miss Gunning. Two volumes in one.	Montolieu, Isabelle de	1812	['Author (text)']	['Reference to other works']	['Author of ""Tales,"" ""Caroline of Lichfield,"" &c. &c. &c.']	['Title page']	['Female']	['Female"']	
261079	Think before you speak, or, The three wishes. A tale. By the author of The peacock at home.	Dorset, Catherine Ann Turner	1810	['Author (text)']				['Indeterminate']		
261089	The Absentee: a Tale. By Miss Edgeworth, author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, Tales of Fashionable Life, &c. In two volumes. Vol. I	Edgeworth, Maria	1812	['Author (text)']	['Reference to other works']	['By Miss Edgeworth, author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, Tales of Fashionable Life, &c']	['Title Page']	['Female']		
261095	True stories, from ancient history: chronologically arranged. From the creation of the world to the death of Charlemagne. By the author of ""Always Happy,"" & c.	Budden, Maria Elizabeth	1819	['Author (paratext)']	['Generic/Descriptive']	['The Author']	['Dedication']	['Female']		
276045	A year and a day. A novel. In two volumes. By Madame Panache, author of Manners	Brooke, Frances	1818	['Author (text)']		['By Madame Panache, author of Manners.']	['Title page']	['Female']	['Female']	
276046	Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c.	West	1814	['Author (text)']		['By the author of ""The Loyalists,"" &c.']	['Title page']	['Indeterminate"']		
276061	Peveril of the peak. By the author of ""Waverly, Kenilworth,"" &c. In three volumes. Vol. I	Scott, Walter	1823	['Author (text)']	['Reference to other works']	['By the author of ""Waverly, Kenilworth,"" &c.']	['Title page']	['Indeterminate"']		
276063	Patronage. By Maria Edgeworth, author of ""Tales of a fashionable life,"" ""Belinda,"" ""Leonora,"" &c. In four volumes. Vol. I.	Edgeworth, Maria	1814	['Author (paratext)']		['Richard Lovell Edgeworth.']	['To the reader']	['Male']		
276072	Modern chivalry: containing the adventures of a captain and Teague O'Regan, his servant. By H. H. Brackenridge, late a judge of the Supreme Court of Pennsylvania. With the last corrections and additions of the author. Vol. I.	Brackenridge, H. H	1819	['Author (text)']	['Proper name', 'Generic/Descriptive']	['By H. H. Brackenridge, late a judge of the Supreme Court of Pennsylvania']	['Title page']	['Male']		
276075	Midnight weddings. A novel. In three volumes.	Meeke, Mary	1814	['Author (text)']		['By Mrs. Meeke, author of Conscience, Matrimony, Amazement, &c.']	['Title page']	['Female']		
276092	Duty, a novel, by the late Mrs. Roberts, author of "" Rose and Emily:"" Interspersed with poetry and preceded by a character of the author by (Mrs. Opie). In three volumes.	Roberts	1814	['Author (paratext)', 'Author (text)']		['Interspersed with the poetry and preceded by a character of the author by Mrs. Opie']	['Title page', 'Preface', 'Post-manuscript note']	['Female']		
276093	Corasmin, or, the minister; A romance. In three volumes. By the author of the Swiss emigrants. Volume I.	Murray, Hugh	1814	['Author (text)']	['Reference to other works']	['By the author of The Swiss emigrants.']	['Title page']	['Indeterminate"']		
276097	Christabelle, the maid of Rouen. A novel, founded on facts. By Mrs. Hanway, author of ""Ellinor,"" ""Andrew Stuart,"" and ""Falconbridge Abbey.""	Hanway, Mary Ann	1814	['Author (text)']	['Reference to other works']	['By Mrs. Hanway, author of ""Ellinor,"" ""Andrew Stuart,"" and ""Falconbridge Abbey.""']	['Title page']	['Female"']		
276109	The wanderer; or, female difficulties. By the author of Evelina; Cecilia; and Camilla. In five volumes. Vol. I.	Burney, Fanny	1814	['Author (text)']	['Reference to other works']	['By the author of Evelina; Cecilia ; and Camilla']	['Title page']	['Indeterminate']		
276110	The wanderer, or, female difficulties. By Madame d'Arblay, author of Evelina; Cecilia; and Camilla. Three volumes. Vol. I	Burney, Fanny	1814	['Author (text)']	['Reference to other works']	["By Madame D'Arblay, author of Evelina; Cecilia ; and Camilla"]	['Title page']	['Female']		
276114	The recluse of Norway by Miss Anna Maria Porter. In four volumes. Vol. I. 	Porter, Anna Maria	1814	['Author (text)']		['By Miss Anna Maria Porter']	['Title page']	['Female']		
