id	title	author	date	type	transcription	notes	position	vol
260696	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.	Kirkby, John	1745	['Dedication']	['To the right honourable Lewis, Earl and Baron of Rockingham, Viscount Sonds, Baron of Throwley, and Baronet, Lord Lieutenant and Custos Rotulorum of the County of Kent']		['Front']	
260697	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.	Arbuthnot, Archibald	1746	['Preface']	['The preface.']		['Front']	
260698	The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.		1744	['Preface']	['The preface']		['Front']	
260699	Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.	Fielding, Sarah	1747	['Preface']	['Preface: Written by a friend of the author.']		['Front']	
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Errata']	['Errata']		['Back']	
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Errata']	['Errata']		['Back']	
260702	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.	Haywood, Eliza Fowler	1746	['Dedication', 'Letter']	["To the right honourable Col. Stanley, one of his majesty's privy-council of the kingdom of Ireland."]		['Middle']	
260703	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Introduction']	['Introduction']		['Front']	
260704	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Introduction']	['Introduction']		['Front']	
260705	The unfortunate concubines. The history of fair Rosamond, mistress to Henry II. And Jane Shore, concubine to Edward IV, King of England. Shewing how they came to be so. With their lives, remarkable actions, and unhappy ends. Extracted from eminent records, and the whole illustrated with cuts suitable to each subject. ( Price bound one shilling)		1748	['Preface']	['The preface']		['Front']	
260706	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	Fielding, Henry	1749	['Table of contents']	['Contents of the [volume number] volume.']	['Each book and chapter is appended by a one-sentence description or summary. Some appear satirical (e.g. ""Containing matters which will surprize the reader,"" ""Containing what the reader may perhaps expect to find in it,"" etc.)."']	['Front']	['v.1', 'v.2', 'v.3', 'v.4', 'v.5', 'v.6']
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Dedication', 'Letter']	['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']	['First sentence reads: Sir, notwithstanding your constant refusal, when I have asked leave to prefix your name to this dedication, I must still insist on my right to desire your protection of this work.', 'Signed Sir, your most obliged, obedient humble servant, Henry Fielding.']	['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the fifth volume.']		['Front']	
260709	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.	Fielding, Sarah	1749	['Dedication', 'Letter']	['To the honourable Mrs. Poyntz.']		['Front']	
260710	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.		1749	['Preface', 'To the reader']	['Preface to the reader']		['Front']	
260711	The history of the human heart: or, the adventures of a young gentleman.		1749	['Introduction']	['The introduction']		['Front']	
260712	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260713	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260715	Miscellanies by Henry Fielding Esq; in three volumes.	Fielding, Henry	1743	['Table of contents']	['Contents']		['Front']	['v.3']
260719	The history of a fair Greek, who was taken out of a seraglio at Constantinople, and brought to Paris by a late ambassador at the Ottoman Port: interspersed with the surprising adventures of several other slaves. By Abbot Provost. Almoner to his serene highness the Prince of Conti. Vol. I.	PreÃÅvost, abbeÃÅ	1741	['Preface']	['Preface.']		['Front']	
260720	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esquire. The third edition, illustrated with cuts. In two volumes. Vol. II.	Fielding, Henry	1743	['Preface']	['Preface.']		['Front']	
260721		Fielding, Henry	1742	['Errata']	['Errata']		['Front']	
260724	The Polite Correspondence: Or, Rational Amusement; Being a Series of Letters, Philosophical, Poetrical, Historical, Critical, Amorous, Moral, and Satyrical. Wherein are introduc'd a great Variety of instructive and delightful incidents, both in  Profe and Verfe.	Campbell, John	1740	['Table of contents']	['The Table of Contents']		['Back']	
260813	The history of Tom Jones, a foundling. Vol. IV. By Henry Fielding, Esq.	Fielding, Henry	1749	['Dedication', 'Letter']	['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']		['Front']	
260864	The travels and adventures of Mademoiselle de Richelieu. Cousin to the present Duke of that name. Who made the tour of Europe, dressed in men's cloaths, attended by her maid Lucy as her valet de chambre. Now done into English from the Lady's own manuscript. By the translator of the memoirs and adventures of the Marques of Bretagne and Duke of Harcourt. Vol. I.	Erskine	1744	['Errata']	['Errata']		['Front']	
260865	The adventures of Roderick Random. In two volumes. Vol. I. The second edition.	Smollett, Tobias George	1748	['Preface']	['The preface']			['v.1']
260908	Ascanius: or, the young adventurer; a true history. Translated from a manuscript privately handed about at the court of Versailles. Containing, a particular account of all that happen'd to a certain person during his wanderings in the North, from his first arrival there, in August 1745, to his final escape September 19, in the following year. The whole introduced with a more critical and candid history of the rise, progress, and extinction of the late rebellion, than any yet publish'[d; and interspersed with remarks on the characters of the principal persons who appear'd in the interest of Ascanius; particularly the celebrated Miss Cameron; Miss Mac Donald, the Duke of Perth the Earl of Kilmarnock, Messieurs Sherridan and Sullvan, &c. &c.	Griffiths, Ralph	1746	['Introduction']	["The translator's introduction"]		['Front']	
260913	The fair moralist. Or, love and virtue. A novel. By Mrs. Charlotte McCarthy. The second edition, corrected, and improv'd. To which is added, the author's observations, or, a looking-glass for the fair sex. Also several additional poems, never before publish'd. By the same.	McCarthy, Charlotte	1746	['Preface']	["Preface design'd for the edition."]		['Front']	
260921	The adventures of Roderick Random. Vol. I.	Smollett, Tobias George	1748	['Preface']	['The preface']			['v.1']
260923	The true anti-Pamela: or, memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. Interspers'd with many curious and entertaining love-letters which passed between them. The second edition, carefully revised. [ Price three shillings.]		1742	['Dedication']	['To Dr. Galen']		['Front']	
260926	Grecian tales: or, the entertaining adventures of Neoptolemus, son of Achilles. Translated from the French.	Chansierges	1742	['Preface']	['Preface.']		['Front']	
260957	Miscellaneous amusements for the year MDCCXLIV, or, the world turn'd inside out. Being reflections on men, manners and opinions. Adapted to the present times. By the author of a late well-receiv'd pamphlet. Vol. I.	Sedgewick, O	1744	['To the reader']	['To the ladies.']		['Front']	
260965	Two humorous novels, viz. I. A diverting dialogue between Scipio and Bergansa, two dogs belonging to the Hospital of the Resurrection, in the city of Valladolid, giving an account of their lives and various adventures; interspers'd  with their reflexions and sentiments on the lives, characters, humours and employments of the different masters they liv'd with. II. The comical history of Rinconete and Cortadillo. Both written by the celebrated author of Don Quixote. And now first translated from the Spanish original. The second edition.	Cervantes Saavedra, Miguel de	1742	['Dedication', 'Letter']	['To the right honourable Philip Earl of Chesterfield; the right honourable Theophilus Earl of Huntingdon; and Rowland Cotton, Esq;  governors. The reverend Mr. Fletcher, the reverend Mr. Beach, and Mr. John Bower,  masters of Repton School in the county of Derby.']		['Front']	
260971	The history of John Bull. Part III. Containing, among many other curious particulars, a faithful narrative of the most secret and important transactions of the worshipful and ancient family of the Bulls, from August 1, 1714 to June 11, 1727. Publish'd from the manuscripts of that learned and celebrated biographer, the late Sir Humphry Polesworth, author of the first and second parts of this work, publish'd in 1712. By Nathan Polesworth, Sir Humphry's nephew and sole executor.		1744	['Preface']	['The preface.']		['Front']	
260987	Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, then a captain of several ships. Vol. I.	Swift, Jonathan	1748	['To the reader']	['The publisher to the reader']		['Front']	
260989	The life and exploits of the ingenious gentleman Don Quixote de la Mancha . Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, Esq; in four volumes Volume the first.	Cervantes Saavedra, Miguel de	1747	['Preface']	["The translator's preface"]		['Front']	
260994	Miscellanies. In four volumes. By Dr. Swift,  Dr. Arbuthnot,  Mr. Pope, and Mr. Gay. The fourth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1742	['Preface']	['The Preface.']		['Front']	
260995	Miscellanies in four volumes. By Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay. The fourth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1742	['Preface']	['The Preface.']		['Front']	
260996	Miscellanies. In four volumes. By Dr. Swift,  Dr. Arbuthnot,  Mr. Pope, and Mr. Gay. The fifth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1747	['Preface']	['The Preface.']		['Front']	
260997	Miscellanies. In four volumes. By Dr. Swift,  Dr. Arbuthnot,  Mr. Pope, and Mr. Gay. The fifth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1747	['Preface']	['The Preface.']		['Front']	
260998	The works of Dr. Swift. Tome III. Consisting of miscellanies in verse.	Swift, Jonathan	1747	['Preface']	['The Preface.']		['Front']	
261059	The works of Jonathan Swift, D. D., D. S. P. D. in eight volumes. Containing I. His miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. Papers relating to Ireland, and the drapier's letters. V. The conduct of the allies, and The examiners. VI. The publick spirit of the Whigs, &c. with polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. The sixth edition, revised and corrected.	Swift, Jonathan	1744	['To the reader']	['To the reader.']		['Front']	
261068	Mogul tales, or, the dreams of men awake: being stories told to divert the grief of the Sultana's of Guzarat, for the supposed death of the sultan. Written in French by the celebrated Mr. Guelletee, author of The Chinese tales, &c. Now first translated into English. In two volumes, adorned with proper cuts, neatly engraven on copper plates. The second edition. Vol. I.	Gueullette, Thomas-Simon	1743	['Dedication']	['To ****--- **** ---- Esq;']		['Front']	
261093	The travels of Tom Thumb over England and Wales; containing descriptions of whatever is most remarkable in the several counties. Interspersed with many pleasant adventures that happened to him personally during the course of his journey. Written by himself; and adorned with a suitable map. Price 1s, 6d. Bound.	Tom Thumb	1746	['Preface']	['Preface']		['Front']	
261156	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Advertisement', 'To the reader', 'Letter']	['Advertisement to the reader.']		['Back']	
261486	The comical works of Don Francisco de Quevedo, author of the visions of Hell: Containing I. The night-adventures, or the day-hater. II. The life of Paul, the Spanish sharper. III. Fortune in her wits, or the hour of all men. IV. A proclamation by Old Father Time. V. A treatise of all things whatsoever. VI. Letters upon several occasions. Translated from the Spanish.	Quevedo, Francisco de	1742	['Preface']	['The preface.']		['Front']	
276044	A Trip to the Jubilee by a Gentleman that was at the late Grand One at Rome. Containing A Diverting Account of the most remarkable Occurences in his Travels thro' France, Milan, Venice, Florence, &c. till his arrival at Rome. Also, a description of the Religious Processions and Ceremonies us'd in their Churches, Streets and Woods; which, as being the Jubilee Year, was kept in most of the Cities and Towns he pass'd thro' in his Journey. Likewise the debauch'd Lives and Intrigues of the Lustful Priests and Nuns. With a relation of their method of confession, and absolving each other, and the reasons given by father C-----k, superior to the Irish Jesuits Cloyfter at Ghent, for the many Romish priests there is in England. With an account of the fallacy made use of in the opening the holy gate of St. Peter's church, and a pleasant description of the whole ceremony of the grand Jubilee at Rome.	A. F	1750	['Preface']	['Preface']		['front']	
276050	A description of Millenium Hall, and the country adjacent: together with the characters of the inhabitants, and such historical anecdotes and reflections, as may excite in the reader proper sentiments of humanity, and lead the mind to the love of virtue.  By a gentleman on his travels.  The fourth edition.	Scott, Sarah	1778	['Advertisement']	['Advertisement.']	['Allographic; by publisher.  Thanks author for compliment & professes unworthiness.']	['Front']	
276051	A select collection of novels in four volumes. Written by the most celebrated authors in several languages. Many of which never appear'd in English before; and all new translated from the originals, by several eminent hands.		1720	['Preface']	['']		['front']	
276066	Pamela's conduct in high life. Publish'd from her original papers to which are perfix'd, several curious letters written to the editor on the subject.	Kelly, John	1741	['Introduction']	['The introduction']		['Front']	
276068	Pamela: Or, virtue rewarded. In a series of familiar letters from a beautiful young damsel, to her parents. Now first published in order to cultivate the principles of virtue and religion in the minds of the youth of both sexes. A narrative which has its foundation in truth and nature; and at the same time that it agreeably entertains, by a variety of curious and affecting incidents, is intirely divested of all those images, which, in too many pieces calculated for amusement only, tend to inflame the minds they should insruct. In two volumes. Vol. I.	Richardson, Samuel	1741	['Errata']	['Errata.']		['Front']	
276073	Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part.	Swift, Jonathan	1720	['Advertisement']	["The bookseller's advertisement."]		['Middle']	
276078	Memoirs of the Bashaw Count Bonneval, from his birth to his death: shewing, the motives which induced him to quit the services and dominions of France; his entrance into and sudden rise in the Imperial armies; his exploits in Italy, Hungary, &c. His quarrel with the Marquis de Prie, and its consequences; the true cause of his disgrace at the court of Vienna; and the reasons which occasioned him to seek an asylum amongst the Turks; with his various fortunes, while in the service of the porte. Interpreted throughout with an entertaining diversity of secret intrigues, amorous adventures, military and political achievements, being, in effect, the secret history of Europe for the best part of the current century.		1750	['Preface']	['The preface']		['Front']	
276080		Defoe, Daniel	1720	['Preface']	['The preface.']		['Front']	
276081	Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.		1724	['Preface']	['The preface']		['Front']	
276082	Letters from Altamont in the capital, to his friends in the country.	Jenner, Charles	1767	['Introduction']	['Introduction']		['Front']	
276083			1778	['Dedication', 'Preface']	['Dedication, Preface, &c. To all the circulating librarians in the Kingdom of Great-Britain.']		['Front']	
276085	Kanor, a tale. Translated from the Savage.	Fagnan, Marie-Antoinette	1750	['Preface']	['Preface']		['Front']	
276087	Horrid mysteries. A story. From the German of the Marquis of Grosse. By P. Will. In four volumes. Vol. I.	Grosse, Carl	1796	['Preface']	['translator preface']			['v.1']
276088	Friendship in death; in twenty letters from the dead to the living. To which are added, letters moral and entertaining, in prose and verse. In three parts. By Mrs. Elizabeth Rowe. London: Printed for Henry Lintot. MDCCL.	Rowe, Elizabeth Singer	1750	['Preface']	['The Preface']		['Front']	
276099	Chinese letters. Being a philosophical, historical, and critical correspondence between a Chinese traveller at Paris, and his countrymen in China, Muscovy, Persia, and Japan.  Translated from the originals into French, by the Marquis d'Argens, author of the Lettres Juives, or Jewish Spy; and now done into English.	Argens, Jean-Baptiste de Boyer	1741	['Preface']	['By the Marquis D***']		['Front']	
276105	Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Cambon	1790	['Epilogue']	['Supplement.']	['Written in third-person.', 'First paragraph: epilogue to narrative material.', 'Second paragraph: general conclusion to the work\'s didactic aim. ""May these examples excite an emulation in the minds of my young readers. May they read with attention the precepts these volumes contain, always remembering that our temporal as well as eternal welfare is only to be secured by a constant attention to our duty; and that he who loves God will also love his brother."']	['Back']	['v.2']
276107	The works of Petronius Arbiter, in prose and verse. Translated from the original Latin. By Mr. Addison. To which are preix'd the Life of Petronius, done from the Latin.: And a character of his writings by Monsieur St. Evremont.	Petronius Arbiter	1736	['Preface']	['The preface']		['Front']	
276113	The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I.	Graves, Richard	1783	['Conclusion']	['Conclusion.']	['Written in the authorial first-person (plural)', 'Continues the narrative by providing an ending for the characters, but also gives the ultimate ""moral"" of the narrative."']	['Back']	['v.3']
276115	The power of love: in seven novels viz. I. The fair hypocrite. II. The physician's strategem. III. The wife's resentment. IV. V. The husband's resentment. In two examples. VI. The happy fugitives. VII. The perjur'd beauty. Never before published. By Mrs. Manley	Manley	1720	['Dedication']	['To the right honourable the Lady Lansdowne.']		['Front']	
276116	The nominal husband: or, the distress'd innocence. A true secret history, taken from an old Saxon manuscript, found among the papers of a late noble antiquarian, modernised for the service of the youth of both sexes.		1750	['Preface']	['Preface.']		['Front']	
276117	The man of experience; or, the adventures of Honorius. In two volumes. Vol. I. By Mr. Thistlethwaite.	Thistlethwaite, James	1778	['Errata']	['Erratum.']		['Front']	['v.1']
276118	The life of Sethos. Taken from the private memoirs of the ancient Egyptians. Translated from a Greek manuscript into French. And now faithfully done into English from the Paris edition; by Mr. Lediard. In two volumes. Vol. I.	Terrasson, Jean	1732	['Licence']	['Licence']		['Front']	
276120	The life of Mr. John Van, a clergyman's son, of Woody, in Hampshire. Being a series of many extraordinary events, and surprizing vicissitudes: in which are shewn, among a great number of singular and merry occurrences, his entrance into the army as a trooper; his bravery against the rebels; his marriage with an heiress of eight hundred pounds a year, at St. Ive's in Huntingdonshire; his conduct in high life, his favours from fortune and reduction to poverty. Written by his friend and acquaintance, G.S. Green. In two volumes. Vol. I. ( Price 6s. Bound)	Green, George Smith	1750	['Table of contents']	['Contents of the second volume.']		['Middle']	
276121	The life and adventures of Mrs. Christian Davies, the British Amazon, commonly call'd Mother Ross; who served as a foot-soldier and dragoon, in severa campaigns, under King William and the late Duke of Marlborough; containing variety of transactions both serious and diverting: Wherein she gave surprising proofs of courage, strength, and dexterity in handling all sorts of weapons, rarely to be met with in the contrary sex; for which, besides being otherwise rewarded, she was made a pensioner of Chelsea College, by Queen Anne, where her husband now is a serjeant, and she continued to her death. The whole taken from her own mouth, and known to be true by many noblemen, generals, and other officers, &c. mentioned in her life, and still living, who served in those wars at the same time, and were witnesses of her uncommon martial bravery.		1741	['Appendix']	['An appendix to the life of Mrs. Christian Davies']		['Back']	
276122	The life and adventures of Joe Thompson. A narrative founded on fact. Written by himself. In two volumes.	Kimber, Edward	1750	['Errata']	['Errata.']		['Back']	
276123	The history of Tom Jones the foundling, in his married state. -Utile dulci.		1750	['Errata']	['Erratum']		['Back']	
276124	The history of the life and adventures of Mr. Duncan Campbell, a gentleman, who, tho' deaf and dumb, writes down any stranger's name at first sight; with their future contingencies of fortune. Now living in Exeter Court over-against the Savoy in the Strand.	Bond, William	1720	['Table of contents']	['The contents.']		['Front']	
276126	The history of the life and adventures of Mr. Duncan Campbell, a gentleman, who tho' deaf and dumb, writes down any stranger's name at first sight: with their future contingencies of fortune. Now living in Exeter Court over-against the Savoy in the Strand.	Bond, William	1720	['Appendix']	['Appendix']		['Back']	
276127	The history of Sir William Harrington. Written some years since, and revised and corrected by the late Mr Richardson, author of Sir Charles grandison, Clarissa, &c. In four volumes. Vol. I. The second edition.		1772	['Table of contents']	['Index to the fourth volume.']	['Short description appended to each ""letter"" heading"']	['Front']	['v.4']
276128	The history of Eliza Warwick. In two volumes. Vol. I.		1778	['Dedication']	['To the reviewers.']	['A letter to the ""reviewers"" whom she addresses as ""gentlemen"".', 'Refers to the entire novel as ""she""."']	['Front']	['v.1']
276130	The history of Cornelia.	Scott, Sarah	1750	['Advertisement']	['Advertisement']		['Front']	
276133	The history and adventures of Don Alphonso Blas de Lirias, son of Gil Blas of Santillane. Translated from the Spanish original.		1741	['Table of contents']	['The contents']		['Front']	
276135	The example: or the history of Lucy Cleveland. By a young lady. Vol. I.	Young lady	1778	['Preface']	['Preface']		['Front']	
276136	The court-secret: a melancholy truth. Now first translated from the original Arabic. By an adept in the Oriental tongues. ( Price one shilling.)	Lyttelton, George Lyttelton	1741	['To the reader']	['Introduction to the reader']		['Front']	
276139	The adventures of Mr. Loveill, interspers'd with many real amours of the modern polite world. Vol. I. The second edition.		1750	['Preface']	['The preface']		['Front']	
276140	The adventures of Mr. Loveill, interspers'd with many real amours of the modern polite world. Vol. I.		1750	['Preface']	['The preface']		['Front']	
276156	Serious reflections during the life and surprising adventures of Robinson Crusoe: with his vision of the angelick world. Written by himself.	Defoe, Daniel	1720	['Introduction']	["The publisher's introduction."]		['Front']	
276157	The devil turn'd hermit, or, the adventures of Astaroth banish'd from hell. A satirical romance. Exposing, with great variety of humour, in a series of conversations between that demon and the author, -- The scandalous frauds, lewd amours, and devout mockery of the monks and nuns; the intrigues of courts; the ambition, avarice, and cruelty of ministers; the insincerity, luxury, prostitution, and ingratitude of many private characters; with other capital vices of the present age. Founded chiefly on real facts, and interspersed with the portraits and secret history of most of the considerable persons that have lived in Europe within these thirty years past. Translated from the original French of Mr. de M * * *.	Lambert de Saumery, Pierre	1741	['Table of contents']	['The contents.']		['Front']	
276158	Pure love: a novel. Being the history of the Princess Zulima, the beautiful daughter of the Sultan of Egypt. Containing, I. Her love for the Prince of Westphalia, who was taken prisoner by the Turks, and made a slave. II. Evaristus his companion, his story of the Prince of Westphalia their engagement with some Corsairs, or Pyrates; their shipwreck, and arrival at the Christian army giving a full account of the battle. III. Mustapha, the grand vizier, his love for Zulima. IV. The sultan's love for Leonora, &c. Translated from the French of Monsieur Le Noble.	Le Noble, Eustache	1750	['Preface']	['The preface.']		['Front']	
276159	The works of Francis Rabelais, M.D. The second book. Formerly translated by Sir Thomas Urquart, M.D. and explained by Mr. Motteux; since carefully revised, and compared throughout with M. le Du Chat's edition, by Mr. Ozell, who has likewise added, at the bottom of the pages, a translation of the notes, historical, critical and explanatory, of the said M. le Du Chat, and others: in which notes, the text is not only explained, but, in multitudes of places, amended, and made conformable to the first and best editions of this learned and facetious author. A new edition, with improvements, and an intire new set of cuts.	Rabelais, FranÁois	1750	['Dedication', 'Letter']	["The author's epistle dedicatory of this fourth book, to the most illustrious prince, and most reverend Lord, Odet, Cardinal de Chastillon."]		['Front']	
340846	The adventures of a bank-note. In two volumes. Vol. I.	Bridges, Thomas	1770	['Footnote']		['p.64']	['Middle']	['v.1']
340848	The man of feeling.	Mackenzie, Henry	1771	['Introduction']	['Introduction.']	['Disavowing authorship', 'Small narrative that details how the editor came into possession of the letters which constitute this novel.']	['Front']	
340850	The adventures of a hackney coach. The fourth edition corrected.		1781	['Conclusion']	['Conclusion.']	['Authorial', 'Addressed to his readers, both ""good-natured readers"" and ""his hydra readers"".', 'Advertises for the next volume of this work: ""If my readers should think my first appearance respectable,--I shall present them with another volume some time hence..."']	['Back']	['v.1']
