id	leader	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260687	04950cam a2200709 a 4500	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	The adventures of David Simple. Book I.		2	The second edition, revised and corrected /	with a preface by Henry Fielding, Esq;	1744	1744.	London	['Millar, A.', 'Millar, Andrew,']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)']	Begins: ""As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion.		true				true		['']	['Third-person']			true		Author (text)	Generic/Descriptive	Female		['Mixed genre']		['adventure', 'account', 'travel', 'city', 'search', 'friend', 'lady', 'edition', 'preface']	['London', '', 'Westminster', '']	University of Pennsylvania		
260688	03636cam a2200589 a 4500	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;			2	The second edition, revised and corrected /	with a preface by Henry Fielding, Esq.	1744	1744.	London	['Andrew Miller']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Notes glued into the first volume between the front pastdown and the front free endpaper.']			true						['']	['Third-person']					Author (text)	Generic/Descriptive	Female		['Mixed genre']		['adventure', 'account', 'travel', 'city', 'search', 'friend', 'lady', 'edition', 'preface']	['London', 'Westminster']	University of Pennsylvania		
260689	01865cam a2200445   4500				Alexis; or, The young adventurer. A novel ...	Alexis; or, the young adventurer. A novel.			1			1746	1746.	London	['Cooper, Thomas,']	Printed for T. Cooper.				Octavo		['A curious account of the Young Pretender, with fictitious names of persons and places.']									['']	['Third-person']											['adventurer', 'novel']		University of Pennsylvania		
260690	02986cam a2200481   4500			Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H------; from the marriage of the Princes of Z-----, to the tragical death of Count K-----k: a home-truth. Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.			1			1743	1743.	London	['J. H.', 'J. H.']	Printed for J. H., near Ludgate-Hill				Octavo		['Published also under title: A home truth: being memoirs of the love and state-intrigues of the court of H[anover]']									['']					true							['home-truth', 'High-German', 'sister', 'nobleman']	['Z--------']	University of Pennsylvania		
260691	03307cam a2200469 a 4500	Kirkby, John	1705-1754.		The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.			1	The second edition	Second edition	1746	1746.	Dublin	['George Faulkner']	Printed by George Faulkner,				Duodecimo		['""Largely borrowed from the History of Autonous (1736)"" -- Dict. nat. biog."']		true							['']	['First-person']	['Third-person']		true								['Earl', 'Baron', 'Viscount Sonds', 'Baron', 'Baronet', 'Lord Lieutenant', 'Custos Rotulorum', 'County']	['Rockingham', 'Throwley', 'Kent']	University of Pennsylvania		
260692	02134cam a2200457   4500			Tr. from a French manuscript ...	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Tr. from a French manuscript ...	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin.		2			1746	1746.	London		J. Robinson, in Ludgate-Street.				Duodecimo		['A novel, the pretended narrative of Félicité de Biron.']	true								['']	['First-person']	['Epistolary']										['adventure', 'amour']		University of Pennsylvania		
260693	02770cam a2200493 a 4500				Leonora, or Characters drawn from real life : containing a great variety of incidents interspers\\\'d with reflections moral and entertaining : in two volumes.	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.			2	2nd edition.	Second edition.	1745	1745.	London	['Thomas Davies']	Printed for Thomas Davies, in Round-Court, in the Strand				Duodecimo		['Errata: v. 1, p. 393; v. 2, p. 391.']	true						true		['']	['First-person']	['Epistolary']										['character', 'life', 'variety', 'incident', 'reflection', 'edition']		University of Pennsylvania		
260694	01908cam a2200373 a 4500	Gomez	1684-1770.	translated from the French of Madame de Gomez ... ; never before published.	Select novels / translated from the French of Madame de Gomez ... ; never before published.	Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.			1			1745	1745.	London		Printed and published by T. Gardner, at Cowley\\\'s-Head against St. Clement\\\'s Church, in the Strand; and W. Shropshire in New-Bond-Street.				Duodecimo		['Selections from her Cent nouvelles nouvelles.']									['']												['novel', 'effect', 'simpathy', 'gardener', 'vestal', 'Sequel', 'vestal', 'prince']		University of Pennsylvania		
260695	02279cam a2200385 a 4500				The Silph\\\'s resentment, or The Numidian coquet : a satyrical novel : to which is added, Revenge a-la-mode, an heroi-comic tale.	The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]			1			1742	1742.	London	['T. Cooper']	Printed for T. Cooper, at the Globe in Pater-noster Row.				Octavo		['""Tit for tat, or Revenge a-la-mode, an heroi-comic tale"": p. 23-29."']							true		['']	['Third-person']											['silph', 'resentment', 'coquet', 'novel', 'revenge', 'tale', 'six-pence']		University of Pennsylvania		
260696	03013cam a2200445 a 4500	Kirkby, John	1705-1754.		The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state, separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.			1			1745	1745	London	['H. Shute Cox', 'R. Manby']	Printed for R. Manby and H. Shute Cox, on Ludgate-hill.				Duodecimo		['""Largely borrowed from the History of Autonous (1736)"" -- Dict. nat. biog."']		true							['']	['First-person']	['Third-person']										['capacity', 'extent', 'understanding', 'nobelman', 'infancy', 'island', 'year', 'state', 'society', 'narrative', 'occurrence', 'reader']		University of Pennsylvania		
260697	03458cam a2200469 a 4500	Arbuthnot, Archibald		by the Rev. Archibald Arbuthnot ...	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers : from his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig / by the Rev. Archibald Arbuthnot ...	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.			1			1746	1946	London		Printed and sold (for the author) by R. Walker, in Fleet-Lane ; and at his printing-office, next the Theatre Coffee-House in Cambridge.		['Walker, R.']			ill. ;	['Fiction.  Cf. NCBEL v. 2, col. 2078.']	true								['']	['Third-person']					Author (text)	Proper name	Male				['preface']	['Beaufort', 'Inverness', 'Scotland', 'Knoidart', 'Arisaig', 'Kiltarlaty']	University of Pennsylvania		
260698	02057cam a2200385 a 4500				The Lady\\\'s drawing room : being a faithfull picture of the great world : in which the various humours of both sexes are display\\\'d, drawn from the life and interspers\\\'d with entertaining and affecting novels.	The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.			1			1744	1744.	London	['M. Cooper', 'A. Dodd']	Printed and sold by M. Cooper, in Pater-noster-row; and A. Dodd, near Essex-Street, in the Strand.				Duodecimo			true								['']												['drawing', 'room', 'picture', 'world', 'humour', 'sex', 'life', 'novel']		University of Pennsylvania		
260699	03106cam a2200541 a 4500	Fielding, Sarah	1710-1768.	by the author of David Simple ; in two volumes.	Familiar letters between the characters in David Simple, and some others : to which is added, A vision / by the author of David Simple ; in two volumes.	Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.			2			1747	1747.	London		Printed for the author and sold by A. Millar, opposite Katharine-Street in the Strand		['A. Millar']		Octavo		['Published anonymously. By Sarah Fielding. Cf. Halkett & Laing (2nd ed.)']	true								['']	['Epistolary', 'First-person']		true	true		Author (text)	Reference to other works	Indeterminate				['letter', 'character', 'other', 'vision', 'author', 'Vol. I.']		University of Pennsylvania		
260700	06815cam a2200841 a 4500	Richardson, Samuel	1689-1761.	published by the editor of Pamela.	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.			7			1748	1748.	London		Printed for S. Richardson :		['A. Millar', 'J. and Ja. Rivington', 'John Osborn', 'J. Leake']		Duodecimo	music ;	['Vols. 3-7 have variant imprint: London : Printed by S. Richardson : And sold by John Osborn ... Andrew Millar ... J. and Ja. Rivington ... and by J. Leake, at Bath, 1748.']	true			true			true		['']	['Epistolary']			true		Publisher (text)		Indeterminate		['Fiction']		['history', 'lady', 'concern', 'life', 'distress', 'misconduct', 'parent', 'children', 'marriage', 'editor']		University of Pennsylvania		
260701	07477cam a2200901 a 4500	Richardson, Samuel	1689-1761.	published by the editor of Pamela.	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.			7			1748	1748.	London		Printed for S. Richardson :		['A. Millar', 'J. and Ja. Rivington', 'John Osborn', 'J. Leake']		Duodecimo	music ;	['Vols. 3-7 have variant imprint: London : Printed by S. Richardson : And sold by John Osborn ... Andrew Millar ... J. and Ja. Rivington ... and by J. Leake, at Bath, 1748.']	true			true			true		['']	['Epistolary']			true		Publisher (text)		Indeterminate		['Fiction']		['history', 'lady', 'concerns', 'life', 'distresses', 'misconduct', 'parents', 'children', 'marriage', 'editor']		University of Pennsylvania		
260702	03896cam a2200601 a 4500	Haywood, Eliza Fowler	1693?-1756.	written by Mrs. Eliza Haywood.	Secret histories, novels, and poems : in four volumes / written by Mrs. Eliza Haywood.	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.			4	The fourth edition.	Fourth edition.	1746	1742.	London	['R. Ware and D. Browne', 'S. Birt, C. Hitch, and S. Austen', 'Austen, Stephen,', 'Hitch, Charles,', 'Browne, D.', 'Birt, Samuel,', 'Ware, R.']	Printed for R. Ware, in Amen-Corner;  S. Birt, in Ave-Mary-Lane; D. Browne, without Temple-Bar; C. Hitch, in Pater-noster-Row; and S. Austen, in St. Paul\\\'s Church-Yard.				Duodecimo	port., ;	['Title page transcription from NUC pre-1956 and Whicher, G.F.  Haywood, p. 176-177.']		true							['']	['Third-person']	['Epistolary']				Author (text)	Proper name	Female				['history', 'novel', 'poem', 'resolve', 'discovery', 'novel', 'masquerader', 'curiosity', 'history', 'amour', "self-abandon'd", 'novel', 'force', 'nature', 'disappointment', 'novel', 'edition']		University of Pennsylvania		
260703	02692cam a2200529 a 4500	Haywood, Eliza Fowler	1693?-1756.	By the author of The fortunate foundlings.	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	The adventures of Natura		1			1748	1748.	London		Printed by T. Gardner, and sold at his printing-office, at Cowley\\\'s Head, opposite St. Clement\\\'s Church, in the Strand.				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. Whicher, G.F.  Haywood, p. 190.']					true				['']	['Third-person']			true		Author (text)		Indeterminate	Female			['content']		University of Pennsylvania		
260704	02924cam a2200577 a 4500	Haywood, Eliza Fowler	1693?-1756.	By the author of The fortunate foundlings.	Life\\\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	The adventures of Natura		1			1748	1748.	London		Printed by T. Gardner, and sold at his printing-office, at Cowley\\\'s Head, opposite St. Clement\\\'s Church, in the Strand.				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. Whicher, G.F.  Haywood, p. 190.']					true		true		['']	['Third-person']			true		Author (text)		Indeterminate	Female	['Fiction']		['content']		University of Pennsylvania		
260705	03501cam a2200541 a 4500			extracted from eminent records, and the whole illustrated with cuts suitable to each subject.	The Unfortunate concubines : the history of Fair Rosamond, mistress to Henry II, and Jane Shore, concubine to Edward IV, Kings of England : shewing how they came to be so : with their lives, remarkable actions, and unhappy ends / extracted from eminent records, and the whole illustrated with cuts suitable to each subject.	The unfortunate concubines. The history of fair Rosamond, mistress to Henry II. And Jane Shore, concubine to Edward IV, King of England. Shewing how they came to be so. With their lives, remarkable actions, and unhappy ends. Extracted from eminent records, and the whole illustrated with cuts suitable to each subject. ( Price bound one shilling)			1			1748	1748.	London	['J. Hodges', 'R. Ware', 'A. Bettesworth and C. Hitch']	Printed for R. Ware at the Bible and Sun, Ludgate-hill ; C. Hitch, at the Red-Lion in Pater-Noster-Row ; and J. Hodges at the Looking-Glass, London-Bridge.				Duodecimo	ill. ;	['P. [iv], [105], [108], and [156] misnumbered vi, 135, 188, and 165 respectively.']	true								['']	['Third-person']	['First-person', 'Letter(s)', 'Poem(s)']								['Fiction']		['concubine', 'history', 'mistress', 'concubine', 'life', 'action', 'end', 'record', 'whole', 'cut', 'subject', 'Price', 'shilling)']		University of Pennsylvania		
260706	04639cam a2200613 a 4500	Fielding, Henry	1707-1754.	By Henry Fielding, Esq.	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;			6			1749	1749	London		Printed for A. Millar, over-against Catharine-Street in the Strand.				Duodecimo		['First edition leaves v. 1, B9-10, v. 2, B4-5, N12, v. 3, H8-10, M3, Q11, v. 4, B1, v. 5, N8, cancels.  Cf. Fielding, H.  Tom Jones, ed. by F. Bowers (1975) v. 1, p. lxxii-lxxiv.']		Takes form of a letter. Requests protection and patronage, notes Lyttleton's reluctance to grant them and ascribes this to modesty. Includes following line: ""I will detain you, Sir, no longer. Indeed I have run into a Preface, while I professed to write a Dedication."					true		['']	['Third-person']	['First-person']				Author (paratext)	Proper name	Male	Male			['History', 'Foundling', 'Volume', 'Esq']		University of Pennsylvania		
260707	04848cam a2200793 a 4500	Fielding, Henry	1707-1754.		The history of Tom Jones, a foundling : in six volumes. By Henry Fielding, Esq.	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.			6			1749	MDCCXLIX.	London	['Millar, Andrew (London)', 'Millar, Andrew']	London: printed for A. Millar, over-against Catharine-Street in the Strand.				Duodecimo		['The second edition.  Cf. Cross, W.L.   Fielding, v. 3, p. 316-317.']		First sentence reads: Sir, notwithstanding your constant refusal, when I have asked leave to prefix your name to this dedication, I must still insist on my right to desire your protection of this work.					true		['']	['Third-person']	['First-person', 'Poem(s)']				Author (text)		Male				['content']		University of Pennsylvania	NAA	Swarthmore College
260708	04623cam a2200793 a 4500	Fielding, Henry	1707-1754.	By Henry Fielding, Esq.	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.			6		Second edition.	1749	1749.	London	['Millar, Andrew,']	Printed for A. Millar, over-against Catharine-Street in the Strand.				Duodecimo		['The second edition.  Cf. Cross, W.L.   Fielding, v. 3, p. 316-317.']		true					true		['']	['Third-person']	['First-person', 'Poem(s)']		true	true	Author (text)	Proper name	Male				['content']		University of Pennsylvania		
260709	03210cam a2200565 a 4500	Fielding, Sarah	1710-1768.	by the author of David Simple.	The governess : or, Little female academy. Being the history of Mrs. Teachum, and her nine girls : with their nine days amusement : calculated for the entertainment and instruction of young ladies in their education / by the author of David Simple.	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.			1			1749	1749.	London	['Millar, Andrew,']	Printed for the author; and sold by A. Millar, in the Strand.				Duodecimo		['Written by Sarah Fielding.']	true	true							['']	['Third-person']	['First-person']				Author (text)	Reference to other works			['Mixed genre']		['governess', 'academy', 'history', 'girl', 'day', 'amusement', 'entertainment', 'instruction', 'lady', 'education', 'author']		University of Pennsylvania		
260710	02666cam a2200481 a 4500				Dalinda, or The double marriage : being the genuine history of a very recent and interesting adventure : addressed to all the young and gay of both sexes.	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.			1			1749	1749.	London	['Corbet, Charles, Sir', 'George Woodfall and Son']	Printed for C. Corbett in Fleet-Street and G. Woodfall at Charing Cross.				Duodecimo		['A novel based on the affair between T.E. Cresswell and Eliza Scrope.  Attributed to Mrs. Haywood.  Cf. Whicher, G.F.  Life and romances of Mrs. Eliza Haywood, p. 94.']	true								['']	['Third-person']	['Epistolary']		true	true							['governess', 'academy', 'history', 'girl', 'day', 'amusement', 'entertainment', 'instruction', 'lady', 'education', 'author']		University of Pennsylvania		
260711	01778cam a2200373 a 4500				The History of the human heart, or The adventures of a young gentleman.	The history of the human heart: or, the adventures of a young gentleman.			1			1749	1749.	London	['J. Freeman']	Printed for J. Freeman, near Ludgate,				Duodecimo							true				['']	['Third-person']	['Epistolary', 'First-person']			true							['history', 'heart', 'adventure', 'gentleman']		University of Pennsylvania		
