id	type	x	b	v
260661	Preface	"['written in verse', 'Begins: """"Go now, my little book, to every place, -- Where my fisrt Pilgrim has but shown his face: -- Call at the door; if any say, Who\\\'s there? -- Then answer thou, Christinana is here.""""', 'Ends: """"Now may this little book a blessing be -- To those who love this little book and me; -- And may its buyer have no cause to say, -- His money is but lost, or thrown away. -- Yea, may this second Pilgrim yield that fruit -- As may with each good Pilgrim\\\'s fancy suit, -- And may it some persuade that go astray, -- To turn their feet and heart to the right way, -- Is the hearty prayer of the Author, -- John Bunyan""']"	"[""The Author\\'s Preface to the Second Part.""]"	
260661	Table of contents	['There are 20 chapters in the first part.', 'There are 15 chapters in the second part.', 'There are 12 chapters in the third and last part.']	['Contents']	
260662	Table of contents		['Contents of volume first.']	
260662	Table of contents		['Contents of volume second.']	
260662	Table of contents		['Contents of volume third.']	
260662	Introduction		['Introduction.']	
260662	Errata		['Errata.']	
260663	Preface		['The preface.']	
260664	Preface		['The preface.']	
260668	Advertisement		"[""Mr. Bunyan\\'s advertisement to the reader""]"	
260668	Directions		['Directions to the binder']	
260669	Dedication		['To those dear friends,']	
260673	Advertisement	"['Entitled, """"Interesting Works, Lately published  by H. Colburn, Conduit Street.""""', '27 works are listed.""']"		['v.3']
260675	Preface		['The preface.']	
260675	Preface		['The preface.']	
260675	Advertisement		['Advertisement to the reader.']	
260676	Preface		['The preface.']	
260676	Preface		['The preface.']	
260676	Advertisement		['Advertisement to the reader.']	
260676	Advertisement			
260682	Dedication		['To William Roscoe, Esq.']	
260682	Preface		['Preface.']	
260682	Table of contents		['Contents of the first volume.']	
260682	Table of contents		['Contents of the second volume.']	
260682	Table of contents		['Contents of the third volume.']	
260684	Dedication		['To William Roscoe, Esq.']	
260684	Table of contents		['Contents of the fourth volume']	
260684	Preface		['Preface or no preface']	
260685	Preface	"['Begins: """"When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf.""""', 'It is signed, """"Coelebs.""']"	['Preface']	
260686	Advertisement		['Advertisement to the reader.']	
260687	Table of contents	['A sentence-long summary is given with each chapter.']	['The contents of the first volume.']	['v.1']
260687	Table of contents	['A sentence-long summary is given with each chapter.']	['The contents of the second volume']	['v.1']
260687	Advertisement		['Advertisement to the reader.']	['v.1']
260687	Preface	"['Begins: """"As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion.', 'It is signed, """"Henry Fielding.""""']"	['Preface']	"['v.1""']"
260688	Advertisement		['Advertisement to the reader.']	
260691	Dedication		['To the right honourable Lewis, Earl and Baron of Rockingham, Viscount Sonds, Baron of Throwley, and Baronet, Lord Lieutenant and Custos Rotulorum of the County of Kent']	
260692	Preface		['Preface by the translator.']	
260693	Preface		['The preface.']	
260693	Preface		['Advertisement to the reader.']	
260693	Errata		['Errata']	
260695	Conclusion		['A word of advice to the fair sex: by way of conclusion.']	
260696	Dedication		['To the right honourable Lewis, Earl and Baron of Rockingham, Viscount Sonds, Baron of Throwley, and Baronet, Lord Lieutenant and Custos Rotulorum of the County of Kent']	
260697	Preface		['The preface.']	
260698	Preface		['The preface']	
260699	Preface		['Preface: Written by a friend of the author.']	
260700	Preface		['Preface']	
260700	Character information		['A brief account of the principal characters throughout the whole']	
260700	To the reader		['The editor to the reader']	
260700	Errata		['Errata']	
260701	Preface		['Preface']	
260701	Character information		['A brief account of the principal characters throughout the whole']	
260701	To the reader		['The editor to the reader']	
260701	Errata		['Errata']	
260702	Dedication		"[""To the right honourable Col. Stanley, one of his majesty\\'s privy-council of the kingdom of Ireland.""]"	
260703	Introduction		['Introduction']	
260704	Table of contents		['Contents']	
260704	Introduction		['Introduction']	
260705	Preface		['The preface']	
260706	Dedication	"['Takes form of a letter. Requests protection and patronage, notes Lyttleton\\\'s reluctance to grant them and ascribes this to modesty. Includes following line: """"I will detain you, Sir, no longer. Indeed I have run into a Preface, while I professed to write a Dedication.""']"	['To the honourable George Lyttleton, Esq; one of the Lords Comissioners of the Treasury']	['v.1']
260706	Table of contents	"['Each book and chapter is appended by a one-sentence description or summary. Some appear satirical (e.g. """"Containing matters which will surprize the reader,"""" """"Containing what the reader may perhaps expect to find in it,"""" etc.).""']"	['Contents of the [volume number] volume.']	['v.1', 'v.2', 'v.3', 'v.4', 'v.5', 'v.6']
260707	Table of contents		['Contents of the first volume.']	
260707	Table of contents		['Contents of the second volume.']	
260707	Table of contents		['Contents of the third volume.']	
260707	Table of contents		['Contents of the fourth volume.']	
260707	Table of contents		['Contents of the fifth volume.']	
260707	Table of contents		['Contents of the sixth volume.']	
260707	Dedication	['First sentence reads: Sir, notwithstanding your constant refusal, when I have asked leave to prefix your name to this dedication, I must still insist on my right to desire your protection of this work.', 'Signed Sir, your most obliged, obedient humble servant, Henry Fielding.']	['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']	
260708	"Bookplate reads """"Mary Lady Hervey."""			
260708	Table of contents		['Contents of the second volume.']	
260708	Dedication		['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']	
260708	Table of contents		['Contents of the first volume.']	
260708	Table of contents		['Contents of the sixth volume.']	
260708	Table of contents		['Contents of the third volume.']	
260708	Table of contents		['Contents of the fourth volume.']	
260708	Table of contents		['Contents of the fifth volume.']	
260709	Preface		['Preface.']	
260709	Dedication		['To the honourable Mrs. Poyntz.']	
260710	Preface		['Preface to the reader']	
260711	Introduction		['The introduction']	
260712	Advertisement		['Advertisement to the reader.']	
260713	Advertisement		['Advertisement to the reader.']	
260715	Preface		['Preface']	
260715	Table of contents		['Contents']	['v.3']
260719	Preface		['Preface.']	
260720	Preface		['Preface.']	
260721	Preface		['Preface.']	
260721	Errata		['Errata']	
260723	Introduction		['Introduction']	
260724	Dedication	"['Begins: """"Custom which hath the Force of a Law, gives a Pretence at leaft, if not a Right, to fuch as publifh their Writings of feeking the Protection of the moft illuftrious Perfons. In this Light therefore, my approaching your Grace is very natural, fince I could fcarce have found elfewhere, fo noble a Patron.""""', 'signed, """"I am, May it pleafe your Grace, Your Grace\\\'s moft Humble and moft devoted Servant, The Author.""']"	['To her Grace The Dutchess of Buckinghamshire.']	
260724	Preface	"['Begins: """"There is no Sort of Literature, in which Forreigners value their own Authors more, and ours lefs, than in this of Letters, and therefore I think no kind of Writing deferves Encouragement fo much.""']"	['The Preface']	
260724	Table of contents		['The Table of Contents']	
260726	Preface	"['Begins: """"The extraordinary success of the Death of Abel, and the high opinion that many persons of distinguished merit have entertained of that work, rendered them solicitous to see the Messiah attempted in the same manner, and by the same hand; they therefore applied to Mrs. Collyer, who began the arduous task; but had made no great progress, when a lingering illness, occasioned by the agitations of mind she suffered in writing the former book, unhappily for me, and for our children, put a period both to the attempt and to her life.""']"	"[""The Translator\\'s Preface.""]"	
260726	Introduction	"['Begins: """"The public have a right to expect that the painter, who submits his picture to their judgment, should hang it up, and go away in silence. This rule I have carefully observed, and, mingling with the spectators, have held my peace, and improved by their observations. Still would I proceed in the same manner, and only take aside such of the spectators as are willing to hear me, and place them in a situation, in which, I imagine, they will be enabled to view pieces of this kind, in a proper point of view. My design is not here confined to the Messiah, but to sacred poetry in general.""']"	['On Divine Poetry']	
260727	Essay		['On divine poetry.']	
260727	Argument		['The argument.']	
260727	Postscript		['Postscript']	
260727	Explanatory Note		['Explanatory Notes to book XVI. Explanatory Notes to book XVII. Explanatory Notes to book XVIII. Explanatory Notes to book XIX.']	
260729	Dedication	"['Begins: """"You and I, my good friend, have often deliberated on the difficulty of writing such a dedication as might gratify the self-complacency of a patron, without exposing the author to the ridicule or censure of the public; and I think we generally agreed that the task was altogether impracticable. -- Indeed, this was one of the few subjects on which we have always thought in the same manner: For, notwithstanding that deference and regard which we mutually pay to each other, certain it is, we have often differed, according to the predominancy of those different passions, which frequently warp the opinion, and perplex the understanding of the most judicious.""""', 'it is signed, """"Dear Sir, Your very affectionate friend and servant, THE AUTHOR.""']"	['To Doctor ******']	
260732	Dedication	"['Written in verse', 'Begins: """"To Her, whose bounty oft hath shed -- Joy round the peasant\\\'s lowly bed, -- When trouble press\\\'d and friends were few, -- And God and Angels only knew -- To Her, who loves the board to cheer, -- Abd hearth of simple Cottager; -- Who kives the tale of rural kind, -- And  wayward visions of his mind, -- I dedicate, with high delight, -- The themes of many a winter night""""', 'It is signed """"J.H."""" and dated """"Eltrive Lake, April 1st, 1818.""']"	['To the Right Honourable Lady Anne Scott, of Buccleuch.']	['v.1']
260732	Table of contents		['Contents to Volume Second.']	['v.2']
260734	Dedication		['Dedication. To his excellency, Joseph Dudley, Esq.']	
260734	Preface		['Preface. [By the editor.]']	
260735	Dedication	"['Begins: """"Madam, You would smile to hear the insect of a day pay the tribute of its praise to the lasting oak which aided its first feeble soaring -- Smile then; -- for a person whom nature, fortune, and inclination, alike have marked for obscurity, one whose very name may never reach your ear, offers this tribute of respect to the author of Plays on the Passions.""""', 'Signed, """"I have the honour to be, with great respect, Madam, Your obedient Servant, The Author"""" and dated, """"January 1811.""']"	['To Miss Joanna Baillie.']	
260740	Preface		['Preface.']	
260740	Note		['Notes']	
260741	Table of contents		['Contents of the first volume']	
260741	Table of contents		['Contents of the second volume']	
260741	Table of contents		['Contents of the third volume']	
260741	Table of contents		['Contents of the fourth volume']	
260741	Table of contents		['Contents of the fifth volume']	
260741	Table of contents		['Contents of the sixth volume']	
260741	Table of contents		['Contents of the seventh volume']	
260741	Table of contents		['Contents of the eighth volume']	
260741	Preface		['Preface']	
260741	Dedication		['To her Grace the Dutchess of Beaufort.']	
260741	Dramatis personae		['Persons of the drama.']	
260741	Advertisement		['Advertisement']	
260741	Introduction		['Introduction']	
260741	Dedication		['To the right Reverend the Lord Bishop of Exeter.']	
260741	Dedication		['As a slight memorial of sincere esteem and cordial friendship, this little sketch of Christian morals is, with strict propriety, inscribed to the Rev. Thomas Gisborne, of Yoxall Lodge, in his writings and in his life, a consistent Christian moralist.']	
260741	Preface		['Preface']	
260743	Preface	"['Reads: """"It has seemed right to the Author to meet the increased demand for this little work, by the publication of another edition. But, at the same time, it appeared to be a duty which he owed, both to himself and to the public, not to re-publish a work, written at a very early period of his life, without attempting some correction of its more obvious faults.""""', 'It is signed """"Harrow, Jan. 11, 1815""""', 'This is for """"A World Without Souls""']"	['Preface to the fifth edition']	
260743	Dedication	"['Begins: """"It is peculiar to Columbus and to me, to make the old world acquainted with the new one. But it is not only thus generally that we resemble each other. Some Spanish historians, who thought perhaps that the hemisphere in which they themselves lived, must of necessity be the best of all possible hemispheres; or who imagined it of little use to have discovered a world if it was not a strange world; or who suspected that the achievements of some of their countrymen in America might, by the world in general, be mistaken for murder - endeavored to prove that the Americans had no souls. Now, what was charged upon his world, was true of that to which I introduce you - they are without souls""""', 'Ends: """"I leave you, therefore, with this request - that, as a world with souls, you will make a world without souls your negative example; by neglecting many things which it does, and doing every thing which it neglects. A friend to yourself and an enemy to your vices. I am, &c. &c. THE AUTHOR""""', 'This is for """"A World Without Souls""']"	['Dedication to a world with souls']	
260743	Note	"['There are five notes labels A though E', 'This is for """"A World Without Souls""']"	['Notes']	
260743	Dedication	"['""""With filial reverence I presume to lay upon your altar, the following little history, trusting that it may serve to remind your enemies of some of your excellencies, and your friends of the duties which a good Churchman owes to himself, to his Church, to his Country, and to his God. I am, &c. THE AUTHOR""""', 'This is for """"The Velvet Cushion""']"	['Dedication. To the Church of England.']	
260743	Preface	"['Begins: """"The Author of this little work cannot persuade himself to give another edition of it to the public, without addressing a few words to its readers.""""', 'This is for """"The Velvet Cushion""']"	['Preface to the fifth edition']	
260745	Recommendation		['The following recommendation from the President of the United States to Congress, explains the nature, and bears ample testimony of the value of this novel and arduous undertaking.']	
260745	Message		['Message from the President to the Senate and House of Representatives of the United States']	
260745	Introduction		['Introduction']	
260745	Profit statement		['Estimate of the produce of the several mines.']	
260747	Preface	['Untitled']	['']	
260751	Preface		['Preface to the translation']	
260752	Dedication	"['Begins: """"I am still alive my fair friend; or rather, I am alive once more, but for how long I cannot tell; therefore, to give some token of existence, I send you a Persian tale. It is one of the 10,000 my great-aunt inherited from my uncle, and which I purchased of her for 100,000 pearls.', 'Ends: """"Have you read BATHMENDI? Florian\\\'s uncle had very different sources from myself. I kiss your hand, and - long live Amatonda!""']"	['To a Lady.']	
260752	To the reader	"['Begins: """"I had an uncle who was full of sense and whims; but his whims were pardoned for the sake of his sense, and his sense for the sake of his whims. Among these whims were two, to which all others were subordinate; these were his love of pearls and tales.""""', 'Ends: """"The modern philosophers profess disinterested benevolence; while the ancients never wrought a good action without a reward. I still belong to the old school; and turn now to my tale.""']"	['To the reader']	
260752	Advertisement	"['Begins: """"Anton Wall, like Veit Weber and Jean Paul, is a literary nom de guerre. It has been assumed by one of the least voluminous, but one of the most elegant romance writers in Germany, and has derived celebrity and popularity from two or three works of fiction, all of very small extent.""""', 'Ends: """"The stories are familiar to the German nursery.""']"	['Advertisement by the Translator']	
260752	Note		['Note']	
260758	Preface		['Preface']	
260759	Essay		['On divine poetry.']	
260759	Argument		['The argument.']	
260759	Postscript		['Postscript']	
260759	Explanatory Note		['Explanatory Notes to book XVI. Explanatory Notes to book XVII. Explanatory Notes to book XVIII. Explanatory Notes to book XIX.']	
260763	Apology	"['Begins: """"If good and ill nature equally operated upon mankind, I might have saved myself the trouble of this Apology; for it is manifest by the reception the following discourse hath met with, that those who approve it, are a great majority among the men of taste: yet there have been two or three treatises written expressly against it, besides many others thta have flirted at it occasionally, without one syllable having been ever published in its defense, or even quotation to its advantage, that I can remember, except by the polite author of a late discourse between a deist and a Socinian. Therefore, since the book seems calculated to live at least as long as our language, and our taste admit no great alterations, I am content to convey some apology along with it.""""', 'Written, """"June 3, 1709""']"	"[""The Author\\'s Apology""]"	
260763	Postscript	"[""Poscript for the Author\\'s Apology"", 'Begins: """"Since the writing of this, which was about a year ago, a prostitute bookseller hath published a foolish paper, under the name of Notes on the Tale of a Tub, with some account of the author; and with an insolence which I suppose is punishable by law, hath presumed to assign certain names. It will be enough for the author to assure the world, that the writer of that paper is utterly wrong in all his conjectures upon that affair.""']"	['Postscript']	
260763	Dedication	"['Begins: """"My Lord, Although the author has written a large dedication, yet that being addressed to a prince, whom I am never likely to have the honour of being known to; a person, besides, as far as I can observe, not at all regarded, or thought on by any of our present writers; and, being wholly free from thta slavery, which booksellers usually lie under, to the caprices of authors: I think it a wise piece of presumption to inscribe these papers to your Lordship, and to implore your Lordship\\\'s protection of them.""""', 'Written by the bookseller.', 'Signed, """"My Lord, Your Lordship\\\'s most obedient, and most faithful servant, The Bookseller.""']"	['To the right honourable John Lord Sommers.']	
260763	To the reader	"['Begins: """"It is now six years since these papers came first to my hand, which seems to have been about a twelvemonth after they were written. For, the author tells us in his preface to the first treatise, that he had calculated it for the year 1697, and in several passages of that discourse, as well as the second, it appears, they were written about that time.""']"	['The Bookseller to the Reader.']	
260763	Dedication	"['Begins: """"Sir, I here present your Highness with the fruits of a very few leisure hours, stolen from the short intervals of a world of business, and of an employment quite alien from such amusement as this: the poor production of that refuse of time which has lain heavy upon my hands, during a long prorogation of Parliament, a great dearth of foreign news, and a tedious fit of rainy weather: for which, and other reasons, it cannot ehuse extremely to deserve such a patronage as that of your Highness, whose numberless virtues in so few years, make the world look upon you as the future example to all princes.""""', 'It is signed, """"Sir, Your Highness\\\'s Most devoted, &c."""" and dated """"December, 1697""""', 'Tale of a Tub""']"	['The Epistle Dedicatory: To the Royal Highness Prince Posterity']	
260763	Preface	"['Begins: """"The wits of the prsent age being so very numerous and penetrating, it seems the grandees of church and state begin to fall under horrible apprehensions, lest these gentlemen, during the intervals of a long peace, should find leisure to pick holes in the weak sides of religion and government. To prevent which, there has been much thought employed of late, upon certain projects for taking off the force and edge of those formidable inquirers, from canvassing and reasoning upon such delicate points.""""', 'Tale of atub""']"	['The Preface']	
260763	Introduction	"['Begins: """"Whoever hath an ambition to be heard in a crowd, must press, and squeeze, and thrust, and climb, with indefatigable pains, till he has exalted himself to a certain degree of altitude behind them. Now, in all assemblies, though you wedge them ever so close, we may observe this peculiar property, that over their heards, there is room enough? but how to reach it, is the difficult point; it being as hard to get quit of number, as of hell:....""""', 'tale of a tub""']"	['Introduction']	
260763	Conclusion	"['Begins: """"Going too long, is a cause of abortion as effectual, though not so frequent, as going too short; and holds true, especially in the labours of the brain. Well fare the heart of that noble Jesuit who first adventured to confess in print, that book must be suited to their several seasons, like dress, and diet, and diversions: and better fare our noble nation, for refining upon this among other French modes.""""', 'tale of a tub""']"	['Conclusion']	
260763	To the reader	"['Begins: """"The following discourse, as it is unquestionably of the same author, so it seems to have been written about the same time with the former; I mean, the year 1697, when the famous dispute was on foot, about ancient and modern learning. The controversy took its rise from an essay of Sir William Temple\\\'s upon that subject; which was answered by W. Wotton, B.D. with an appendix by Dr. Bentley, endeavouring to destroy the credit of Aesop and Phalaris for authors, whom Sir William Temple had, in the essay before mentioned, highly commended.""""', 'Ends: """"I must warn the reader, to beware of applying to persons, what is here meant only of books in the most literal sense. So, when Virgil is mentioned, we are not to understand the person of a famous poet called by that name; but only certain sheets of paper, bound up in leather, containing in print the works of the said poet; and so of the rest.', 'Battle of the books""']"	['The Bookseller to the Reader.']	
260763	Preface	"['Begins: """"Satire is a sort of glass, wherein beholders do generally discover every body\\\'s face but their own; which is the chief reason for that kind reception it meets with in the world, and that so very few are offended with it. But if it should happen otherwise, the danger is not great; and I have learned, from long experience, never to apprehend mischief from those understandings I have been able to provoke. For anger and fury, though they add strength to the sinews of the body, yet are found to relax those of the mind, and to render all its efforts feeble and impotent.""""', 'Battle of the books""']"	['The Preface of the Author.']	
260763	Advertisement	"['Mechanical operation of the Spirit', 'Reads: """"The following discourse came into my hands perfect and entire: but there being several things in it, which the present sage would very well bear, I kept it by me some years, resolving it should never see the light. At length, by the advice and assistance of a judicious friend, I retrenched those parts that might give most offence and have now ventured to publish the remainder. Concerning the author, I am wholly ignorant; nieither can I conjecture, whether it might be the same with that of the two foregoing pieces, the original having been sent me at a different time, and in a different hand. The learned reader will better determine, to whose judgment I entirely submit it.""']"	"[""The Bookseller\\'s Advertisement""]"	
260763	Explanatory Note	['Provides the names of the vairous engravings throughout the book.']	['Directions for placing the Plates']	
260771	Dedication		['To her Royal Highness Princess Charlotte of Wales']	
260771	Preface		['Preface']	
260772	Dedication	"['Begins: """"Sir, When I reflect upon the genius, taste, and judgment of him, to whom I would dedicate this world, I beocme inclined to withhold from myself so great a pleasure: but when the certainty of his indulgent friendship presents itself to my mind, I am released from my apprehension, and cheerfully hasten to inscribe these volumes in the name of Percival Stockdale.""""', 'Ends: """"I trust that I have now depricated the severity of criticism, since I honestly confess my mediocrity, and prepare my readers for the unimportance of my work""""']"	['To the Rev. Percival Stockdaile, rector of Lesbury in Northumberland.']	"['v.1', 'v.1""']"
260773	About the author	"['Begins: """"Samuel Johnson was born at Litchfield, in Staffordshire, on the 7th of September 1709. He was the eldest son of Michael Johnson, a bookseller in that city. His mother, Sarah Ford, descended from a respectable family in Warwickshire, was sister to Dr. Joseph Ford, an eminent physician, and father of Cornelius Ford, the celebrated chaplain of Lord Chesterfield.""""', 'Ends: """"His failings, when contrasted with his virtues, sink into insignificance; and his work will be read with veneration for their author, as long as the language in which they are written shall be understood.""']"	['Some Account of the Life and Writings of Dr. Johnson']	
260776	Preface	"['Begins: """"Notwithstanding the general prejudice that exists against historical romance, it is a species of composition for which I have always felt a peculiar predilection; nor have I been able to discover why history, which is universally admitted to be a proper groundwork for a tragedy, or an epic poem, should not also be allowed to furnish the subject of a work of imagination, althrough the ornament of numbers may be wanting.""""', 'It is signed, """"THE AUTHOR.""']"	['Preface']	
260776	Note	['There are 9 notes in total.']	['Notes']	['v.3']
260777	Dedication		['To his Royal Highness the Prince of Wales']	
260780	Dedication		['To the Hon. Mrs. Fane.']	
260786	Dedication		['To William Godwin, author of Political justice, Caleb Williams, &c.']	
260786	Preface		['Preface']	
260788	Table of contents		['Contents of the first volume.']	
260790	Advertisement		['Advertisement.']	
260790	Dedication		['To the reader.']	
260790	Dedication		['To the Rev. J.J. Conybeare, by whom this curious fragment of the first English jest book was rescued from oblivion, the present limited reimpression, intended for a select literary circle, is dedicated, by his obliged and faithful servant, the editor.']	
260790	To the reader		['To F--D--, Esq.']	
260790	Glossary		['Glossary']	
260790	Glossary		['Glossary']	
260790	Table of contents		['Table']	
260790	Table of contents		['Table']	
260790	Table of contents		['Table']	
260790	Advertisement		['advertisement.']	
260790	Note		['xv']	
260796	Advertisement	"['Reads: To this edition, which has been printed from the correct quarto edition of 1762, is added: """"The Essay on Nothing,"""" originally published by Fielding, and often since reprinted in various miscellaneous collections, but hitherto not admitted into his works. A few notes have also been contributed to Mr. Murphy\\\'s Essay on his Life and Genius. For these the undersigned is accountable. Alex. Chalmers. London, 1806.""']"	['Advertisement']	
260796	Table of contents	"['The first volume contains: """"An Essay on the Life and Genius of Henry Fielding, Esq.,"""" """"Love in Several Masques, a Comedy,"""" """"The Temple Beau, a Comedy,"""" and """"The Author\\\'s Farcel with a Puppet-Show, called the Pleasures of the Town.""']"	['Contents of the First Volume']	
260796	Dedication	"['Dedication of """"Love in Several Masques, a Comedy""""', 'Begins: """"Madam, Your ladyship\\\'s known goodness gives my presumption the hopes of a pardon, for prefixing to this slight work the name of a lady, whose accurate judgment has long been the glory of her own sex, and the wonder of ours: especially, since it arose from a vanity to which your indulgence on the first perusal onf it gave birth.', 'It is signed, """"Madam, Your ladyship\\\'s most obedient, most humble servant, HENRY FIELDING""']"	['To the right honourable the Lady Mary Wortley Montague']	['v.1']
260796	Preface	"['Begins: """"I believe few plays have ever adventured into the world under greatere disadvantages than this. First, as it succeeded a comedy, which for the continued space of twenty-eight nights, received as great (and as just) applauses, as were ever bestowed on the English Theatre. And secondly, as it is contemporary with an entertainment which engrosses the whole talk and admiration of the town.""""', 'Preface to """"Love in Several Masques, a Comedy""""']"	['Preface']	"['v.1""']"
260796	Prologue	"['Description: """"Occasioned by this Comedy\\\'s succeeding that of the Provoked Husband. Spoken by Mr. Mills.""""', 'Prologue to """"Love in Several Masques, a Comedy""""']"	['Prologue']	"['v.1""']"
260796	Character information	"['""""Love in Several Masques, a Comedy""""', 'This section also informs us that the scene is set in London.""']"	['Dramatis Personae']	['v.1']
260796	Epilogue	"['Description: """"Spoken by Miss Robinson, Jun.""""', 'Epilogue for """"Love in Several Masques""']"	['Epilogue']	['v.1']
260796	Prologue	"['Description: """"Written by Mr. Ralph, and Spoken by Mr. Giffard""""', 'Prologue to """"The Temple Beau""""']"	['Prologue']	"['v.1""']"
260796	Character information	"['""""The Temple Beau""""', 'This section also informs us that the scene is set in London.""']"	['Dramatis Personae']	['v.1']
260796	Epilogue	"['Description: """"Wrtten by a Friend, Spoken by Mrs. Giffard.""""', 'Epilogue for """"The Temple Beau""']"	['Epilogue']	['v.1']
260796	Prologue	"['Description: """"Spoken by Mr. Jones""""', 'Prologue to """"The author\\\'s farce""""']"	['Prologue']	"['v.1""']"
260796	Character information	"['""""The Author\\\'s Farce""""']"	['Persons in the Farce']	"['v.1""']"
260796	Character information	"['""""The Author\\\'s Farce""""']"	['Persons in the Puppet-show']	"['v.1""']"
260796	Epilogue	"['Epilogue for """"The Author\\\'s Farce""']"	['Epilogue']	['v.1']
260799	Table of contents		['Contents of the chapters in the first volume.']	
260799	Table of contents		['Contents of the chapters in the second volume.']	
260799	Table of contents		['Contents of the chapters in the third volume.']	
260799	Table of contents		['Contents of the chapters in the fourth volume.']	
260799	Table of contents		['Contents of the chapters in the fifth volume.']	
260799	Preface		['Preface']	
260799	Postscript		['Postscript to the second edition.']	
260799	Note		['Notes to the first volume of the Scottish chiefs']	
260799	Note		['Notes to the second volume of the Scottish chiefs']	
260799	Note		['Notes to the third volume of the Scottish chiefs']	
260799	Note		['Notes to the fourth volume of the Scottish chiefs']	
260799	Note		['Notes to the fifth volume of the Scottish chiefs']	
260799	Errata		['Errata']	['v.3']
260800	Preface		['The preface.']	
260800	Preface		['preface']	['v.1']
260801	Advertisement	"['""""The following amusing and instructive books for children (adorned with cuts by Bewick) are just published by Wilson and son, York; price 1s. each.""']"		
260804	Dedication	"['Reads: """"To his loving countrymen, whether they are denominated men of the south, gentlemen of the north, people of the west, or folk of fife; these tales, illustrative of ancient scottish manners, and of the traditions of their respective districts, are respectfully inscribed, by their friend and liege fellow-subject, Jedediah Cleishbotham.""']"	['To His Loving Countrymen.']	['v.1']
