id	leader	orig language (base)	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260666	02840cam a2200529i  4500	eng	Edgeworth, Maria	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.			1	1st American edition	First edition.	1810	1810	Georgetown	['W. Cooper', 'W. Cooper']	Published by Joseph Milligan,				Duodecimo											['']	['Third-person']	['Epistolary', 'Essay']				Author (text)		Female		['Fiction']		['tale', 'author', 'parent', 'assistant', 'tale', 'life', 'letter', 'lady', 'tale', 'edition', 'self-justification', 'essay', 'science']		University of Pennsylvania		
260667	02396cam a2200493i  4500	eng	Edgeworth, Maria	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.				1	1st American ed.	First edition.	1810	1810	Georgetown	['W. Cooper', 'W. Cooper']	Published by Joseph Milligan,				Duodecimo											['']	['Third-person']	['Epistolary', 'Essay']				Author (text)		Female				['letter', 'lady', 'essay', 'science', 'self-justification']		University of Pennsylvania		
260668	02606cam a2200421i  4500	eng	Bunyan, John	1628-1688.	By John Bunyan.	A true relation of the holy war, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, The losing and taking again of the town of Mansoul. By John Bunyan.				1	A new edition, illustrated with copious notes, and embellished with elegant engravings, etc.		1810	1810.	London		Bourne and R. Evans				Quarto	ill.				true				true		['']	['Third-person']				true	Author (text)		Male	Male	['Mixed genre']		['relation', 'war', 'metropolis', 'world', 'town', 'minister', 'gospel', 'author', 'pilgrim', 'progress', 'works']		University of Pennsylvania		
260669	03529cam a2200589 a 4500	eng	Porter, Anna Maria	1780-1832.	by Miss Anna Maria Porter ....	The knight of St. John : a romance / by Miss Anna Maria Porter ....	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.			3			1817	1817.	London		Longman, Hurst, Rees, Orme, and Brown, Paternoster-row.				Duodecimo		['First ed. Cf. Block, p. 188.']		true							['', "Carey\\\\\\'s Dante."]	['Third-person']			true		Author (text)		Female	Female"			['friends']	['Norway']	University of Pennsylvania		
260670	01618cam a22004091i 4500	eng	Porter, Anna Maria	1780-1832.	by Miss Anna Maria Porter ...	The knight of St. John, a romance, by Miss Anna Maria Porter ...				3	2d ed.	Second edition.	1817	1817.	London		Printed for Longman, Hurst, Rees, Orme, and Brown,						["Publisher's advertisements: [18] p. at end of vol. 3."]									['']										["Publishers' advertisements"]				University of Pennsylvania		
260671	02563cam a2200445i  4500	eng	Porter, Anna Maria	1780-1832.	by Anna Maria Porter.	The Knight of St. John : a romance / by Anna Maria Porter.	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.			2			1817		Philadelphia		Published by M. Thomas, No. 52 Chesnut-Street.				Duodecimo											['', "Carey\\\\\\'s Dante."]	['Third-person']					Author (text)	Reference to other works	Female	Female"			['friends']	['Norway']	University of Pennsylvania		
260672	01538cam a2200337i  4500	eng	Johnson, R	1733 or 4-1793.	by the editor of The looking-glass for the mind.	The blossoms of morality : intended for the amusement and instruction of young ladies and gentlemen / by the editor of The looking-glass for the mind.				1			1810	1810.	Philadelphia		Printed by Thomas and William Bradford,					ill. ;	['Published anonymously. Generally attributed to Richard Johnson, the printer.']									['']														University of Pennsylvania		
260673	03514cam a2200649 a 4500	eng	Burney, Sarah Harriet	1772-1844.	by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	Clarentine : a novel / by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Clarentine, By Miss Burney. Vol. I.		3	Second edition, in three volumes.	Second edition.	1816	1816	London	['Colburn, H.', 'Colburn, Henry']	Printed for Henry Colburn, Public Library, Conduit Street, hanover Square.						['Advertisements: v. 3, [3] p. at end.']			Entitled, ""Interesting Works, Lately published  by H. Colburn, Conduit Street.""						['']	['Third-person']					Author (text)	Reference to other works	Indeterminate	Female"	['Advertisements']	['Geraldine Fauconberg', 'Traits of nature']	['novel', 'Author', 'volumes']		University of Pennsylvania		
260677	01315cam a2200361   4500	eng			by an Hibernian [pseud.]	The Irish emigrant. An historical tale founded on fact, by an Hibernian [pseud.]				2			1817	1817.	Winchester, Va.,		J.T. Sharrocks,															['']														University of Pennsylvania		
260679	01342cam a2200325 a 4500	eng	Opie, Amelia Alderson	1769-1853.	by Amelia Opie.	The father and daughter : a tale / by Amelia Opie.				1			1812	1812.	Georgetown		Published by Joseph Milligan, and by William Cooper, Washington,						['Colophon: W. Cooper, printer.']									['']														University of Pennsylvania		
260680	01576cam a2200349 a 4500	eng	Ryley, S. W	1759-1837.	by S.W. Ryley : in two volumes.	The itinerant, or Memoirs of an actor / by S.W. Ryley : in two volumes.				2			1810	1810.	New York		Published and sold by Inskeep & Bradford, New York, and William M\\\'Ilhenney, Boston ;						['Originally published in London in 1808 in three volumes. Two further series, of three volumes each, appeared in 1816-17 and 1827.']									['']												['itinerant', 'Memoirs', 'actor', 'volumes']		University of Pennsylvania		
260681	02206cam a2200481   4500	eng	Ryley, S. W	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...				9			1817	1817-27.	London		Printed for Sherwood, Neely, & Jones,					port.	['Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland.']									['']										['Advertisements']				University of Pennsylvania		
260682	05049cam a2200853   4500	eng	Ryley, S. W	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.			9			1817	1817.	London		Printed for Sherwood, Neely, & Jones, Paternoster Row.				Duodecimo	port.	['Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland.']	true	true					true		['', 'Shakespeare.']	['First-person']			true		Author (text)		Indeterminate		['Advertisements']		['preface']		University of Pennsylvania		
260683	01660cam a2200373 a 4500	eng	Ryley, S. W	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.				3			1816	1816-1817.	London		Printed for Sherwood, Neely, and Jones ...,					port. ;	['""The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."']									['']														University of Pennsylvania		
260684	02416cam a2200493 a 4500	eng	Ryley, S. W	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.			3			1816	1816-1817.	London		Printed for Sherwood, Neely, and Jones, Paternoster-Row				Duodecimo	port. ;	['""The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."']	true	true					true		['']						Author (paratext)		Indeterminate	Male			['content']		University of Pennsylvania		
260685	03676cam a2200589 a 4500	eng	More, Hannah	1745-1833.		Coelebs in search of a wife : comprehending observations on domestic habits and manners, religion and morals.	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	Coelebs.		2	The fourteenth edition.	Fourteenth edition.	1813	1813	London	['Cadell, T. and W. Davies', 'Cadell, Thomas', 'Davies, William']	Printed for T. Cadell and W. Davies, In the Strand.						['Published anonymously.  By Hannah More.']	Begins: ""When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf.""								['Paradise Lost', 'John Milton']	['First-person']	['Epistolary']		true								['search', 'wife', 'observations', 'habits', 'manners', 'religion', 'morals', 'edition', 'volumes']		University of Pennsylvania		
260716	01769cam a2200385 i 4500	eng	Hamilton, Elizabeth	1758-1816.	By Elizabeth Hamilton.	Translation of the letters of a Hindoo rajah; written previous to, and during the period of his residence in England. To which is prefixed, a preliminary dissertation on the history, religion, and manners, of the Hindoos. By Elizabeth Hamilton.				2	5th ed.	Fifth edition.	1811	1811.	London		J. Walker [etc.]						['""A work of fiction, describing the prevalent customs and manners of England, under the name of a supposed Hindoo [Seeta Juin Zāārmilla""--Watt, Bibl. brit."']									['']														University of Pennsylvania		
260723	02312cam a2200469 a 4500	eng	Jenner, J.		by Mrs. J. Jenner.	Melmoth House : a novel : in three volumes / by Mrs. J. Jenner.	Melmoth House: a novel. In three volumes, by Mrs. J. Jenner. Vol. I.			3			1816	1816	London		Printed for the author, and sold by G. Austin, Battle; sold also by Baldwin, Cradock, and Joy, No. 47; Walker and Edwards, No. 44 Paternoster Row, and R. Nunn, No. 48 Great Queen Street				Duodecimo		['Each volume has errata slip inserted.']					true				['']	['Epistolary']		true			Author (text)		Female				['Introduction']		University of Pennsylvania		
260725	01342cam a2200325 a 4500	eng	Dow, Lorenzo	1777-1834.		History of Cosmopolite, or The four volumes of Lorenzo\\\'s journal, concentrated in one : containing his experience and travels, from childhood to 1814, being upwards of thirty-six years.				1			1814	1814.	New York		Printed and sold by John C. Totten ...,															['']														University of Pennsylvania		
260726	05564cam a2200817 a 4500	ger	Klopstock, Friedrich Gottlieb	1724-1803.	attempted from the German of Mr. Klopstock, by Mr. Collyer ...	The messiah / attempted from the German of Mr. Klopstock, by Mr. Collyer ...	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	The Messiah. Book II.		2			1811	1811	Boston		Published by John West and Co., No. 75, Cornhill.						['A prose translation of ""Der Messias, I.-XV. Gesang,"" begun by Mary Collyer and after her death completed by her husband, Joseph Collyer."']	Begins: ""The extraordinary success of the Death of Abel, and the high opinion that many persons of distinguished merit have entertained of that work, rendered them solicitous to see the Messiah attempted in the same manner, and by the same hand; they therefore applied to Mrs. Collyer, who began the arduous task; but had made no great progress, when a lingering illness, occasioned by the agitations of mind she suffered in writing the former book, unhappily for me, and for our children, put a period both to the attempt and to her life."				Begins: ""The public have a right to expect that the painter, who submits his picture to their judgment, should hang it up, and go away in silence. This rule I have carefully observed, and, mingling with the spectators, have held my peace, and improved by their observations. Still would I proceed in the same manner, and only take aside such of the spectators as are willing to hear me, and place them in a situation, in which, I imagine, they will be enabled to view pieces of this kind, in a proper point of view. My design is not here confined to the Messiah, but to sacred poetry in general."				['']	['Third-person']	['First-person']		true		Translator (patatext)	Generic/Descriptive	Indeterminate	Male			['German', 'Books', 'Two', 'Volumes']		University of Pennsylvania		
260727	04609cam a2200817   4500	eng	Klopstock, Friedrich Gottlieb	1724-1803.	from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.			2			1811	1811.	London		For J. Walker,				Duodecimo		['This book is comprised of two separate volumes bound together (two volumes in one).']							true		['']	['First-person']					Author (text)		Female				['argument']		University of Pennsylvania		
260728	01695cam a2200385 a 4500	eng	Waln, Robert	1794-1825.	edited by Peter Atall, Esq.	The hermit in America on a visit to Philadelphia : containing some account of the human leeches, belles, beaux, coquettes, dandies, cotillion parties, supper parties, tea parties, &c. &c. of that famous city, and the poets and painters of America / edited by Peter Atall, Esq.				1	Second edition, with corrections and additions.		1819	1819.	Philadelphia		Published by M. Thomas,					ill. ;	['The statement of responsibility appears after the edition statement.']									['']														University of Pennsylvania		
260729	03599cam a2200529 i 4500	eng	Smollett, Tobias George	1721-1771.	by Dr. Smollett.	The adventures of Ferdinand, count Fathom, by Dr. Smollett.	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	The adventures of Ferdinand Count Fathom.		2			1817	1817	New York		William B. Gilley, No. 92 Broadway						['To be more specific, the book was published in ""July 1817."']		Begins: ""You and I, my good friend, have often deliberated on the difficulty of writing such a dedication as might gratify the self-complacency of a patron, without exposing the author to the ridicule or censure of the public; and I think we generally agreed that the task was altogether impracticable. -- Indeed, this was one of the few subjects on which we have always thought in the same manner: For, notwithstanding that deference and regard which we mutually pay to each other, certain it is, we have often differed, according to the predominancy of those different passions, which frequently warp the opinion, and perplex the understanding of the most judicious.""							['Liber Quartus', 'Juvenalis']					true	Author (text)	Reference to other works	Indeterminate	Male		['Roderick Random', 'Peregrine Pickle']	['adventures', 'author', 'volumes']		University of Pennsylvania		
260730	01194cam a2200325 i 4500	eng	Helme, Elizabeth	1816.	By Elizabeth Helm.	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth. By Elizabeth Helm.				1			1814	1814.	New York							pl.										['']														University of Pennsylvania		
260731	01175cam a2200325 i 4500	eng	More, Hannah	1745-1833.		Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals.				2			1810	1810.	Philadelphia		Printed by Thomas & William Bradford,															['']														University of Pennsylvania		
260732	03918cam a2200637 a 4500	eng	Hogg, James	1770-1835.	by James Hogg ...	The brownie of Bodsbeck, and other tales / by James Hogg ...	The Brownie of Bodsbeck; and other tales. By James Hogg, author of ""The Queen's Wake,"" &c. &c. In Two Volumes. Vol. I.	The Brownie of Bodsbeck; and other tales.		2			1818	1818.	Edinburgh	['Murray, J. and W. Blackwood', 'William Blackwood', 'John Murray']	Printed for William Blackwood, Prince\\\'s-Street: and John Murray, Albemarle-Street, London.					music ;	['On verso of half title: Edinburgh: Printed by James Ballantyne & Co.']		Written in verse					true		['Hamlet', 'Shakespeare']	['Third-person']	['First-person']				Author (text)	Reference to other works	Indeterminate	Male			['brownie', 'tales']	['Bodsbeck']	University of Pennsylvania		
260733	01355cam a2200361 i 4500	eng	Graves, Richard	1715-1804.		The spiritual Quixote, or, The summer\\\'s ramble of Mr. Geoffry Wildgoose. A comic romance. To which is prefixed the life of the author.				2	1st American from the London ed.	First edition.	1816	1816.	Providence, R.I.,		Robinson & Howland [etc.]															['']														University of Pennsylvania		
260734	04578cam a2200613 i 4500	eng	Williams, John	1664-1729.	Written by themselves.	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.			1			1811	September.......1811.	Brookfield		Printed by Hori Brown, from the press of E. Merriam and Co.						['The captivity and deliverance of Mrs. Mary Rowlandson has special t.-p. and separate paging.']	true	true							['']	['Epistolary', 'First-person']			true		Author (text)	Generic/Descriptive	Male				['dedication']	['Deerfield', 'Lancaster', 'Canada']	University of Pennsylvania		
260735	03370cam a2200577 i 4500	eng	Brunton, Mary	1778-1818.		Self-control: a novel.	Self-control: a novel. Volume I.	Self-control.		2			1811	1811	Edinburgh	['Manners and Miller', 'Longman, Hurst, Rees, Orme, and Brown', 'Manners and Miller', 'Longman, Hurst, Rees, Orme, and Brown']	Manners and Miller						['Block.']		Begins: ""Madam, You would smile to hear the insect of a day pay the tribute of its praise to the lasting oak which aided its first feeble soaring -- Smile then; -- for a person whom nature, fortune, and inclination, alike have marked for obscurity, one whose very name may never reach your ear, offers this tribute of respect to the author of Plays on the Passions.""							['The Winter Walk at Noon', 'William Cowper']	['Third-person']					Author (paratext)	Generic/Descriptive	Indeterminate	Female			['Self-control']		University of Pennsylvania		
260736	03399cam a2200481 i 4500	eng	Byron, Medora Gordon		by Miss Byron.	The alderman and the peer, or, The ancient castle & modern villa : in three volumes / by Miss Byron.	The alderman and the peer; or, the ancient castle & modern villa. In three volumes. By Miss Byron, author of The Englishwoman, Hours of affluence and Days of indigence, &c. Vol. I.			3			1810	1810.	London		Printed at the Minerva-Press for A. K. Newman and co. (Successors to Lane, Newman, & Col.) Leadenhall-street				Duodecimo		['Blakey, The Minerva press, p. 233.']									['']	['Third-person']					Author (text)		Female	Female			['alderman', 'peer', 'castle', 'villa', 'author', 'Englishwoman', 'hour', 'affluence', 'days', 'indigence']		University of Pennsylvania		
260737	02857cam a2200457 i 4500	eng				The Englishman in Paris : a satirical novel : With sketches of   the most memorable characters that have recently visited that celebrated        capital ... In three volumes.	The Englishman in Paris; a satirical novel. With sketches of the most remarkable characters that have recently visited that celebrated capital. In three volumes. Vol. I.	The Englishman in Paris; a satirical novel. Vol. I.		3			1819	1819.	London		Printed for Sherwood, Neely and Jones, Paternoster Row.				Duodecimo											['']										['Satire']		['Englishman', 'novel', 'sketch', 'character', 'capital']	['Paris']	University of Pennsylvania		
260738	01616cam a2200361 i 4500	eng	Byron, Medora Gordon		By a modern antique.	Celia in search of a husband / By a modern antique.	Celia in search of a husband: by a modern antique. In two volumes. Third edition. Vol. I.			2	Third edition.	Third edition	1819	1819.	London		Printed at the Minerva-Press for A. K. Newman and co.,				Duodecimo											['']														University of Pennsylvania		
260740	02933cam a2200565 i 4500	eng	Brunton, Mary	1778-1818.	By the author of Self-Control.	Discipline: a novel. By the author of Self-Control.	Discipline: a novel.  By the author of ""Self-control."" Volume I.	Discipline		3			1814	1814.	Edinburgh		Printed by George Ramsay & co. for Manners and Miller, Edinburgh, and Longman, Hurst, Rees, Orme, and Brown, London.				Octavo		['Block.']	true								['']	['First-person']					Author (text)		Indeterminate	Female"	['Fiction']		['discipline', 'novel', 'author', 'self-control']		University of Pennsylvania		
260741	06333cam a2200949ii 4500	eng	More, Hannah	1745-1833.		The works of Hannah More : including several pieces never before published.	The works of Hannah More, including several pieces never before published. Vol. I.	Sacred dramas: chiefly intended for young persons.  The subjects taken from the Bible		8			1818	1818	Philadelphia		Edward Earle.				Duodecimo		['Vols. 6-7 printed by G. Goodman.']	true	true	true		true		true		['Cowley.']	['Third-person']			true								['work', 'piece']		University of Pennsylvania		
260742	01407cam a2200349   4500	eng	Grant, Anne MacVicar	1755-1838.		Letters from the mountains; being the real correspondence of a lady, between the years 1773 and 1807.				3	Fifth edition.	Fifth edition.	1813	1813.	London		Printed for Longman, Hurst, Rees, Orme, & Brown ...,															['']												['letters', 'mountains', 'correspondence', 'lady', 'years']		University of Pennsylvania		
260743	05172cam a2200601   4500	eng	Cunningham, J. W	1780-1861.	by J.W. Cunningham.	A world without souls ; and, The velvet cushion / by J.W. Cunningham.	A world without souls, and the velvet cushion by J.W. Cunningham, A.M. Vicar of Harrow	The Velvet Cushion.		2	The Fifth Edition	Fifth edition.	1815	1815	Albany		Green & Co.						['Each work has separate title page.']	Reads: ""It has seemed right to the Author to meet the increased demand for this little work, by the publication of another edition. But, at the same time, it appeared to be a duty which he owed, both to himself and to the public, not to re-publish a work, written at a very early period of his life, without attempting some correction of its more obvious faults.""	Begins: ""It is peculiar to Columbus and to me, to make the old world acquainted with the new one. But it is not only thus generally that we resemble each other. Some Spanish historians, who thought perhaps that the hemisphere in which they themselves lived, must of necessity be the best of all possible hemispheres; or who imagined it of little use to have discovered a world if it was not a strange world; or who suspected that the achievements of some of their countrymen in America might, by the world in general, be mistaken for murder - endeavored to prove that the Americans had no souls. Now, what was charged upon his world, was true of that to which I introduce you - they are without souls""							['']	['Third-person']	['First-person']				Author (paratext)	Generic/Descriptive	Indeterminate				['world', 'souls', 'cushion', 'Vicar']	['Harrow']	University of Pennsylvania		
