id	title full	246$v vols	300$a vols	300$a
261047			2	2 v. ;
261048			2	2 v. ;
261049			3	3 v. ;
261050			3	3 v. ;
261051			3	3 v. ;
261052			4	4 v. ;
261057			8	8 v. :
261058			8	8 v. :
261075			2	2 v. ;
261077			2	2 v. ;
261086			3	3 v. ;
261088	The affecting narrative of Peggy and Patty Summers; or, The sisters of Ashdale. Their unfortunate meeting with Capt. Jackall at Carlisle, who personated their brother. His introducing them to Lord Racket, (who he was employed by) as an acquaintance of his; the abominable art used to ruin them; and an account of their father's journey to London. His finding them in keeping, and not being able to get access to them was the cause of his death.		2	2 v. ;
261094			3	3 v. ;
261096	The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. L.		2	2 v. ;
341455			3	3 v. ;
378973	Bracebridge Hall, or the humourists. A medley, by Geoffrey Crayon, gent. In two volumes. Vol. II.		2	2 v. ;
379041	Pencil sketches; or outlines of character and manners. By Miss Leslie.		3	3 v. ;
379082	The Crayon miscellany. By the author of The sketch book. No. 1. containing A tour on the prairies.		3	3 v. ;
379185	The Alhambra: a series of tales and sketches of the  Moors and Spaniards. By the author of The sketch book. In two volumes. Vol. I.		2	2 v. ;
379297	"Pioneers, or the sources of the Susquehanna: a descriptive tale. By the author of """"Precaution."""" In two volumes. Vol. I."		2	2 v. ;
1813680-2	The prude: a novel. By a young lady.		3	3 v. ;
1816853	Pylades and Corinna: or, memoirs of the lives, amours, and writings of Richard Gwinnett, Esq.; of Great Shurdington in Gloucestershire; and Mrs. Elizabeth Thomas, Jun. of Great Russel Street, Bloomsbury. Containing, the letters and other miscellaneous pieces, in prose and verse, which passed between them during a courtship of above sixteen years. Faithfully published from their original manuscripts. Attested by Sir Edward Northey, knight. To which is prefixed, The life of Corinna. Written by her self.		2	2 v.
268576	L'entretien des beaux esprits. Being the sequel to La belle assemblée containing the following novels. Viz. The amorous thief. Nature out-done by love. The happy exchange. The triumph of virtue. Generous corsair. Vol. I. Written for the entertainment of the French court, by Madam de Gomez, author of La belle assemblée.		2	2 v. ;
1005225	Peruvian tales, related, in one thousand and one hours, by one of the select virgins of Cusco, to the Ynca of Peru, to dissuade him from a resolution he had taken to destroy himself by poison. Interspersed with curious and historical remarks, explaining the religious and civil customs, and ceremonies, of the ancient inhabitants of that great empire. Translated from the original French by Samuel Humphreys, esq;		2	2 v. :
196208	Giaphantia: or, a view of what has passed, what is now passing, and, during the present century, what will pass, in the world. Translated from the original French, with explanatory notes.		2	2 v. ;
276154	The honour of chivalry: or, the famous and delectable history of Don Bellianis of Greece. Containing the valiant exploits of that magnanimous and heroick prince; son unto the emperor Don Bellaneo of Greece. Wherein are described, the strange and dangerous adventures that befell him: with his love towards the Princess Florisbella, daughter to the Soldan of Babylon. Translated out of Italian.		2	2 v. in 1 ([4], 222 [i.e. 228]; [4], 156 p.) ;
3768213	Il Decamerone. One hundred ingenious novels: written by John Boccacio, the first refiner of the Italian language. Now done into English, and accommodated to the gust of the present age.		2	2 v. in 1 ([32], 237, [1] ; [2], 287, [1] p., [1] leaf of plates) :
3859265	The Christian Turk, or, the instructive and entertaining adventures of Prince Jakaya, son to Mahomet III. Emperor of the Turks: who lost his succession to the Ottoman Empire, by being privately bred up in the Christian religion. The whole intermix'd with several delightful histories of the most illustrious personages, and containing the greatest variety of events ever yet published. In two volumes. The second edition. Translated from the original French.		2	2 v. ;
4158597			2	2 v. ; 254
455115			2	2 v.
991680			3	3 v. ;
5911017	The buccaneers; a romance of our own country, in its ancient day; illustrated with divers marvellous histories, and antique and facetious episodes; gathered from the most authentic chronicles & affirmed records extant from the settlement of the Niew Nederlandts until the times of the famous Richard Kid: carefully collated from the laborious researches, and minute investigations, of that excellent antiquary and sublime philosopher, Yclept Terentius Phlogobombos. In five books.		2	2 v. ;
3571236	The dairyman's daughter, an authentic and interesting narrative, in two parts--Part I.		2	2 v. ;
962416-1	Henrietta, Countess Osenvor. A sentimental novel. In a series of letters to Lady Susannah Fitzroy, by Mr. Treyssac de Vergy, counsellor in the parliament of Paris. In two volumes.		2	2 v. (69, [1] p.) ;
962416-2	Henrietta, Countess Osenvor. A sentimental novel in a series of letters to Lady Susannah Fitzroy, by Mr. Treyssac de Vergy, counsellor in the parliament of Paris. In two volumes.		2	2 v. (69, [1] p.) ;
277537	Female falshood: or, the life and adventures of a late French nobleman. Written by himself after his retirement, and digested by Mons. de St. Evremond. In two volumes. The third edition, revised and corrected. Vol. I.		2	2 v.
596561	Peruvian tales, related in one thousand and one hours, by one of select virgins of Cusco, to the Ynca of Peru, to dissuade him from a resolution he had taken to destroy himself by poison. Translated from the original French by Samuel Humphreys, Esq. In three volumes.		3	3 v. (vii, [8]-268 p., [8] leaves of plates) :
