id	title full	246$v vols	300$a vols	300$a
260900	A year and a day. A novel. In two volumes. By Madame Panache, author of Manners	1	2	2 v. ;
260902	Felicia to Charlotte: Being letters from a young lady in the country, to her friend in town. Containing a series of the most interesting vents, interspresed with moral reflections; chiefly tending to prove, that the seeds of virtue are implanted in the mind of every reasonable being.	1	2	2 v. ;
260933	"Adelaide: or, The Countercharm. A Novel. In Five Volumes. By the author of """"Santo Sebastiano ; or, the Young Protector:"""" """"Romance of the Pyrenees:"""" and """"The Forest of Montalbano."""" Vol. V."	1	5	5 v. ;
260987	Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, then a captain of several ships. Vol. I.	1	2	2 v. ;
261083	Melincourt. By the author of Headlong Hall. In three volumes. Vol. I.	1	3	3 v. ;
276051	A select collection of novels in four volumes. Written by the most celebrated authors in several languages. Many of which never appear'd in English before; and all new translated from the originals, by several eminent hands.	1	6	6 v. :
276092	"Duty, a novel, by the late Mrs. Roberts, author of """" Rose and Emily:"""" Interspersed with poetry and preceded by a character of the author by (Mrs. Opie). In three volumes."	1	3	3 v. ;
276114	The recluse of Norway by Miss Anna Maria Porter. In four volumes. Vol. I. 	3	4	4 v. ;
276122	The life and adventures of Joe Thompson. A narrative founded on fact. Written by himself. In two volumes.	1	2	2 v. ;
276135	The example: or the history of Lucy Cleveland. By a young lady. Vol. I.	1	2	2 v. ;
276150	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	1	3	3 v. ;
340846	The adventures of a bank-note. In two volumes. Vol. I.	2	4	4 v. ;
341366	A collection of novels, selected and revised by Mrs. Griffith. Vol. I.	2	3	3 v. :
341403	The double disappointment; or, the history of Charles Marlow. In a series of letters. In two volumes. Vol. I.	1	2	2 v. ;
341424	The fatal effects of inconstancy; or, letters of the Marchioness de Syrcé, the Count de Mirbeele, and others. Translated from the French. In two volumes. Vol. I.	14	2	2 v. ;
341457	The history of Miss Betsy Thoughtless. By Mrs. Haywood. In four volumes.	1	4	4 v. :
341460	The history of Peggy Black and Wilmot Bond. Volume I.	4	5	5 v. ;
341484	Juliet Grenville: or, the history of the human heart. Three volumes in two. By Mr. Brooke. Vol. I.	1	2	2 v. ;
341524	Letters supposed to have been written by Yorick and Eliza. In two volumes. Vol. I.	1	2	2 v. ;
341552	Memoirs of a Magdalen; or, the history of Louisa Mildmay. By Hugh Kelly, Esq. In two volumes.	1	2	2 v. ;
341556	Memoirs of the late Edw. W-----ly M---tague, Esq; with remarks on the manners and customs of the oriental world; collected and published from original posthumous papers. Vol. I.	3	2	2 v. ;
341561	Conclusion of the memoirs of Miss Sidney Bidulph, as prepared for the press by the late editor of the former part. Volume IV.	4	5	5 v. ;
341626	Rosara; or, the adventures of an actress: a story from real life. Translated from the Italian of Pietro Chiari. Vol. II.	2	3	3 v. ;
341687	The triumph of benevolence; or, the history of Francis Wills. In two volumes. Vol. I.	1	2	2 v. ;
341715	The works of Jonathan Swift, D.D:D.S.P.D. With notes historical and critical, by J. Hawkesworth, L. L. D. and others. Vol. X	15	18	18 v. ;
374956	Pauline Seward. A tale of real life, by John D. Bryant. [Epigraph.] In two volumes. Vol. I. Third Edition.	1	2	2 v. ;
375225	The Atlantic club-book: being sketches in prose and verse, by various authors.  In two volumes.  Vol. II.	1	2	2 v. ;
375791	Arthur Mervyn ; or memoirs of the year 1793. By Charles Brockden Brown. Vol I.	1	2	2 v. ;
380966	The history of Eliza Warwick. In two volumes. [epigraph] Vol. I.	1	2	2 v. ;
427580	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume III.	3	14	14 v. ;
427644	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume II.	2	14	14 v. ;
427785	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume IV.	4	14	14 v. ;
427894	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume V.	5	14	14 v. ;
428009	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume VI.	6	14	14 v. ;
428027	The Works of Henry Fielding, Esq. With an essay on his life and genius, by Arthur Murphy, Esq. A New Edition, in Fourteen Volumes. Volume VII.	7	14	14 v. ;
440192	The cry: a new dramatic fable. In two volumes. Vol. I. 	2	1	1 - 293; v.1
440193	The juvenile adventures of David Ranger, Esq; from an original manuscript found in the collections of a late noble lord. In two volumes. 	2	1	[1] - 292; v.1 
440198	Emily: or, the history of a natural daughter. In two volumes. Vol I. 	2	1	[1]-243; v.1
440200	The fortunate villager: or, memoirs of Sir Andrew Thompson. In two volumes. Vol. I. 	2	1	[i] - iv, [1] - 244; v.1
440207	Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, and then a captain of several ships. Vol. I. 	2	1	[i] - xii, [1] - 264; v.1
440215	The history of Jemmy and Jenny Jessamy. In three volumes. Vol. I. By the author of The History of Betsy Thoughtless.	3	1	[i]-iv, [1]-288; v.1
440216	The history of Jemmy and Jenny Jessamy. In three volumes. Vol. I. By the author of The History of Betsy Thoughtless.	3	1	[i]-iv, [1]-288; v.1
440219	The memoirs of the life of John Medley, Esq; or, fortune reconcil'd to merit. By the author of Pamela's conduct in high life. Vol. II. 	2	1	[1] - 304; v.1
440223	The memoirs of a young lady of quality, a platonist. Vol. I.	3	1	[i]-xii, [1]-297; v.1
440224	The memoirs of a young lady of quality, a platonist. Vol. I.	3	1	[i]-xii, [1]-297; v.1
440226	The history of Lucy Wellers. Written by a lady. In two volumes. Vol. I.	2	1	1-256; v.1
440227	Lydia, or filial piety. A novel. By the author of The Marriage-Act, a novel. And letters on the English nation. Vol. I. 	4	1	[1] - 274; v.1
440228	Lydia, or filial piety. A novel. By the author of The marriage-act, a novel. And Letters on the English nation. Vol. I.	4	1	[1]-274; v.1
440232	The marriage act. A novel. In which the ruin of female honour, the contempt of the clergy, the destruction of private and public liberty, with other fatal consequences are considered; in a series of interesting adventures. Vol. I.	2	1	[i]-xiv, [1]-312; v.1
440233	Modern Characters: illustrated by histories in real life, and addres'dn to the polite world. Vol. I. 	2	1	[1] - 301; v.1
440235	Letters from an old man to a young prince, with the answers. Translated from the Swedish. To which are prefixed those of her present Majesty to her son: with the translations. In two volumes. Vol. I.	2	1	[i]-lii, [1]-200; v.1
440252	The travels and adventures of William Bingfield, Esq; Containing, as surprizing a fluctuation of circumstances, both by sea and land, as ever befel one man. With an accurate account of the shape, nature, and properties of that most furious, and amazing animal, the dog-bird. Printed from his own manuscript. With a beautiful frontispiece. Vol. I. 	2	1	[1] - 269, iii - viii; v.1 
440254	The travels of Zoroaster, king of the Bactrians. Composed chiefly for the instruction of a young prince. Vol. I. 	3	1	[i] - xxxv, [1] - 273; v.1
440260	The history of Betty Barnes: in two volumes. Vol. I. 	2	1	[1]-295; v.1
440261	The Card. Vol. I. 	2	1	[i]-xii, [1]-226; v.1
440263	The Card Vol. I. 	2	1	i - xvi; [1] - 264; v.1
440268	Chiron: or, the mental optician. Vol. I.	2	1	[i]-vi, 1-188; v.1
440269	Chit-chat: or, natural characters; and the manners of real life, represented in a series of interesting adventures. In two volumes. Vol. I.	2	1	1-224; v.1
440295	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	4	1	[i]-[ii], [1]-324; v.1
440300	Constantia; or, a true picture of human life, represented in fifteen evening conversations, after the manner of boccace. In two volumes. To which is prefixed, a short discourse on novel writing. 	2	1	[i] - xxiv, 1 - 250; v.1
440302	The adventures of Ferdinand Count Fathom. By the author of Roderick Random. In two volumes. Vol.I. 	2	1	[i] - viii. 1 - 262; v.1
440303	Familiar letters between the principal characters in David Simple, and some others, being a sequel to his adventures. To which is added, a vision. By the author of David Simple. The second edition. Vol. III.	4	3	[i]-xiv, 25-203; v.3
440308	Glenarvon. In three volumes. Vol. I. Third Edition.	3	1	[i]-x,[1]-285; v. 1
440326	Memoirs of a man of pleasure, or the adventures of Versorand. Volume I. 	2	1	[1] - 329, 430-435; v.1
440358	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	4	1	[i]-[ii], [1]-324; v.1
440364	Constantia; or, a true picture of human life, represented in fifteen evening conversations, after the manner of boccace. In two volumes. To which is prefixed, a short discourse on novel writing. 	2	1	[i] - xxiv, 1 - 250; v.1
440366	The adventures of Ferdinand Count Fathom. By the author of Roderick Random. In two volumes. Vol.I. 	2	1	[i] - viii. 1 - 262; v.1
440367	Familiar letters between the principal characters in David Simple, and some others, being a sequel to his adventures. To which is added, a vision. By the author of David Simple. The second edition. Vol. III.	4	3	[i]-xiv, 25-203; v.3
440372	Glenarvon. In three volumes. Vol. I. Third Edition.	3	1	[i]-x,[1]-285; v. 1
440388	Memoirs of a man of pleasure, or the adventures of Versorand. Volume I. 	2	1	[1] - 329, 430-435; v.1
440406	Reginald Dalton. By the author of Valerius, and Adam Blair. In three volumes. Vol. I	3	1	[1]-346, v.1 
440407		2	1	[i] - viii; [1] - 265; v.1 
440410	The adventures of Gil Blas. Translated from the French of Le Sage by Tobias Smollet, MD. Vol. I.	2	1	[i]-xxi,  [1]-429, v. 1
440414	The female quixote; or, the adventures of arabella. In two volumes. Vol. 1 	2	1	[iii]-vi, [1]-271; v.1 
440418	The Prince of Abissinia.  A tale.  In two volumes.  Vol. I.	2	1	[i]-viii, [1]-159; v.1
179521-2		1	2	2 v. ;
1799320	Another traveller! or, cursory remarks and tritical observations made upon a journey through part of the Netherlands in the latter end of the year 1766. By Coriat Junior. In two volumes. Vol. I.	3	2	2 v. in 3 ;
196689	Letters on different subjects, in four volumes; amongst which are interspers'd the adventures of Alphonso, after the destruction of Lisbon. By the author of The unfortunate mother's advice to her absent daughters. The third edition. Vol. I.	1	4	4 v. ;
196691	A series of genuine letters between Henry and Frances. The third edition, revised, corrected, enlarged, and improved, by the authors. Vol. I.	4	6	6 v. ;
198938	The nunnery; or, the history of Miss Sophia Howard. In two volumes.	1	2	2 v. ;
218047	The life and entertaining adventures of Mr. Cleveland, natural son of Oliver Cromwell, written by himself. Giving a particular account of his unhappiness in love, marriage, friendship, &c. and his great sufferings in Europe and America. Intermixed with reflections, describing the heart of man in all its variety of passions and disguises. Also, some curious particulars of Oliver's history and amours, and several remarkable passages in the reign of King Charles II. never before made publick. In four volumes.	1	4	4 v. ;
192415	The Life and Opinions of Tristram Shandy, Gentleman. Vol. III.	9	2	2 v. :
193580-2	The histories of Lady Frances S----, and Lady Caroline S----. Written by the Miss Minifies, of Fairwater, in Somersetshire. Vol. I.	3	4	4 v. ;
3765310	Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English by Sir Charles Cotterell, master of the ceremonies to King Charles I. and King Charles II. Vol. I.	1	5	5 v. :
986563-2		1	2	2 v. :
157471	The adventures of a hackney coach. The third edition corrected.	1	2	2 v. ;
1808057	Secret histories, novels, and poems. In four volumes. Written by Mrs. Eliza Haywood.	3	4	4 v. :
3482651	The novelist's magazine. Vol. XX. Containing Pamela.	20	4	4 v. in 1 (364 [i.e. 634] p., [15] leaves of plates) :
349453	Clarissa; or, the history of a young lady. Comprehending the most important concerns of private life. And particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage. By Mr. Samuel Richardson. In eight volumes.	15	2	2 v.
3478219	Redwood; a tale. In two volumes. Vol. I.	1	2	2 v. ;
962416-3	Henrietta, Countess Osenvor. A sentimental novel. In a series of letters to Lady Susannah Fitzroy. By Mr. Treyssac de Vergy, counsellor in the parliament of Paris. In two volumes.	1	2	2 v. (69, [1] p.) ;
976233	Modern chivalry: containing the adventures of captain John Farrago, and Teague Oregan, his servant. Volume I. By H. H. Brackenridge.	3	4	4 v. ;
105725-3	The exiles; or, memoirs of the Count de Cronstadt. By Clara Reeve, author of The old English baron, Two mentors, &c. &c. In three volumes. Vol. I.	2	3	3 v. ;
3769976	Little truths better than great fables: containing information on divers subjects, for the instruction of children. Volume I. Illustrated with copper-plates.	1	2	2 v. :
102829	The life of Frederick, Baron Trenck. Written by himself, and translated from the German. Vol. I.	1	2	2 v., [1] leaf of plates (231, [1]; 211, [5] p.) :
ocm07071452 	The republican's mistress; a novel founded upon facts. By Charlotte Smith.	2	3	3v. :
