id	title	author	date	a	b	c	d	e
260928	Persiles and Sigismunda: a celebrated novel. Intermix'd with a great variety of delightful histories and entertaining adventures. Written in Spanish by Michael de Cervantes Saavadera, author of Don Quixote. Translated into English from the original. Vol. I	Cervantes Saavedra, Miguel de	1745	['Translation']	['Title page']	['Spanish']		['Translated into English from the original.']
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Translation']	['Preface']	['French']		['Preface by the Translator']
260965	Two humorous novels, viz. I. A diverting dialogue between Scipio and Bergansa, two dogs belonging to the Hospital of the Resurrection, in the city of Valladolid, giving an account of their lives and various adventures; interspers'd  with their reflexions and sentiments on the lives, characters, humours and employments of the different masters they liv'd with. II. The comical history of Rinconete and Cortadillo. Both written by the celebrated author of Don Quixote. And now first translated from the Spanish original. The second edition.	Cervantes Saavedra, Miguel de	1742	['Translation']	['Title page']	['Spanish']		['And now first translated from the Spanish original.']
260989	The life and exploits of the ingenious gentleman Don Quixote de la Mancha . Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, Esq; in four volumes Volume the first.	Cervantes Saavedra, Miguel de	1747	['Translation']	['Title page']	['Spanish']		['Translated, from the Spanish manuscript, by Mr. Ozell']
261067	Travels into Turkey: containing the most accurate account of the Turks, and neighbouring nations, their manners, customs, religion, superstition, policy, riches, coins &c. The whole being a series of remarkable observations and events, interspers'd with great variety of entertaining incidents, never before printed. Translated from the original Latin of the learned A. G. Busbequius. With memoirs of the life of the illustrious author.	Busbecq, Ogier Ghislain de	1744	['Translation']	['Title page']	['Latin']		['Translated from the original Latin of the learned E.G. Busbequius.']
261068	Mogul tales, or, the dreams of men awake: being stories told to divert the grief of the Sultana's of Guzarat, for the supposed death of the sultan. Written in French by the celebrated Mr. Guelletee, author of The Chinese tales, &c. Now first translated into English. In two volumes, adorned with proper cuts, neatly engraven on copper plates. The second edition. Vol. I.	Gueullette, Thomas-Simon	1743	['Translation']	['Title page']	['French']		['Written in French by the celebrated Mr. Gulletee, author of The Chinese tales, &c. Now first translated into English.']
261087	The memoirs of the Baron du Tan. To which is added the Calabrian: or, the history of Charles Brachy, and the hermit. Translated from the French of Madame de Gomez, author of La Belle Assemblee, -- By a gentleman.	Gomez	1744	['Translation']	['Title page']	['French']		['Translated by the French of Madame de Gomez']
261156	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Translation']	['Preface']	['French']		
261486	The comical works of Don Francisco de Quevedo, author of the visions of Hell: Containing I. The night-adventures, or the day-hater. II. The life of Paul, the Spanish sharper. III. Fortune in her wits, or the hour of all men. IV. A proclamation by Old Father Time. V. A treatise of all things whatsoever. VI. Letters upon several occasions. Translated from the Spanish.	Quevedo, Francisco de	1742	['Translation']		['Spanish']		['Translated from the Spanish']
276047	Almahide, or the Captive Queen. An excellent new romance. Never before in English. The whole work. Written in French by the accurate pen of Monsieur de Scudery governor of (Nostre Dame). Done into English by (J. Philips Gent). Licensed, March 8. 1675/6 H. Oldenburgh.	ScudeÃÅry, Madeleine de	1677	['Translation']	['Title page']	['French']		['Written in French by the accurate pen of Monsieur de Scudery Governor of Nstre Dame. Done into English by J. Phillips Gent.']
276085	Kanor, a tale. Translated from the Savage.	Fagnan, Marie-Antoinette	1750	['Translation']	['Title page']	['""from the savage""']		['Translated from the savage."']
276086	Hymen's praeludia: Or, love's masterpiece. Being that so-much-admired romance, intituled, Cleopatra. In twelve parts. Written originally in the French, and now elegantly rendred into English, by Robert Loveday. Evand. Qui magis Cleoparta psrentibus ort a conspicuis, comiti (quam placuisse thori? Licensed, to be reprinted, July 20th, 1696. R. L'Etrange.	La CalpreneÃÄde, Gaultier de Coste	1687	['Translation']	['Title page']	['French']		['Written originally in the French, and now elegantly rendred into English, by Robert Loveday.']
276087	Horrid mysteries. A story. From the German of the Marquis of Grosse. By P. Will. In four volumes. Vol. I.	Grosse, Carl	1796	['Translation']	['Title page']	['German']		['From the German of the Marquis of Grosse.']
276099	Chinese letters. Being a philosophical, historical, and critical correspondence between a Chinese traveller at Paris, and his countrymen in China, Muscovy, Persia, and Japan.  Translated from the originals into French, by the Marquis d'Argens, author of the Lettres Juives, or Jewish Spy; and now done into English.	Argens, Jean-Baptiste de Boyer	1741	['Translation']	['Title page']	['French']	['Chinese']	["Translated from the originals into French by the Marquis d'Argens, author of the Lettres Juives, or Jewish Spy; and now done into English"]
276100	Cassandra: the fam'd romance the whole work: in five parts. Written originally in French, and now elegantly rendered into English by (Sir Charles Cotterell), master of the ceremonies to his late majesty of blessed memory, and to our present soveraign (Charles II). King of Great Britain, France and Ireland, &c.	La CalpreneÃÄde, Gaultier de Coste	1676	['Translation']	['Illustration']	['French']		['And elegantly rendred into English by Sr. Ch: Cottrell']
276105	Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Cambon	1790	['Translation']	['Title page']	['Dutch']		['Translated from the Dutch of Madame de Cambon. With alterations and improvements.']
276107	The works of Petronius Arbiter, in prose and verse. Translated from the original Latin. By Mr. Addison. To which are preix'd the Life of Petronius, done from the Latin.: And a character of his writings by Monsieur St. Evremont.	Petronius Arbiter	1736	['Translation']	['Recto of page facing the last page of the verso']	['French']		['The life of Petronius Arbiter. From the French.']
276118	The life of Sethos. Taken from the private memoirs of the ancient Egyptians. Translated from a Greek manuscript into French. And now faithfully done into English from the Paris edition; by Mr. Lediard. In two volumes. Vol. I.	Terrasson, Jean	1732	['Translation']	['Title page']	['French']	['Greek']	['Taken from the private memoirs of the ancient Egyptians. Translated from a Greek manuscript into French. And now faithfully done into English from the Paris editions ; by mr. Lediard']
276133	The history and adventures of Don Alphonso Blas de Lirias, son of Gil Blas of Santillane. Translated from the Spanish original.		1741	['Translation']	['Title page']	['Spanish']		['Translated from the original Spanish']
276134	The famous romance of Tarsis and Zelie. Digested into ten books. Written originally in French. By the acute pen of a person of honour. Done into English by Charles Williams, Gent.	La Vayer de Boutigny	1685	['Translation']	['Title page']	['French']		['Written originally in French by the acute pen of a person of honour. Done into English by Charles Williams, gent.']
276136	The court-secret: a melancholy truth. Now first translated from the original Arabic. By an adept in the Oriental tongues. ( Price one shilling.)	Lyttelton, George Lyttelton	1741	['Translation']	['Title page']	['Arabic']		['Now first translated from the original Arabic.']
276157	The devil turn'd hermit, or, the adventures of Astaroth banish'd from hell. A satirical romance. Exposing, with great variety of humour, in a series of conversations between that demon and the author, -- The scandalous frauds, lewd amours, and devout mockery of the monks and nuns; the intrigues of courts; the ambition, avarice, and cruelty of ministers; the insincerity, luxury, prostitution, and ingratitude of many private characters; with other capital vices of the present age. Founded chiefly on real facts, and interspersed with the portraits and secret history of most of the considerable persons that have lived in Europe within these thirty years past. Translated from the original French of Mr. de M * * *.	Lambert de Saumery, Pierre	1741	['Translation']	['Title page']	['French']		['Translated from the original French of Mr de M***.']
276158	Pure love: a novel. Being the history of the Princess Zulima, the beautiful daughter of the Sultan of Egypt. Containing, I. Her love for the Prince of Westphalia, who was taken prisoner by the Turks, and made a slave. II. Evaristus his companion, his story of the Prince of Westphalia their engagement with some Corsairs, or Pyrates; their shipwreck, and arrival at the Christian army giving a full account of the battle. III. Mustapha, the grand vizier, his love for Zulima. IV. The sultan's love for Leonora, &c. Translated from the French of Monsieur Le Noble.	Le Noble, Eustache	1750	['Translation']	['Title page']	['French']		['Translated from the French of Monsieur le Noble.']
299668	Almahide, or the Captive Queen. An excellent new romance. Never before in English. The whole work. Written in French by the accurate pen of Monsieur de Scudery governor of (Nostre Dame). Done into English by (J. Philips Gent). Licensed, March 8. 1675/6 H. Oldenburgh.	ScudeÃÅry, Madeleine de	1677	['Translation']	['Title page']	['French']		['Written in French by the accurate pen of Monsieur de Scudery Governor of Nstre Dame. Done into English by J. Phillips Gent.']
341331	The adventures of Telemachus, the son of Ulysses, king of Ithaca, &c. in Greece, and one of the princes who conducted the siege of Troy. Complete in twenty-four books. Originally written in French, not only for the use and instruction of the dauphin of France, to guard him, in an allegorical way, against forming his conduct after the bad example of his grandfather Louis XIV, but also to promote the happiness of mankind in general; by Francis Salignac de la Motte Fenelon, late archbishop of Cambray, in the French Netherlands. Now newly translated from the best Paris and other editions, by William Henry Melmoth, esq. Author of the new abridgment of the Roman history-of the complete abridgment of the Grecian history-and of the new universal story-teller, or modern picture of human life; being an approved collection of original and select pieces in prose and verse.-Price 3s. each bound. To which are added, the life of the original author; the heads and arguments of each book at large; and a great variety of notes, historical, critical, explanatory, scholastic, political, moral, philological, satirical, and illustrative: comprehending the most salutary reflections and remarks, with allusions to ancient mythology, geography, and universal history, particularly to the histories of England and France:-A work of the first reputation, replete with maxims of human prudence, and including the most perfect system of morality ever presented to the world, displaying to all descriptions of persons the horrors of vice, and the charms of virtue, in the most forcible manner. The mysteries of the wisest and best politics are here developed: the inordinate passions are depicted as a yoke equally disgraceful and fatal; while the moral duties appear with all the attractions of ease and beauty. The reasoning is just, the precepts are important. It is a work which genius and learning have dedicated to virtue; it at once captivates the imagination, informs the understanding, and regulates the will. This valuable book teaches us to make morality and religion our guide in good, as well as in adverse fortune; never to forget the love we owe our parents and our country. It forms our minds for a king, a citizen, a father, a mother, a master, a gentleman, a tradesman, a servant, and even a slave, if such should be our lot; and, in short, teaches us to act properly in all the various spheres of life. Mentor (under which character is meant Minerva) in his counsels to Telemachus, must make us just, humane, patient, sincere, discreet, and modest. He never speaks but he pleases, engages, moves, and persuades. We cannot attend to him but with admiration; and, in proportion as we admire, we cannot help loving his advice, which is entertaining as well as instructive. This translation has been carefully revised with all the former editions, and particular attention has been paid to the various readings of Hawkesworth, Smollett, Boyer, Litterbury, Oldes, Ozell, and others, entirely omitting their inaccuracies and blemishes, and preserving whatever we judged might elucidate the great design the author had in view when he composed this work, viz. of promoting the happiness of his noble pupil in particular, and of the world in general. Embellished in a very superior stile of magnificence, with a set of unusually grand copper-plates, exquisitely designed by those ingenious artists, Kauffman, Monnet, Eisen, and Moreau, and engraved, in a capital manner, by Messrs. Walker, Collyer Grignion, Bartolozzi, and Grainger, who have exerted their unrivalled talents in these splendid performances; single impression of which will be charged at 2s. each print: so that these capital engravings alone will be absolutely worth four times the price of the whole work; which is the most beautiful edition of Telemachus ever published in this or any other country, and calculated to gratify every class of readers.	FeÃÅnelon, FrancÃßois de Salignac de La Mothe-	1770	['Translation']	['Title Page']	['French']		['Originally written in French...Now newly translated from the best Paris and other editions...']
341340	Arabian nights entertainments: consisting of one thousand and one stories, told by the Sultaness of the Indies to divert the Sultan from the execution of a bloody vow he had made to marry a lady every day, and have her head cut off next morning, to avenge himself for the disloyalty of his first Sultaness, &c. Containing a better account of the customs, manners, and religion of the Eastern nations, viz. Tartars, Persians, and Indians, than is to be met with in any author hitherto published. Translated into French from the Arabian MSS. by M. Galland, of the Royal Academy; and now done into English from the last Paris edition. The thirteenth edition. Vol. I.		1772	['Abridgment']	['Preface']	['French']	['Arabic']	['...nor have we varied from the text, but when modesty obliged us to it.']
341366	A collection of novels, selected and revised by Mrs. Griffith. Vol. I.		1777	['Abridgment']	['Introduction', 'About the author']			['The following pages are selected from a novel under the same title, and from which I have only made extracts; as some of the stories it contains are inconsistent with the plan of this work, as either being gross in the subjects, or indelicate in the expression.']
341370	The comic romance of Monsieur Scarron, translated by Oliver Goldsmith. In two volumes. Vol. I.	Scarron	1775	['Translation', 'Adaptation']	['Address to the public.']	['French']		['It will be necessary to acquaint the reader, that the third part of the Comic Romance was not written by Scarron. Before he could enter upon it, death snatched the pen from his hand, and it was unfortunately resumed by one without a spark of his taste or spirit. Great liberties have therefore been taken by the translator with this part.']
341379	The Count de Rethel: an historical novel. Taken from the French. Dedicated (by permission) to the Lady Viscountess Hereford. In three volumes. Vol. I.		1779	['Translation']	['Advertisement']	['French']		['""It has been taken from the French, without submitting to the slavery of a literal translation. The Editor did not think it improper to make such trifling alterations, here and there, as would make it more conformable ot the general style of such performances, adopted by the writers of modern novels. How this has succeeded, the Reader will determine."']
341385	The death of Abel. In five books attempted from the German of Mr. Gessner the twelfth edition embellished with an elegant engraving to each book.	Gessner, Salomon	1780	['Translation']	['Title Page']	['German']		['Attempted from the German of Mr. Gessner']
341392	Les delices du sentiment; or the passionate lovers: in a series of letters which have recently passed between two celebrated characters, well known in polite life for their virtues, talents, and accomplishments. With a translation from the originals. Written in cypher. Several of those letters are entrusted to the publisher, for the satisfaction of those readers who doubt their authenticity.		1781	['Translation']	['Title Page']	['French']		['With a translation from the originals']
341424	The fatal effects of inconstancy; or, letters of the Marchioness de Syrcé, the Count de Mirbeele, and others. Translated from the French. In two volumes. Vol. I.	Dorat, Claude Joseph	1774	['Translation']	['Title Page']	['French']		['Translated from the French.']
341447	The generous lover: or the adventures of the Marchioness de Brianville. In three volumes. Translated from the original Italian of the Abbé Pietro Chiari. Vol. I.	Chiari, Pietro	1771	['Translation']	['Title Page']	['Italian']		['Translated from the original Italian']
341462	The history of the famous preacher Friar Gerund de Campazas: otherwise Gerund Zotes. Translated from the Spanish. In two volumes. Vol. I.	Isla, JoseÃÅ Francisco de	1772	['Abridgment']	['Advertisement']			
341465	The history of the renowned Don Quixote de la Mancha. Being an accurate, complete, and most entertaining narrative of the wonderful atchievements of that incomparable hero and knight-errant; from his first great pursuit after fame immortal, till the close of his celebrated career: including, minutely, every curious incident attending his faithful squire and servant, Sancho Panza. Interspersed with ludicrous dialogues, rhapsodies, madrigals, and serenades. The whole replete with infinite humour and drollery. Translated from the original Spanish of Miguel de Cervantes Saavedra. By Charles Henry Wilmot, esq. In two volumes. Vol. I.	Cervantes Saavedra, Miguel de	1774	['Translation']	['Title Page', 'Introduction', 'Official note']	['Spanish']		['Translated from the original Spanish of Miguel de Cervantes Saavedra. (title page)', 'With such universal estimation and applause hath the celebrated history of Don Quixote de la Mancha, been received...that it is presumed, a new faithful translation...cannot fail of being honoured... (introduction)', 'The translator has endeavored to adhere...to the genius of his author....He has paid that regard to the original, which, in his opinion, is the duty of every person who undertakes to translate from one language to another. (official note)']
341469	The Incas: or, the destruction of the empire of Peru. By M. Marmontel. In two volumes. Vol. I.	Marmontel, Jean FranÁois	1777	['Translation']	['Preface']			['Note of the translator.']
341483	Julia de Roubigné, a tale. In a series of letters. Published by the author of The man of feeling, and The man of the world. In two volumes. Vol. I. The third edition.	Mackenzie, Henry	1781	['Translation']	['Introduction']	['French']		['It is enough to say, that I received his papers some time ago, and that they are those which I have translated, and now give to the world.']
341517	Letters from Elizabeth Sophia de Valiere to her friend Louisa Hortensia de Canteleu. By Madam Riccoboni. Translated from the French by Mr. Maceuen. In two volumes. Volume I.	Riccoboni, Marie Jeanne	1772	['Translation']	['Title Page']	['French']		['Translated from the French by Mr. Maceuen.']
341523	Letters of Abelard and Heloise. To which is prefix'd a particular account of their lives, amours, and misfortunes. By the late John Hughes, Esq. Together with the poem of Eloisa to Abelard. By Mr. Pope. And, (to which is now added) the poem of Abelard to Eloisa. By Mrs. Madan.	Abelard, Peter	1782	['Translation']	['Preface']	['Latin']		['They were originally written in Latin...With what elegance and beauty of stile they were written in that language, will sufficiently appear to the learned reader, even by those few citations which are set at the bottom of the page...']
341530	The life of the countess of G by Gellert translated from the German by a lady. Vol I.	Gellert, Christian FuÃàrchtegott	1776	['Translation']	['Advertisement']	['German']		['This piece...was translated...by a lady, who...had made herself a proficient in the German language...']
341535	The loves of Calisto and Emira; or, the fatal legacy. Published from the originals, by John Seally, gent.	Seally, John	1776	['Translation (paratext)']	['To the Reader']	['French']		
341536	The loves of Mirtil son of Adonis a pastoral.		1770	['Translation']	['Preface']	['French']		['The following little poem (written originally in the French)....I determined on undertaking a translation of it into English.']
341542	Letters of the Marchioness of Pompadour: from MDCCLIII to MDCCLXII inclusive. In two volumes. Vol. I.	BarbeÃÅ-Marbois, FrancÃßois	1771	['Translation']	['Preface']	['French']		['If the french letters prove such patterns of wit and of writing; and the translations be found faithful pictures of them, either the french or the english may suffice...']
341547	Memoirs of the Marquis de St. Forlaix. Translated from the French of Mons. Framery. By Mrs. Brooke. [epigraph]. Vol. I.	Framery, Nicolas Etienne	1770	['Translation']	['Title Page', 'Preface']	['French']		['Translated from the French of Mons. Framery by Mrs. Brooke']
341564	The modern Atalantis; or, the devil in an air balloon. Containing the characters and secret memoirs of the most conspicuous persons of high quality, of both sexes, in the island of Libertusia, in the western ocean. Translated from the Libertusian language.		1784	['Translation']	['Title Page']	['Libertusian']		['Translated from the Libertusian language.']
341574	New idylles by Gessner. Translated by W. Hooper MD. With a letter to M. Fuslin on landscape painting, and the two friends of Bourbon, a moral tale, by M. Diderot.	Gessner, Salomon	1776	['Translation']	['Title Page']			['Translated by W. Hooper MD.']
341601	The paths of virtue delineated; or, the history in miniature of the celebrated Pamela, Clarissa Harlowe, and Sir Charles Grandison. [epigraph]. The second edition.		1773	['Adaptation']	['Preface']			['The following work consists of miniatures, taken with as much care as possible, from those large pictures of human life; and it is hoped, that none will be so unjust, as to imagine, that this is done with a design to injure the beautiful originals.', "Adapted from Samuel Richardson's Pamela, Clarissa, and Sir Charles Grandison"]
341604	The phoenix; or, the history of Polyarchus and Argenis. Translated from the Latin, by a lady. In four volumes. Volume I.	Barclay, John	1772	['Translation']	['Title Page']	['Latin']		['Translated from the original Latin, by a lady.']
341606	The shipwreck and adventures of Monsieur Pierre Viaud, a native of Bourdeaux, and captain of a ship. Translated from the French, by Mrs. Griffith.	Dubois-Fontanelle, Jean Gaspard	1771	['Translation']	['Preface, by the translator']	['French']		['Preface, by the translator.']
341613	Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. Vol. I.	Bicknell, Alexander	1779	['Adaptation']	['Introduction']			["...I have...devised how to make the excellencies of it [the Faerie Queene] more generally known, and to render the moral precepts contained in it universally instructive. I have chosen the following mode, which I hope will answer this purpose; preserving as many of the beauties as possible, and keeping as near the original as the different nature of a poem, and a story in prose, will allow. The loss of the last books of Spenser's work, obliging me to lengthen out the story, and to make considerable alterations throughout the whole, to preserve a proper uniformity, and to bring it to a regular conclusion."]
341618	The recess; or, a tale of other times. By the author of The chapter of accidents.	Lee, Sophia	1783	['Adaptation']	['Advertisement']			["I make no apology for adapting the language to the present times, since that of the author's would be frequently unintelligible."]
341626	Rosara; or, the adventures of an actress: a story from real life. Translated from the Italian of Pietro Chiari. Vol. II.	Chiari, Pietro	1771	['Translation']	['Title Page']	['Italian']		['Translated from the Italian of Pietro Chiari.']
341654	The sopha: a moral tale. Translated from the French of Monsieur Crebillon. A new edition. Vol. I.	CrÈbillon, Claude-Prosper Jolyot de	1781	['Translation']	['Title Page']	['French']		['Translated from the French of Monsieur Crebillon.']
341658	The sorrows of Werter: a German story. The second edition. Vol. I.	Goethe, Johann Wolfgang von	1780	['Translation']	['Preface']	['German']		['It went through several editions in German, and soon made its way into France...[The English translator] translated some of the letters from French...and as no translation from the German has hitherto appeared, it is now offered to the public.']
341695	Una and Arthur, an allegorical history: the incidents from Spenser. In two volumes. Vol. I.		1779	['Adaptation']	['Introduction']			['I have often devised how to make the excellencies of [Spenser\'s ""Fairy Queen""] more generally known, and to render the moral precepts contained in it universally instructive. I have chosen the following mode [the novel], which I hope will answer this purpose; preserving as many of the beauties as possible, and keeping as near the original as the different nature of a poem, and a story in prose, will allow."']
341703	Usong. An eastern narrative. Written in German by Baron Haller. In two volumes. Vol. I.	Haller, Albrecht von	1772	['Translation']	['Title Page']	['German']		['Written in German by Baron Haller...Printed for the translator']
379651	Le taureau blanc: or, the white bull. From the French. Translated from the Syriac, by M. De Voltaire. The second edition.	Voltaire	1774	['Translation']	['Title page']	['Syriac']	['French']	['From the French. Translated from the Syriac by M. De Voltaire.']
379665	The hermit of the rock: or the history of marchioness de Lausanne, and the Comte de Luzy. Translated from a French manuscript. In three volumes. Vol. I.		1779	['Translation']	['Dedication']	['French']		['In a convent in Paris where I was educated -- a friend of mine determined to try her hand in this species of writing -- never intending that it should be made public. -- When it was finished, she presented it to me -- and I find myself now, by the most unfortunate of events, at libery to publish it without giving offence to the amiable and beloved writer of it.']
380195	Chinese letters. Being a philosophical, historical, and critical correspondence between a Chinese traveller at Paris, and his countrymean in China, Muscovy, Persia and Japan. Translated from the originals into French, by the Marquis d'Argens, author of the Lettres luives, or Jewish Spy; and now done into English.	Argens, Jean-Baptiste de Boyer	1741	['Translation']	['Title page']	['French']	['Chinese']	["Translated from the originals into French, by the Marquis d'Argens"]
380529	The court-secret: a melancholy truth. Now first translated from the original Arabic. By an adept in the oriental tongues.	Lyttelton, George Lyttelton	1741	['Translation']	['Title page']	['Arabic']		['Now first translated from the original Arabic. By an adept in the oriental tongues.']
380552	The history and adventures of Don Alphonso Blas de Lirias, son of Gil Blas of Santillane: translated from the Spanish original.		1741	['Translation']	['Title page']	['Spanish']		['Translated from the Spanish original.']
440184	The lives of Cleopatra and Octavia. By the author of David Simple.	Fielding, Sarah	1757	['Author (text)']	['Reference to other works']	['By the author of David Simple.']	['Title Page']	['Indeterminate']
440188	The cloister: or, the amours of Sainfroid, a Jesuit, and Eulalia, a nun. Translated from the French.		1758	['Translation']	['Title page']	['French']		['Translated from the French']
440196	The dreamer. 	King, William	1754	['Adaptation']	['Advertisement']	['Dream Language']		['...What was the work? Who was the author? &c. I answered, it was no work, but a dream: and as to the author, or dreamer, he was as little known to me... The learned professor took up the sheets...of which he offered to give me a solution or interpretation... Upon which he sat down and wrote what follows...']
440197	The Dreamer.	King, William	1754	['Adaptation']	['Advertisement']	['Dream Language']		['...What was the work? Who was the author? &c. I answered, it was no work, but a dream: and as to the author, or dreamer, he was as little known to me... The learned professor took up the sheets...of which he offered to give me a solution or interpretation... Upon which he sat down and wrote what follows...']
440200	The fortunate villager: or, memoirs of Sir Andrew Thompson. In two volumes. Vol. I. 	Bannac, Adolphus	1750	['Translation']	['Preface']	['French']		['I am now to inform the reader that the following work is a translation from the Paysan Parvenu of Monsieur de Marivaux; but as we are less apt to be affected with events happening at a distance, than when they are brought home to us, I have ventured to change the scene of action from Paris to London; and the names of the several personages who fill the drama, which in the original are truly French, into downright English.']
440231	The fortunate country maid. Being the entertaining memoirs of the present celebrated Marchioness of L---- V----: Who, from a cottage, through a great variety of diverting adventures, became a lady of the first quality in the court of France, by her stready adherence to the principles of virtue and honour. Wherin are display'd the various and vile artifices employ'd by men of intrigue for seducing young women. With suitable reflections. From the French of Chevalier de Mouhy. Vol. II. The Fifth Edition. Corrected. 	Mouhy, Charles de Fieux	1758	['Translation']	['Title Page']	['French']		['From the French of the Chevalier de Mouhy.']
440235	Letters from an old man to a young prince, with the answers. Translated from the Swedish. To which are prefixed those of her present Majesty to her son: with the translations. In two volumes. Vol. I.	Tessin, Carl Gustaf	1756	['Translation']	['Title page']	['French']		['[Letters] of her present Majesty to her Son : with the Translations']
440239	Letters of Princess Zilia, to Prince Aza of Peru, newly translated from the French original. By James Seguin, teacher of the French tongue in Hereford. 	Garfigny,	1775	['Translation']	["The Editor's Advertisment"]	['Unknown']		['It seems needless to give notice, that the first letters of Zilia, were translated by herself, every one must easily judge that, being composed in a language, and traced in a manner equally unknown to us; this collection could not never have reached us, if the same hand had not wrote them in our tongue.']
440267	A narrative of the life of Mrs. Charlotte Charke, (youngest daughter of Colley Cibber, Esq;) containing, I. An account of her birth, education, and mad pranks committed in her youth. II. Her coming on the stage; Success there; and sundry theatrical anecdotes. III. Her marriage to Mr. Charke, and its consequences. IV. Her adventures in mens cloaths, going by the name of Mr. Brown, and being belov'd by a lady of great fortune, who intended to marry her. V. Her being gentleman to a certain peer. VI. Her commencing strolling - player; with various and surprizing vicissitudes of fortune, during nine years peregrination. VII. Her turning pastry cook, &c. in Wales. With several extremely humourous and interesting occurrences. Written by herself. 	Charke, Charlotte	1755	['Author (text)']	['Proper name']	['A narrative of the life of Mrs. Charlotte Charke.... Written by herself.']	['Title page']	['Female']
440270	The empire of the Nairs; or, the rights of women. An utopian romance, in twelve books. By James Lawrence, author of The bosom friend, Love, an allegory, etc. In four volumes. Vol. I. Second edition.	Lawrence, James	1813	['Translation']	['Advertisement']	['German']		['The author of this work being in Germany in 1793, communicated his essay on the Nair system to the celebrated Wieland...Notwithstanding the flattering manner in which this work has been recieved on the continent, the author has been continually revising it; but having lately heard that a man of letters has not only translated it into English, but has already delivered his manuscript to a bookseller, he feels the neccesity of not longer delaying this publication, which, whatever may be its success, must be more acceptable to the public than a literal translation of the first German edition.']
440287	The theory or system of several new inhabited worlds, lately discover'd and pleasantly describ'd, in five nights conversation with Madam the Marchioness of *****. Written in French by the famous Mons. Fontanelle. Made English by Mrs. Behn.	Behn, Aphra	1700	['Translation']	['Title page']	['French']		['Written in French by the famous Mons. Fontanelle. Made English by Mrs. Behn.']
