id	orig language (base)	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition trans	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution
260671	eng	Porter, Anna Maria.	1780-1832.	by Anna Maria Porter.	The Knight of St. John : a romance / by Anna Maria Porter.	"The knight of St. John, a romance. By Miss Anna Maria Porter, author of """"The Recluse of Norway,"""" &c. &c. &c. In two volumes. Vol. I."			2		1817		Philadelphia :		Published by M. Thomas, No. 52 Chesnut-Street.				Duodecimo											 | Carey\'s Dante.	Third-person					Author (text)	Reference to other works	Female	"Female"""			knight | romance | author | Recluse	Norway	University of Pennsylvania
260672	eng	Johnson, R.	1733 or 4-1793.	by the editor of The looking-glass for the mind.	The blossoms of morality : intended for the amusement and instruction of young ladies and gentlemen / by the editor of The looking-glass for the mind.				1		1810	1810.	Philadelphia :		Printed by Thomas and William Bradford,					ill. ;	Published anonymously. Generally attributed to Richard Johnson, the printer. | \'The looking class for the mind\' was based on stories by M. Berquin, to whom this work is also often attributed.																							University of Pennsylvania
260673	eng	Burney, Sarah Harriet,	1772-1844.	"by Miss Burney, author of """"Geraldine Fauconberg,"""" """"Traits of nature,"""" &c."""	"Clarentine : a novel / by Miss Burney, author of """"Geraldine Fauconberg,"""" """"Traits of nature,"""" &c."""	"Clarentine, a novel. By Miss Burney, Author of  """"Geraldine Fauconberg,"""" """"Traits of nature,"""" &c. Second edition. In Three volumes. Vol. I."	Clarentine, By Miss Burney. Vol. I.		3	Second edition, in three volumes.	1816	1816	London :		Printed for Henry Colburn, Public Library, Conduit Street, hanover Square.						Advertisements: v. 3, [3] p. at end. | The second volume covers chapter 8 through 14. | The third volume covers chapters 15 through 24.			"Entitled, """"Interesting Works, Lately published  by H. Colburn, Conduit Street."""""							Third-person					Author (text)	Reference to other works	Indeterminate	"Female"""	Mixed genre	Geraldine Fauconberg | Traits of nature	novel | Author | volumes		University of Pennsylvania
260674	lat	Holberg, Ludvig,	1684-1754.	By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.			1		1742	1742.	London		Printed for T. Astley, at the Rose in St. Paul\'s Church-Yard ; and B. Collins, Bookseller, in Salisbury.				Duodecimo		Translation of Nicolai Klimii iter subterraneum.														true	Author (text)	Nicholas Klimius	Male				journey | world		University of Pennsylvania
260675	fre	Mouhy, Charles de Fieux,	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2		1742	1742.	London:		Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369. | Publisher\'s advertisements: v. 2, [4]-[7] at end.	true		true							First-person			true						Mixed Genre		busy-body | spy | busy-body | spy | history | man | rashness | faculty | obscurity | fortune | story | whole | variety | adventure | busy-body | spy | history | man | rashness | faculty | obscurity | fortune | story | whole | variety | adventure		University of Pennsylvania
260676	fre	Mouhy, Charles de Fieux,	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2		1742	1742.	London:		Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369. | Publisher\'s advertisements: v. 2, [4]-[7] at end.	true		true							First-person									Mixed Genre		busy-body | spy | history | man | rashness | faculty | obscurity | fortune | story | whole | variety | adventure | busy-body | spy | history | man | rashness | faculty | obscurity | fortune | story | whole | variety | adventure		University of Pennsylvania
260677	eng			by an Hibernian [pseud.]	The Irish emigrant. An historical tale founded on fact, by an Hibernian [pseud.]				2		1817	1817.	Winchester, Va.,		J.T. Sharrocks,																													University of Pennsylvania
260678	spa	Cervantes Saavedra, Miguel de,	1547-1616.	Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...	The life and exploits of the ingenious gentleman Don Quixote de la Mancha. Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...				2		1742	1742.	London :		J. and R. Tonson [etc.]					ill. ;	"""""The life of Michael de Cervantes Saavedra. Written by Don Gregorio Mayáns & Siscár ... Translated, from the Spanish manuscript, by Mr. Ozell"""" (vi p., 1  ., 90 p., with frontispiece and special t.-p. dated 1738) inserted in v. 1 following p. xxxii."""																							University of Pennsylvania
260679	eng	Opie, Amelia Alderson,	1769-1853.	by Amelia Opie.	The father and daughter : a tale / by Amelia Opie.				1		1812	1812.	Georgetown :		Published by Joseph Milligan, and by William Cooper, Washington,						Colophon: W. Cooper, printer.																							University of Pennsylvania
260680	eng	Ryley, S. W.	1759-1837.	by S.W. Ryley : in two volumes.	The itinerant, or Memoirs of an actor / by S.W. Ryley : in two volumes.				2		1810	1810.	New York		Published and sold by Inskeep & Bradford, New York, and William M\'Ilhenney, Boston ;						Originally published in London in 1808 in three volumes. Two further series, of three volumes each, appeared in 1816-17 and 1827.																					itinerant | Memoirs | actor | volumes		University of Pennsylvania
260681	eng	Ryley, S. W.	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...				9		1817	1817-27.	London,		Printed for Sherwood, Neely, & Jones,					port.	"Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland. | """"\'The Itinerant\' purports to be in some respects autobiographical ... It is fashioned in part upon \'Tristram Shandy,\' and in part upon Tate Wilkinson\'s \'Memoir of his own life,\' and \'Wandering patentee.\'""""--Dict. nat. biog."" | Advertisements at end of vol. 1."																							University of Pennsylvania
260682	eng	Ryley, S. W.	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.			9		1817	1817.	London,		Printed for Sherwood, Neely, & Jones, Paternoster Row.				Duodecimo	port.	"Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland. | """"\'The Itinerant\' purports to be in some respects autobiographical ... It is fashioned in part upon \'Tristram Shandy,\' and in part upon Tate Wilkinson\'s \'Memoir of his own life,\' and \'Wandering patentee.\'""""--Dict. nat. biog."" | Advertisements at end of vol. 1. | There are short epigraphs at the beginning of each chapter; most of the epigraphs are quotes from Shakespeare."	true	true					true		 | Shakespeare.	First-person			true		Author (text)		Indeterminate		Mixed genre		itinerant | memoir | actor | edition		University of Pennsylvania
260683	eng	Ryley, S. W.	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.				3		1816	1816-1817.	London		Printed for Sherwood, Neely, and Jones ...,					port. ;	"""""The itinerant"""" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."" | On verso of t.p.: Printed by Smith & Galway, Liverpool."																							University of Pennsylvania
260684	eng	Ryley, S. W.	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.			3		1816	1816-1817.	London :		Printed for Sherwood, Neely, and Jones, Paternoster-Row				Duodecimo	port. ;	"""""The itinerant"""" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."" | On verso of t.p.: Printed by Smith & Galway, Liverpool."	true	true					true								Author (paratext)		Indeterminate	Male			itinerant | memoir | actor. | Vol. IV.		University of Pennsylvania
260685	eng	More, Hannah,	1745-1833.		Coelebs in search of a wife : comprehending observations on domestic habits and manners, religion and morals.	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	Coelebs.		2	The fourteenth edition.	1813	1813	London :		Printed for T. Cadell and W. Davies, In the Strand.						Published anonymously.  By Hannah More. | The second volume covers chapter 27 through 44. | Colophon reads: Strahan and Preston ... | Last leaf of v. 2 blank.	"Begins: """"When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf."""""								Paradise Lost | John Milton	First-person	Epistolary		true								search | wife | observations | habits | manners | religion | morals | edition | volumes		University of Pennsylvania
260686	eng	Fielding, Sarah,	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.				2	The second edition, revised and corrected with a preface by Henry Fielding, Esq	1744	1744.	London :		Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)			true							Third-person					Author (text)		Female		Mixed genre				University of Pennsylvania
260687	eng	Fielding, Sarah,	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	The adventures of David Simple. Book I.		2	The second edition, revised and corrected /	1744	1744.	London :		Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)	"Begins: """"As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion."		true				true			Third-person			true		Author (text)	Generic/Descriptive	Female		Mixed genre | Mixed genre		adventure | account | travel | city | search | friend | lady | edition | preface | adventure | account | travel | city | search | friend | lady | edition | preface	London |  | Westminster |  | London |  | Westminster | 	University of Pennsylvania
260688	eng	Fielding, Sarah,	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;			2	The second edition, revised and corrected /	1744	1744.	London :		Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		Notes glued into the first volume between the front pastdown and the front free endpaper. | Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)			true							Third-person					Author (text)	Generic/Descriptive	Female		Mixed genre | Mixed genre		adventure | account | travel | city | search | friend | lady | edition | preface	London | Westminster	University of Pennsylvania
260689	eng				Alexis; or, The young adventurer. A novel ...	Alexis; or, the young adventurer. A novel.			1		1746	1746.	London :		Printed for T. Cooper.				Octavo		"A curious account of the Young Pretender, with fictitious names of persons and places. | Attributed to Allan Macdonald of Kingsborough. | """"The key"""": [2] p."""										Third-person											adventurer | novel		University of Pennsylvania
260690	eng			Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H------; from the marriage of the Princes of Z-----, to the tragical death of Count K-----k: a home-truth. Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.			1		1743	1743.	London,		Printed for J. H., near Ludgate-Hill				Octavo		Published also under title: A home truth: being memoirs of the love and state-intrigues of the court of H[anover] | Doubtfully ascribed to Countess Maria Aurora von Königsmarck. cf. Brown, John. Anecdotes and characters of the house of Brunswick (1821) p. 32-33.														true							home-truth | High-German | sister | nobleman | Memoir | love | state-intrigue | court | marriage | princess | death | home-truth | sister | nobleman	Z--------	University of Pennsylvania
260691	eng	Kirkby, John,	1705-1754.		The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.			1	The second edition	1746	1746.	Dublin :		Printed by George Faulkner,				Duodecimo		"""""Largely borrowed from the History of Autonous (1736)"""" -- Dict. nat. biog."" | Running title: The history of Automathes."		true								First-person	Third-person		true								capacity | extent | understanding | case | nobelman | infancy | island | year | state | society | narrative | occurrence | reader | edition		University of Pennsylvania
