id	author name	author dates	author transcribed	title catalog	title full	title half	title series	vols	edition transcribed	edition controlled	pub date	pub date transcribed	pub location	pub	pub transcribed	printer	bookseller	pub notes	format	illustrations	pub cataloger notes	para:preface	para:dedication	para:advertisement	para:to the reader	para:intro	para:note	para:other	para:footnotes	epigraph source transcribed	narrative form primary	narrative form secondary	subscriber list	inscription	marginalia	author claim	author claim type	author gender claim	author gender	advertisement genres	title words:other works	title words:singular nouns	title words:place names	holding institution	cataloger initials	cataloger institution
260661	Bunyan, John	1628-1688.	by John Bunyan.	The pilgrim\\\'s progress from this world to that which is to come, delivered under the similitude of a dream / by John Bunyan.	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.			1	New ed. ... with the life of the author, to which are added explanatory and practical notes, by Messrs. Mason, Scott, and Burder.		1811	1811	Philadelphia		Published by Solomon Wiatt, No. 104, North Second St.					illus., port.	['There is an engraving on page 46 with the following description: ""Evangelist directing Christian to flee from the City of Destruction."']	Begins: ""The high estimation in which the 'Pilgrim's Progress' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things.""						true		['Hosea xii. 10.']	['First-person']	['Verse']										['pilgrim', 'progress', 'world', 'similitude', 'dream']		University of Pennsylvania		
260662	Weber, Henry William	1783-1818.	by Henry Weber.	Tales of the East : comprising the most popular romances of oriental origin, and the best imitations by European authors : with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation ... / by Henry Weber.	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Tales of the East.		3			1812	1812	Edinburgh		James Ballantyne and Company, for John Ballantyne and Company, Sylverster Doig and Andrew Stirling, Edinburgh				Octavo							true		true		['']	['First-person', 'Third-person']					Author (text)	Proper name	Male	Male			['tale']	['East']	University of Pennsylvania		
260663	Haywood, Eliza Fowler	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1			1745	1745.	Dublin	['Bradley, A.']	Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.']	true								['']	['Third-person']											['foundling', 'history', 'sister', 'issue', 'son', 'accident', 'travel', 'character', 'adventure', 'person', 'condition', 'court', 'whole', 'entertainment', 'improvement', 'youth', 'sex']	['Europe']	University of Pennsylvania		
260664	Haywood, Eliza Fowler	1693?-1756.		The fortunate foundlings : being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d : containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe : the whole calculated for the entertainment and improvement of the youth of both sexes.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.			1			1745	1745.	Dublin	['Bradley, A.']	Printed for A. Bradley, at the Two Bibles in Dame-Street,				Duodecimo		['Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.']	true								['']	['Third-person']											['foundling', 'history', 'sister', 'issue', 'son', 'accident', 'travel', 'character', 'adventure', 'person', 'condition', 'court', 'whole', 'entertainment', 'improvement', 'youth', 'sex']	['Europe']	University of Pennsylvania		
260665	Austen, Jane	1775-1817.	By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."	Northanger Abbey: and Persuasion. By the author of ""Pride and prejudice"", ""Mansfield-Park"", &c.  With a biographical notice of the author ..."				4			1818	1818.	London		John Murray, Albemarle-Street.						['""Biographical notice"" by Henry Austen: v. 1, p. [iii]-xvi."']									['']														University of Pennsylvania		
260666	Edgeworth, Maria	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.			1	1st American edition		1810	1810	Georgetown	['W. Cooper', 'W. Cooper']	Published by Joseph Milligan,				Duodecimo											['']	['Third-person']	['Epistolary', 'Essay']				Author (text)		Female		['Fiction']		['tale', 'author', 'parent', 'assistant', 'tale', 'life', 'letter', 'lady', 'tale', 'edition', 'self-justification', 'essay', 'science']		University of Pennsylvania		
260667	Edgeworth, Maria	1767-1849.	by Miss Edgeworth.	The modern Griselda : a tale / by Miss Edgeworth.				1	1st American ed.		1810	1810	Georgetown	['W. Cooper', 'W. Cooper']	Published by Joseph Milligan,				Duodecimo											['']	['Third-person']	['Epistolary', 'Essay']				Author (text)		Female				['letter', 'lady', 'essay', 'science', 'self-justification']		University of Pennsylvania		
260668	Bunyan, John	1628-1688.	By John Bunyan.	A true relation of the holy war, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, The losing and taking again of the town of Mansoul. By John Bunyan.				1	A new edition, illustrated with copious notes, and embellished with elegant engravings, etc.		1810	1810.	London		Bourne and R. Evans				Quarto	ill.				true				true		['']	['Third-person']				true	Author (text)		Male	Male	['Mixed genre']		['relation', 'war', 'metropolis', 'world', 'town', 'minister', 'gospel', 'author', 'pilgrim', 'progress', 'works']		University of Pennsylvania		
260669	Porter, Anna Maria	1780-1832.	by Miss Anna Maria Porter ....	The knight of St. John : a romance / by Miss Anna Maria Porter ....	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.			3			1817	1817.	London		Longman, Hurst, Rees, Orme, and Brown, Paternoster-row.				Duodecimo		['First ed. Cf. Block, p. 188.']		true							['', "Carey\\\\\\'s Dante."]	['Third-person']			true		Author (text)		Female	Female"			['knight', 'romance', 'author', 'Recluse']	['Norway']	University of Pennsylvania		
260670	Porter, Anna Maria	1780-1832.	by Miss Anna Maria Porter ...	The knight of St. John, a romance, by Miss Anna Maria Porter ...				3	2d ed.		1817	1817.	London		Printed for Longman, Hurst, Rees, Orme, and Brown,						["Publisher's advertisements: [18] p. at end of vol. 3."]									['']														University of Pennsylvania		
260671	Porter, Anna Maria	1780-1832.	by Anna Maria Porter.	The Knight of St. John : a romance / by Anna Maria Porter.	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.			2			1817		Philadelphia		Published by M. Thomas, No. 52 Chesnut-Street.				Duodecimo											['', "Carey\\\\\\'s Dante."]	['Third-person']					Author (text)	Reference to other works	Female	Female"			['knight', 'romance', 'author', 'Recluse']	['Norway']	University of Pennsylvania		
260672	Johnson, R	1733 or 4-1793.	by the editor of The looking-glass for the mind.	The blossoms of morality : intended for the amusement and instruction of young ladies and gentlemen / by the editor of The looking-glass for the mind.				1			1810	1810.	Philadelphia		Printed by Thomas and William Bradford,					ill. ;	['Published anonymously. Generally attributed to Richard Johnson, the printer.']									['']														University of Pennsylvania		
260673	Burney, Sarah Harriet	1772-1844.	by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	Clarentine : a novel / by Miss Burney, author of ""Geraldine Fauconberg,"" ""Traits of nature,"" &c."	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Clarentine, By Miss Burney. Vol. I.		3	Second edition, in three volumes.		1816	1816	London	['Colburn, H.', 'Colburn, Henry']	Printed for Henry Colburn, Public Library, Conduit Street, hanover Square.						['Advertisements: v. 3, [3] p. at end.']			Entitled, ""Interesting Works, Lately published  by H. Colburn, Conduit Street.""						['']	['Third-person']					Author (text)	Reference to other works	Indeterminate	Female"	['Mixed genre']	['Geraldine Fauconberg', 'Traits of nature']	['novel', 'Author', 'volumes']		University of Pennsylvania		
260674	Holberg, Ludvig	1684-1754.	By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius [pseud.]  Translated from the original.	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.			1			1742	1742.	London	['T. Astley']	Printed for T. Astley, at the Rose in St. Paul\\\'s Church-Yard ; and B. Collins, Bookseller, in Salisbury.				Duodecimo		['Translation of Nicolai Klimii iter subterraneum.']									['']					true	Author (text)	Nicholas Klimius	Male				['journey', 'world']		University of Pennsylvania		
260675	Mouhy, Charles de Fieux	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2			1742	1742.	London	['Cogan, F.']	Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		['Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369.']	true		true						['']	['First-person']			true						['Mixed Genre']		['busy-body', 'spy']		University of Pennsylvania		
260676	Mouhy, Charles de Fieux	1701-1784.		The busy-body: or, Successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness ... [Tr. from the French]	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	The busy-body: or, successful spy: Vol. I.		2			1742	1742.	London	['Cogan, F.']	Printed for F. Cogan, at the Middle-Temple-Gate.				Duodecimo		['Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369.']	true		true						['']	['First-person']									['Mixed Genre']		['busy-body', 'spy', 'history', 'man', 'rashness', 'faculty', 'obscurity', 'fortune', 'story', 'whole', 'variety', 'adventure']		University of Pennsylvania		
260677			by an Hibernian [pseud.]	The Irish emigrant. An historical tale founded on fact, by an Hibernian [pseud.]				2			1817	1817.	Winchester, Va.,		J.T. Sharrocks,															['']														University of Pennsylvania		
260678	Cervantes Saavedra, Miguel de	1547-1616.	Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...	The life and exploits of the ingenious gentleman Don Quixote de la Mancha. Translated from the original Spanish of Miguel Cervantes de Saavedra. By Charles Jarvis, esq. ...				2			1742	1742.	London		J. and R. Tonson [etc.]					ill. ;	['""The life of Michael de Cervantes Saavedra. Written by Don Gregorio Mayáns & Siscár ... Translated, from the Spanish manuscript, by Mr. Ozell"" (vi p., 1  ., 90 p., with frontispiece and special t.-p. dated 1738) inserted in v. 1 following p. xxxii."']									['']														University of Pennsylvania		
260679	Opie, Amelia Alderson	1769-1853.	by Amelia Opie.	The father and daughter : a tale / by Amelia Opie.				1			1812	1812.	Georgetown		Published by Joseph Milligan, and by William Cooper, Washington,						['Colophon: W. Cooper, printer.']									['']														University of Pennsylvania		
260680	Ryley, S. W	1759-1837.	by S.W. Ryley : in two volumes.	The itinerant, or Memoirs of an actor / by S.W. Ryley : in two volumes.				2			1810	1810.	New York		Published and sold by Inskeep & Bradford, New York, and William M\\\'Ilhenney, Boston ;						['Originally published in London in 1808 in three volumes. Two further series, of three volumes each, appeared in 1816-17 and 1827.']									['']												['itinerant', 'Memoirs', 'actor', 'volumes']		University of Pennsylvania		
260681	Ryley, S. W	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...				9			1817	1817-27.	London		Printed for Sherwood, Neely, & Jones,					port.	['Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland.']									['']														University of Pennsylvania		
260682	Ryley, S. W	1759-1837.	By S. W. Ryley ...	The Itinerant; or, Memoirs of an actor ... By S. W. Ryley ...	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.			9			1817	1817.	London		Printed for Sherwood, Neely, & Jones, Paternoster Row.				Duodecimo	port.	['Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland.']	true	true					true		['', 'Shakespeare.']	['First-person']			true		Author (text)		Indeterminate		['Mixed genre']		['itinerant', 'memoir', 'actor', 'edition']		University of Pennsylvania		
260683	Ryley, S. W	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.				3			1816	1816-1817.	London		Printed for Sherwood, Neely, and Jones ...,					port. ;	['""The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."']									['']														University of Pennsylvania		
260684	Ryley, S. W	1759-1837.	by S.W. Ryley.	The itinerant, or Memoirs of an actor. Vol. IV[-VI] / by S.W. Ryley.	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.			3			1816	1816-1817.	London		Printed for Sherwood, Neely, and Jones, Paternoster-Row				Duodecimo	port. ;	['""The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817."']	true	true					true		['']						Author (paratext)		Indeterminate	Male			['itinerant', 'memoir', 'actor.', 'Vol. IV.']		University of Pennsylvania		
260685	More, Hannah	1745-1833.		Coelebs in search of a wife : comprehending observations on domestic habits and manners, religion and morals.	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	Coelebs.		2	The fourteenth edition.		1813	1813	London	['Cadell, T. and W. Davies', 'Cadell, Thomas', 'Davies, William']	Printed for T. Cadell and W. Davies, In the Strand.						['Published anonymously.  By Hannah More.']	Begins: ""When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf.""								['Paradise Lost', 'John Milton']	['First-person']	['Epistolary']		true								['search', 'wife', 'observations', 'habits', 'manners', 'religion', 'morals', 'edition', 'volumes']		University of Pennsylvania		
260686	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.				2	The second edition, revised and corrected with a preface by Henry Fielding, Esq		1744	1744.	London	['Millar, Andrew,']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)']			true						['']	['Third-person']					Author (text)		Female		['Mixed genre']				University of Pennsylvania		
260687	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	The adventures of David Simple. Book I.		2	The second edition, revised and corrected /		1744	1744.	London	['Millar, A.', 'Millar, Andrew,']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)']	Begins: ""As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion.		true				true		['']	['Third-person']			true		Author (text)	Generic/Descriptive	Female		['Mixed genre']		['adventure', 'account', 'travel', 'city', 'search', 'friend', 'lady', 'edition', 'preface']	['London', '', 'Westminster', '']	University of Pennsylvania		
260688	Fielding, Sarah	1710-1768.	by a lady : in two volumes.	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady : in two volumes.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;			2	The second edition, revised and corrected /		1744	1744.	London	['Andrew Miller']	Printed for A. Millar, opposite Katharine-Street, in the Strand.				Duodecimo		['Notes glued into the first volume between the front pastdown and the front free endpaper.']			true						['']	['Third-person']					Author (text)	Generic/Descriptive	Female		['Mixed genre']		['adventure', 'account', 'travel', 'city', 'search', 'friend', 'lady', 'edition', 'preface']	['London', 'Westminster']	University of Pennsylvania		
260689				Alexis; or, The young adventurer. A novel ...	Alexis; or, the young adventurer. A novel.			1			1746	1746.	London	['Cooper, Thomas,']	Printed for T. Cooper.				Octavo		['A curious account of the Young Pretender, with fictitious names of persons and places.']									['']	['Third-person']											['adventurer', 'novel']		University of Pennsylvania		
260690			Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H------; from the marriage of the Princes of Z-----, to the tragical death of Count K-----k: a home-truth. Written originally in High-German, by the celebrated Countess of K-----k, sister to that unfortunate nobleman ...	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.			1			1743	1743.	London	['J. H.', 'J. H.']	Printed for J. H., near Ludgate-Hill				Octavo		['Published also under title: A home truth: being memoirs of the love and state-intrigues of the court of H[anover]']									['']					true							['home-truth', 'High-German', 'sister', 'nobleman']	['Z--------']	University of Pennsylvania		
260691	Kirkby, John	1705-1754.		The capacity and extent of the human understanding : exemplified in the extraordinary case of Automathes, a young nobleman who was accidentally left in his infancy upon a desolate island and continued nineteen years in that solitary state separate from all human society : a narrative abounding with many surprizing occurrences both useful and entertaining to the reader.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.			1	The second edition		1746	1746.	Dublin	['George Faulkner']	Printed by George Faulkner,				Duodecimo		['""Largely borrowed from the History of Autonous (1736)"" -- Dict. nat. biog."']		true							['']	['First-person']	['Third-person']		true								['capacity', 'extent', 'understanding', 'case', 'nobelman', 'infancy', 'island', 'year', 'state', 'society', 'narrative', 'occurrence', 'reader', 'edition']		University of Pennsylvania		
260692			Tr. from a French manuscript ...	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Tr. from a French manuscript ...	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin.		2			1746	1746.	London		J. Robinson, in Ludgate-Street.				Duodecimo		['A novel, the pretended narrative of Félicité de Biron.']	true								['']	['First-person']	['Epistolary']										['adventure', 'amour']		University of Pennsylvania		
260693				Leonora, or Characters drawn from real life : containing a great variety of incidents interspers\\\'d with reflections moral and entertaining : in two volumes.	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.			2	2nd edition.		1745	1745.	London	['Thomas Davies']	Printed for Thomas Davies, in Round-Court, in the Strand				Duodecimo		['Errata: v. 1, p. 393; v. 2, p. 391.']	true						true		['']	['First-person']	['Epistolary']										['character', 'life', 'variety', 'incident', 'reflection', 'edition']		University of Pennsylvania		
260694	Gomez	1684-1770.	translated from the French of Madame de Gomez ... ; never before published.	Select novels / translated from the French of Madame de Gomez ... ; never before published.	Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.			1			1745	1745.	London		Printed and published by T. Gardner, at Cowley\\\'s-Head against St. Clement\\\'s Church, in the Strand; and W. Shropshire in New-Bond-Street.				Duodecimo		['Selections from her Cent nouvelles nouvelles.']									['']												['novel', 'effect', 'simpathy', 'gardener', 'vestal', 'Sequel', 'vestal', 'prince']		University of Pennsylvania		
