id	title	author	date	a	b	x	c	v
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Preface']	["The Author's Preface to the Second Part."]	['written in verse', 'Begins: ""Go now, my little book, to every place, -- Where my fisrt Pilgrim has but shown his face: -- Call at the door; if any say, Who\'s there? -- Then answer thou, Christinana is here.""', 'Ends: ""Now may this little book a blessing be -- To those who love this little book and me; -- And may its buyer have no cause to say, -- His money is but lost, or thrown away. -- Yea, may this second Pilgrim yield that fruit -- As may with each good Pilgrim\'s fancy suit, -- And may it some persuade that go astray, -- To turn their feet and heart to the right way, -- Is the hearty prayer of the Author, -- John Bunyan"']	['Middle']	
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811	['Table of contents']	['Contents']	['There are 20 chapters in the first part.', 'There are 15 chapters in the second part.', 'There are 12 chapters in the third and last part.']	['Back']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Table of contents']	['Contents of volume first.']		['Front']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Table of contents']	['Contents of volume second.']		['Front']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Table of contents']	['Contents of volume third.']		['Front']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Introduction']	['Introduction.']		['Front']	
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812	['Errata']	['Errata.']		['Front']	
260663	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745	['Preface']	['The preface.']		['Front']	
260664	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745	['Preface']	['The preface.']		['Front']	
260668		Bunyan, John	1810	['Advertisement']	["Mr. Bunyan's advertisement to the reader"]		['Front']	
260668		Bunyan, John	1810	['Directions']	['Directions to the binder']		['Back']	
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Dedication']	['To those dear friends,']		['Front']	
260673	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Burney, Sarah Harriet	1816	['Advertisement']		['Entitled, ""Interesting Works, Lately published  by H. Colburn, Conduit Street.""', '27 works are listed."']	['Back']	['v.3']
260675	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Preface']	['The preface.']		['Front']	
260675	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Preface']	['The preface.']		['Front']	
260675	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Advertisement', 'To the reader', 'Letter']	['Advertisement to the reader.']		['Back']	
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Preface']	['The preface.']		['Front']	
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Preface']	['The preface.']		['Front']	
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Advertisement', 'To the reader', 'Letter']	['Advertisement to the reader.']		['Back']	
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['Advertisement', 'To the reader', 'Letter']				
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Dedication', 'Letter']	['To William Roscoe, Esq.']		['Front']	
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Preface']	['Preface.']		['Front']	
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Table of contents']	['Contents of the first volume.']		['Front']	
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Table of contents']	['Contents of the second volume.']		['Front']	
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Table of contents']	['Contents of the third volume.']		['Front']	
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Dedication']	['To William Roscoe, Esq.']		['Front']	
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Table of contents']	['Contents of the fourth volume']		['Front']	
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816	['Preface']	['Preface or no preface']		['Front']	
260685	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	More, Hannah	1813	['Preface']	['Preface']	['Begins: ""When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf.""', 'It is signed, ""Coelebs."']	['Front']	
260686		Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Table of contents']	['The contents of the first volume.']	['A sentence-long summary is given with each chapter.']	['Front']	['v.1']
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Table of contents']	['The contents of the second volume']	['A sentence-long summary is given with each chapter.']	['Front']	['v.1']
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	['v.1']
260687	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Preface']	['Preface']	['Begins: ""As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion.', 'It is signed, ""Henry Fielding.""']	['Front']	['v.1"']
260688	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260691	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.	Kirkby, John	1746	['Dedication']	['To the right honourable Lewis, Earl and Baron of Rockingham, Viscount Sonds, Baron of Throwley, and Baronet, Lord Lieutenant and Custos Rotulorum of the County of Kent']		['Front']	
260692	The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin. Translated from a French manuscript. In two volumes. Vol. I.		1746	['Preface']	['Preface by the translator.']		['Front']	
260693	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.		1745	['Preface']	['The preface.']		['Front']	
260693	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.		1745	['Preface']	['Advertisement to the reader.']		['Front']	
260693	Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.		1745	['Errata']	['Errata']		['Back']	
260695	The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]		1742	['Conclusion']	['A word of advice to the fair sex: by way of conclusion.']		['Front']	
260696	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.	Kirkby, John	1745	['Dedication']	['To the right honourable Lewis, Earl and Baron of Rockingham, Viscount Sonds, Baron of Throwley, and Baronet, Lord Lieutenant and Custos Rotulorum of the County of Kent']		['Front']	
260697	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.	Arbuthnot, Archibald	1746	['Preface']	['The preface.']		['Front']	
260698	The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.		1744	['Preface']	['The preface']		['Front']	
260699	Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.	Fielding, Sarah	1747	['Preface']	['Preface: Written by a friend of the author.']		['Front']	
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Preface']	['Preface']		['Front']	
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Character information']	['A brief account of the principal characters throughout the whole']		['Front']	
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['To the reader']	['The editor to the reader']		['Front']	
260700	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Errata']	['Errata']		['Back']	
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Preface']	['Preface']		['Front']	
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Character information']	['A brief account of the principal characters throughout the whole']		['Front']	
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['To the reader']	['The editor to the reader']		['Front']	
260701	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	Richardson, Samuel	1748	['Errata']	['Errata']		['Back']	
260702	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.	Haywood, Eliza Fowler	1746	['Dedication', 'Letter']	["To the right honourable Col. Stanley, one of his majesty's privy-council of the kingdom of Ireland."]		['Middle']	
260703	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Introduction']	['Introduction']		['Front']	
260704	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Table of contents']	['Contents']		['Front']	
260704	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748	['Introduction']	['Introduction']		['Front']	
260705	The unfortunate concubines. The history of fair Rosamond, mistress to Henry II. And Jane Shore, concubine to Edward IV, King of England. Shewing how they came to be so. With their lives, remarkable actions, and unhappy ends. Extracted from eminent records, and the whole illustrated with cuts suitable to each subject. ( Price bound one shilling)		1748	['Preface']	['The preface']		['Front']	
260706	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	Fielding, Henry	1749	['Dedication']	['To the honourable George Lyttleton, Esq; one of the Lords Comissioners of the Treasury']	['Takes form of a letter. Requests protection and patronage, notes Lyttleton\'s reluctance to grant them and ascribes this to modesty. Includes following line: ""I will detain you, Sir, no longer. Indeed I have run into a Preface, while I professed to write a Dedication."']	['Front']	['v.1']
260706	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	Fielding, Henry	1749	['Table of contents']	['Contents of the [volume number] volume.']	['Each book and chapter is appended by a one-sentence description or summary. Some appear satirical (e.g. ""Containing matters which will surprize the reader,"" ""Containing what the reader may perhaps expect to find in it,"" etc.)."']	['Front']	['v.1', 'v.2', 'v.3', 'v.4', 'v.5', 'v.6']
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the first volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the second volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the third volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the fourth volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the fifth volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the sixth volume.']		['Front']	
260707	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Dedication', 'Letter']	['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']	['First sentence reads: Sir, notwithstanding your constant refusal, when I have asked leave to prefix your name to this dedication, I must still insist on my right to desire your protection of this work.', 'Signed Sir, your most obliged, obedient humble servant, Henry Fielding.']	['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Bookplate reads ""Mary Lady Hervey."']				
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the second volume.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Dedication', 'Letter']	['To the honourable George Lyttleton, Esq; One of the Lords commissioners of the treasury.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the first volume.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the sixth volume.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the third volume.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the fourth volume.']		['Front']	
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Table of contents']	['Contents of the fifth volume.']		['Front']	
260709	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.	Fielding, Sarah	1749	['Preface']	['Preface.']		['Front']	
260709	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.	Fielding, Sarah	1749	['Dedication', 'Letter']	['To the honourable Mrs. Poyntz.']		['Front']	
260710	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.		1749	['Preface', 'To the reader']	['Preface to the reader']		['Front']	
260711	The history of the human heart: or, the adventures of a young gentleman.		1749	['Introduction']	['The introduction']		['Front']	
260712	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260713	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['Advertisement', 'To the reader']	['Advertisement to the reader.']		['Front']	
260715	Miscellanies by Henry Fielding Esq; in three volumes.	Fielding, Henry	1743	['Preface']	['Preface']		['Front']	
260715	Miscellanies by Henry Fielding Esq; in three volumes.	Fielding, Henry	1743	['Table of contents']	['Contents']		['Front']	['v.3']
260719	The history of a fair Greek, who was taken out of a seraglio at Constantinople, and brought to Paris by a late ambassador at the Ottoman Port: interspersed with the surprising adventures of several other slaves. By Abbot Provost. Almoner to his serene highness the Prince of Conti. Vol. I.	Prévost, abbé	1741	['Preface']	['Preface.']		['Front']	
