id	title	author	date	a	b	x	v
260704	Life's progress through the passions: or, the adventures of Natura.  by the author of the fortunate foundlings.	Haywood, Eliza Fowler	1748		['Ink']		
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['M. Hervey (?)']		['Written in ink on the front pastedown and the title page.']	['v.1', 'v.2', 'v.3', 'v.4', 'v.5', 'v.6']
260710	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.		1749			['Inscription on first blank page']	
260713	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	Fielding, Sarah	1744	['W.B. Edwards 1824']		['Located on the front pastedown']	['v.1']
260719	The history of a fair Greek, who was taken out of a seraglio at Constantinople, and brought to Paris by a late ambassador at the Ottoman Port: interspersed with the surprising adventures of several other slaves. By Abbot Provost. Almoner to his serene highness the Prince of Conti. Vol. I.	PreÃÅvost, abbeÃÅ	1741	['Inscription']		['K. Rorkingham -- 1745']	['v.1', '.2']
260721		Fielding, Henry	1742	['Mary Sutton']		['Written in ink on the title page']	['v.1', 'v.2']
260724	The Polite Correspondence: Or, Rational Amusement; Being a Series of Letters, Philosophical, Poetrical, Historical, Critical, Amorous, Moral, and Satyrical. Wherein are introduc'd a great Variety of instructive and delightful incidents, both in  Profe and Verfe.	Campbell, John	1740	['William Davison']	['Ink']	['On full title page.']	
260726	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['[Illegible]']	['Ink']	['On full title page']	['v.2']
260734	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	Williams, John	1811	['Charles E. Norton']		['Written in ink at the top right-hand corner of the verso of the blank page preceding the title page.']	
260741	The works of Hannah More, including several pieces never before published. Vol. I.	More, Hannah	1818		['Ink']		['v.1']
260745	An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6.  Giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions: interspersed with very entertaining anecdotes, and a variety of other useful and pleasing information, remarkably calculated to delight and instruct the readers. To which is added a complete dictionary of the Indian tongue.  By William Fisher, Esq.		1813	['Daniel Stitt Harding, his book -- Bought December 6th, 1814 -- Price one dollar.']	['Ink']		
260755	The coquette; or, the history of Eliza Wharton. A novel: founded on fact. By a lady of Massachusetts. Third edition. Published according to Act of Congress.	Foster, Hannah Webster	1811	['This book was bought in the year 1815 for 75 cents.']			
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['J.A. Diffenbach (?)']	['Pencil']	['Inscription is smudged and difficult to make out.']	['v.1']
260761	Think's-I-to-myself. A serio-ludicro, tragico-comico tale, written by Think's-I-to-myself who?  In two volumes.  Vol. I.	Nares, Edward	1811		['Ink']		
260779	Bath and London; or, scenes in each. A novel. In four volumes. Vol. I.		1811		['Ink']		['v.1']
260788	Tales from Shakespeare, designed for the use of young persons. By Charles Lamb. In two volumes. Vol. I.	Lamb, Charles	1813	['Sarah J. Lovering']	['Ink']	['Located at the top of the title page.']	['v.1']
260795	Tales of my landlord, third series, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1819		['Crayon']		['v.1']
260801	Christmas tales, for the amusement & instruction of young ladies and gentlemen in winter evenings. With cuts by Bewick.		1811	['[Illegible name]']	['Ink']	['On the blank page that comes after the advertisement in the back.']	
260813	The history of Tom Jones, a foundling. Vol. IV. By Henry Fielding, Esq.	Fielding, Henry	1749	['Good Earle (?)']		['Located on the title page of each volume.']	['v.1', 'v.2', 'v.3', 'v.4']
260818	The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I.		1810	['[Illegible]']	['Ink']	['On first page of text']	['v.1', 'v.2', 'v.3', 'v.4']
260825	The wars of the gulls; an historical romance. In three chapters. Chap. I. Shewing how, and why, and with whom the Gulls went to war. Chap. II. Shewing how the Gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the Gulls goes forth to play the game of hull-gull in Upper Canada, ""And from the pinnacle of glory, --- falls headlong into purgatory.""	Bigelow, Jacob	1812	['By Jacob Bigelow, + Nathan Hale']	['Pencil']		
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['C.P.']	['Ink']	['At the bottom of p. 100']	['v.1', 'v.2', 'v.3']
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['C.P.']	['Ink']	['At the bottom of p. 100']	['v.1', 'v.2', 'v.3']
260843		Roche, Regina Maria	1815	['Nerquis Flintshire']	['Ink']	['Title page']	['v.1', 'v.2']
260852	Six Weeks at Long's. By a late resident. Second edition. In three volumes. Vol. I.	Barrett, Eaton Stannard	1817	['[Unintelligible name that starts with the initial W.]']	['Ink']	['On the top right-hand corner of the blank page preceding the full title page.']	['v.2', 'v.3']
260858	The Scottish Adventurers, or, The Way to Rise; An historical tale. By Hector Macneill, Esq. In Two Volumes. Vol. I.	Macneill, Hector	1812	['Hector Macneill, Block P155']	['Pencil']	['On first blank page in the book']	['v.2']
260862	Rosamund, countess of Clarenstein. In three volumes. Vol. I.		1812	['... May 1847']	['Ink', 'Pencil']		['v.1']
260863	Varieties in woman. A novel, in three volumes. Vol. I.	Bigelow, Jacob	1819	['Nerquis Flintshire']	['Ink']	['Back of book cover']	['v.3', 'v.2']
260902	Felicia to Charlotte: Being letters from a young lady in the country, to her friend in town. Containing a series of the most interesting vents, interspresed with moral reflections; chiefly tending to prove, that the seeds of virtue are implanted in the mind of every reasonable being.	Collyer, Mary	1744	['[?] 1801']		['Difficult to read most of inscription, part of inscription blotted out']	['v.1']
260911	Letters of an Italian Nun and an English Gentleman. Translated from the French of J.J. Rousseau. Sixth Edition.		1817	['Jan. 3, 1834']	['Ink']	['On full volume title page']	
260919	The Balance of Comfort; or the Old Maid and Married Woman. A Novell. In Three Volumes. By Mrs. Ross, Author of The Marchioness, The Cousins, Family Estate, Modern Calypso, Paired - Not Matched, &c. Vol. I.	Ross	1817	['John C. Mendenhall April 1927']	['Ink']	['On blank page preceding title page']	['v.1', 'v.2', 'v.3']
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Robert F. Fitzgerald 1839']			['v.1', 'v.2', 'v3.']
260945	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['Mr. J.J. Ripley.']	['Ink']	['located on recto of page before Title Page']	
260946	The absent man, a narrative. Edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.		1817	['Mr. J.J. Ripley.']	['Ink']	['located on recto of page before Title Page']	
260956	Tales of Real Life. By Mrs. Opie. In Three Volumes. Vol. I.	Opie, Amelia Alderson	1813	['N. Macneas']	['Ink']	['It is clearly a name, but my spelling may be off given how fancy and therefore difficult this specific cursive style is to read.', 'It appears on the top of the title page on all three volumes.']	
260964	Human nature. A novel. In three volumes. Vol. I.	Cordova, Cordelia	1816	['May 19th. 1816.']	['Ink']	['On blank page preceding title page']	['v.1', 'v.2', 'v.3']
260971	The history of John Bull. Part III. Containing, among many other curious particulars, a faithful narrative of the most secret and important transactions of the worshipful and ancient family of the Bulls, from August 1, 1714 to June 11, 1727. Publish'd from the manuscripts of that learned and celebrated biographer, the late Sir Humphry Polesworth, author of the first and second parts of this work, publish'd in 1712. By Nathan Polesworth, Sir Humphry's nephew and sole executor.		1744	['Inscription']		['Reads ""W. Yat..."" and is located on the half title page."']	
260983	The Adventures of Roderick Random by Tobius Smollet, M.D.	Smollett, Tobias George	1815	['[Unintelligible]']	['Ink']	['Some hard-to-decipher name in very dark, thick ink at the top right-hand corner of the first title page.']	
260994	Miscellanies. In four volumes. By Dr. Swift,  Dr. Arbuthnot,  Mr. Pope, and Mr. Gay. The fourth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1742	['Inscription']		['Reads Geo Dell (?) and is written on the front pastedown']	['v.1']
260995	Miscellanies in four volumes. By Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay. The fourth edition corrected: with several additional pieces in verse and prose. Vol. I. By Dr. Swift.	Swift, Jonathan	1742	['Inscription']		['A crossed-out inscription written in ink is at the top right-hand corner of every title page']	
260998	The works of Dr. Swift. Tome III. Consisting of miscellanies in verse.	Swift, Jonathan	1747	['Anna Maria Darwin']		['Written at the top right-hand corner of every title page.']	
261031	Sarah, or the exemplary wife. By Susanna Rowson, Author of Charlotte Temple, Reuben and Rachel, Fille de Chambre, &c. &c.	Rowson	1813	['EA Ludlow']	['Ink']	['right behind the hard cover']	
261036	Adelaide. A new and original novel. By a lady of Philadelphia. [Epigraph.] In two volumes. Vol. I.	Botsford	1816	['Jane W. Grier-']	['Ink']	['Title page']	['v.2']
261044		Finch, John	1812	['[Unintelligible]']	['Pencil']	['At the very end of the book on the two remaining blank pages.']	
261059	The works of Jonathan Swift, D. D., D. S. P. D. in eight volumes. Containing I. His miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. Papers relating to Ireland, and the drapier's letters. V. The conduct of the allies, and The examiners. VI. The publick spirit of the Whigs, &c. with polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. The sixth edition, revised and corrected.	Swift, Jonathan	1744	['A. Rowan (?)']		['Located on the title page.']	['v.9']
261063	The Thatcher's Wife; or an account of Mary Camps.	Richmond, Legh	1819	['12']	['Red Crayon']	['At the top of the full title page for ""Youthful Piety"" is written the number ""12"" in a red crayon.']	['v.2"']
261083	Melincourt. By the author of Headlong Hall. In three volumes. Vol. I.	Peacock, Thomas Love	1817	['23 Aug.1945']	['Pencil']	['On first page after cover']	['v.1']
261089	The Absentee: a Tale. By Miss Edgeworth, author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, Tales of Fashionable Life, &c. In two volumes. Vol. I	Edgeworth, Maria	1812	['A. Miller 1820']	['Ink']		
261095	True stories, from ancient history: chronologically arranged. From the creation of the world to the death of Charlemagne. By the author of ""Always Happy,"" & c.	Budden, Maria Elizabeth	1819	['Henett Carey 17th October 1819']	['Ink']	['Written on the very first page that is otherwise left blank']	['v.3', 'v.1']
261156	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742	['William S. Southern (?)']		['Written in pencil in the top right-hand corner of a blank leaf at the front of volume 1.']	['v.1']
276063	Patronage. By Maria Edgeworth, author of ""Tales of a fashionable life,"" ""Belinda,"" ""Leonora,"" &c. In four volumes. Vol. I.	Edgeworth, Maria	1814	['John C. Mendenhall -- May 12. 1927']			['v.1']
276064	Parthenissa, that most fam'd romance. The six volumes compleat. Composed by the right honourable the Earl of Orrery.	Orrery, Roger Boyle	1676	['poor parthenissa hard was thy fate -- I was']			
276066	Pamela's conduct in high life. Publish'd from her original papers to which are perfix'd, several curious letters written to the editor on the subject.	Kelly, John	1741	['James Dobbin -- 1762']			
276069	National tales. Vol. II.		1825	["... Carle's book."]		['Written in ink.']	['v.2']
276072	Modern chivalry: containing the adventures of a captain and Teague O'Regan, his servant. By H. H. Brackenridge, late a judge of the Supreme Court of Pennsylvania. With the last corrections and additions of the author. Vol. I.	Brackenridge, H. H	1819	['See Gazette Publications 279. Judge Brackenridge at one period of his life was a schoolmaster on the Eastern Shore of Maryland and near to him lived a family named Oregan, now calling themselves ""Riggin"", one of whom was the original Teague. Near Princess Anne. From E.K. Wilson Esq. 1833.']			['v.1"']
276073	Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part.	Swift, Jonathan	1720	['Joseph Dixon']		['Written in ink at the top right corner of the front free endpaper.']	
276075	Midnight weddings. A novel. In three volumes.	Meeke, Mary	1814	['Mary J. Knox (?) December 1821']			['v.1', 'v.2', 'v.3']
276082	Letters from Altamont in the capital, to his friends in the country.	Jenner, Charles	1767	['A present from M...(?) A Browne']			
276093	Corasmin, or, the minister; A romance. In three volumes. By the author of the Swiss emigrants. Volume I.	Murray, Hugh	1814	['Eliza Gifford', 'Nerquis H...shire']			['v.2']
276097	Christabelle, the maid of Rouen. A novel, founded on facts. By Mrs. Hanway, author of ""Ellinor,"" ""Andrew Stuart,"" and ""Falconbridge Abbey.""	Hanway, Mary Ann	1814	['Eliza Giffard, Nerquis Flintshire']			
276113	The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I.	Graves, Richard	1783	["S. C. Grave's"]	['Ink']	['On title page']	['v.2', 'v.3']
276114	The recluse of Norway by Miss Anna Maria Porter. In four volumes. Vol. I. 	Porter, Anna Maria	1814	['John C. Mendenhall']			['v.2', 'v.3']
276134	The famous romance of Tarsis and Zelie. Digested into ten books. Written originally in French. By the acute pen of a person of honour. Done into English by Charles Williams, Gent.	La Vayer de Boutigny	1685	['Ink']	['Words']	['Front blank page']	
276155	Tell-tale sophas, an eclectic fable, in three volumes. Founded on anecdotes, foreign and domestic. By John Battersby. Volume the second.	Battersby, John	1814	['Inscription']		['Illegible inscription on front free endpaper.']	
340846	The adventures of a bank-note. In two volumes. Vol. I.	Bridges, Thomas	1770	['Bridges (Thomas)']	['Pencil']	["Written on book plate; could be librarian's note, identifying the coat of arms."]	['v.1']
340848	The man of feeling.	Mackenzie, Henry	1771	['Ann Dunne']	['Ink']		
340856	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	Scott, Helenus	1782	['By Helenus Scott']		['On front pastedown', "Most likely librarian's note."]	
340910	The adventures of an East-India rupee. Wherein are interspersed, various anecdotes Asiatic, and European.	Scott, Helenus	1783	['Jos: P Norris']	['Ink']	['On full title page']	
340911	The adventures of a cork-screw; in which, under the pleasing method of a romance, the vices, follies and manner of the present age are exhibited and satirically delineated. Interspersed with striking anecdotes, characters and actions of persons in real-life; all drawn to promote virtue, expose vice, and laugh folly out of countenance.		1775	['Wm Thomson']	['Ink']	['On title page']	
341332	The affected indifference, a novel. Vol. I.		1771	['E. Bateman']	['Ink']	['Inscribed on top of title page']	['v.2']
341334	The American wanderer, through various parts of Europe, in a series of letters to a lady, (interspersed with a variety of interesting anecdotes) by a Virginian.		1783	['Wm. Monsell']	['Ink']	['On title page']	
341339	Anna: a sentimental novel. In a series of letters. In two volumes. Vol. I.		1782	['Ann Daunt']	['Ink']	['On first page of text']	['v.1']
341340	Arabian nights entertainments: consisting of one thousand and one stories, told by the Sultaness of the Indies to divert the Sultan from the execution of a bloody vow he had made to marry a lady every day, and have her head cut off next morning, to avenge himself for the disloyalty of his first Sultaness, &c. Containing a better account of the customs, manners, and religion of the Eastern nations, viz. Tartars, Persians, and Indians, than is to be met with in any author hitherto published. Translated into French from the Arabian MSS. by M. Galland, of the Royal Academy; and now done into English from the last Paris edition. The thirteenth edition. Vol. I.		1772	['Nicholas Maingy']	['Ink']	['On title page']	['v.1', 'v.2', 'v.3']
341344	The Birmingham counterfeit; or, invisible spectator. A sentimental romance. In two volumes. Vol. 1.		1772	['[first name illegible] Brockhurst 1779']	['Ink']	['Front free endpaper']	['v.1', 'v.2']
341346	Burton-Wood. In a series of letters. By a lady. Volume I.	Mackenzie, Anna Maria	1783	['[?] Richardson']	['Ink']	['On first page of text']	['v.1']
341353	Cecilia, or memoirs of an heiress. By the author of Evelina. In five volumes. Vol. I.	Burney, Fanny	1782	["A[illegible] G [illegible]'s book 1814"]	['Pencil']	['On front free endpaper']	['v.2']
341354	Cecilia, or memoirs of an heiress. By the author of Evelina. The second edition. In five volumes. Vol. I.	Burney, Fanny	1783	['Charlotte Maria Thawhinson---From her godfather---Fr Bob Pigot__B[?]_']	['Ink']	['On recto of front free endpaper']	['v.1']
341358	The child of misfortune; or, the history of Mrs. Gilbert. By Mr. Thistlethwaite. In two volumes. Vol. I.	Thistlethwaite, James	1777	['Eliz. Bateman']	['Ink']	['On recto of front free endpaper']	['v.2']
341364	Chrysal: or, the adventures of a guinea. Wherein are exhibited views of several striking scenes: with curious and interesting anecdotes of the most noted persons in every rank of life, whose hands it passed through, in America, England, Holland, Germany and Portugal. By an adept. Vol. I.	Johnstone, Charles	1775	['John Merryweather']	['Ink']		['v.1']
341366	A collection of novels, selected and revised by Mrs. Griffith. Vol. I.		1777	['Salisbury Moore, May 1781']	['Ink']	['On top of title page']	['v.2']
341367	Colonel Ormsby; or the genuine history of an Irish nobleman, in the French service. Vol. I.		1781	['Joseph Arthur Bartlett the gift of Grandmother Bartlett 1845']	['Ink']	['On verso of last page of text.']	['v.1']
341371	The life and adventures of common sense: an historical allegory. Vol. I. The second edition.	Lawrence, Herbert	1771	['2nd edition by Herbert Lawrence the first appearance in print of the Bacon-Shakespeare controversy']	['Pencil']	["Most likely librarian's note"]	['v.1']
341374		Gunning	1783	['[illegible]']	['Ink']	['Inscription has been crossed out.', 'On title page']	
341377	The correspondents, an original novel; in a series of letters. The third edition.		1775	['[Illegible]']	['Pencil']	['On back free endpaper']	
341381	The genuine diestresses of Damon and Celia. In a series of letters between the late General Craufurd, Sir John Hussey Delaval, Bart. Sir Francis Blake Delaval, K. B. and two unfortunate lovers. By William Renwick. Vol. I.	Renwick, William	1771	['Wm. Sleigh']	['Ink']	['Located at top of title page']	['v.1']
341384	The Dean of Coleraine. A moral history: founded on the memoirs of an illustrious family in Ireland. A new edition, carefully corrected and improved. In three volumes. Vol. I.	PreÃÅvost	1780	["Translated from the french of l'ábbé Prevost"]	['Ink']	['On title page']	['v.1', 'v.2', 'v.3']
341388	The delicate distress: a novel. In letters. In two volumes. By Frances. Vol. I.	Griffith	1775	['Mrs. Woolbrook']	['Ink']	['On title page']	['v.1']
341393	The dénouement: or, history of Lady Louisa Wingrove. By a lady.	A Lady	1781	['J. Richardson']	['Ink']	['On top of first page of main text (B1).']	
341396	Dialogues of the dead with the living.	Parsons, Philip	1779	['Eliza Mondleton---a gift from a---dear friend']	['Ink']	['On recto of front free endpaper', 'Not entirely sure of transcription of last name']	
341403	The double disappointment; or, the history of Charles Marlow. In a series of letters. In two volumes. Vol. I.		1774	['Ann Freak']	['Ink']	['On title page']	['v.1']
341405	Edward. A novel. In two volumes. Dedicated (by permission) to her majesty. Vol. I.		1774	['Lady Bateman 2 vol:']	['Ink']	['On recto of front free endpaper']	['v.1', 'v.2']
341406	The history of Eliza Musgrove. In two volumes. Vol. I.		1770	['E. B.']	['Ink']	['First letter unclear']	['v.1']
341410	Maria; or the generous rustic.	Berkeley, George Monck	1784	['Henry Haewitt From his dear wife Lousia 1851']	['Ink']	['On recto of second front free end paper immediately before half title page for Maria, or the generous rustic']	
341413	Emma; or, the child of sorrow. A novel. In two volumes. Volume I.		1776	['E Bateman']	['Ink']	['On front free endpaper']	['v.2']
341418	The excursion. In two volumes. By Mrs. Brooke; author of the history of Lady Julia Mandeville, and of Emily Montague. Vol. I.	Brooke, Frances	1777	['Mary Spencer 2 vol']	['Ink']	['On top of first half title page']	['v.2']
341421	Fashionable follies: a novel. Containing the history of a Parisian family. In two volumes. Vol. I.	Vaughan, Thomas	1782	['2 vols---Vaughn, T']	['Pencil']	['On front free endpaper', "Possibly librarian's note"]	['v.1']
341422	The fashionable friend: a novel. In two volumes. Vol. I.	Bonhote	1773	['2 vols. Mary Berry. also attributed[?] to Horace Walpole[?]']	['Pencil']	['On front pastedown', "Possibly librarian's note."]	['v.1']
341425	Fatal obedience; or, the history of Mr. Freeland. In two volumes. Vol. I.		1780	['Eliz: Bateman']	['Ink']	['On title page']	['v.2']
341427	A father's instructions; consisting of moral tales, fables, and reflections; designed to promote the love of virtue, a taste for knowledge, and an early acquaintance with the works of nature. By Thomas Percival, M.D. F.R.S. and S.A. Member of the medical societies of London and Edinburgh; and of the Royal Society of Physicians at Paris. The fourth edition, revised and enlarged.	Percival, Thomas	1779	['Thomas J Edwards July 7th 1856']	['Ink']	['On first page of text']	
341429	A father's instructions to his children consisting of tales, fables, and reflections; designed to promote the love of virtue, a taste for knowledge, and an early acquaintance with the works of nature.	Percival, Thomas	1776	['R Richard Hamshar his book']	['Ink']	['On back free endpaper']	['v.2']
341431	The fault was all his own. A novel. In a series of letters. By a lady. In two volumes. [epigraph]. Volume the first.	Nichols, Elizabeth Eyton	1771	['Illegible']	['Ink']	['On sheet attached to recto of back free endpaper']	
341433	Female friendship: or the innocent sufferer. A moral novel. Volume the first.		1770	['[Illegible name]']	['Ink']	['Title page']	['v.1']
341434	The female Quixote; or, the adventures of Arabella. By Mrs. Lenox. In two volumes.	Lennox, Charlotte	1783	['Two volumes in one']	['Pencil']	['On title page', "Possibly librarian's note"]	['v.1']
341436	The female spectator. By Mrs. Eliza Haywood. The seventh edition. In four volumes. Volume I.	Haywood, Eliza Fowler	1771	['W.6']	['Pencil']	['On top left of front paste-down of all volumes']	['v.1', 'v.2', 'v.3', 'v.4']
341439	The female spectator. By Mrs Eliza Haywood. In four volumes. Volume I.	Haywood, Eliza Fowler	1775	['Jane Dorrell']	['Ink']	['On recto of front free endpaper']	['v.1', 'v.4']
341440	Female sensibility; or, the history of Emma Pomfret. A novel. Founded on facts.		1783	['John C. Mendenhall 1927']	['Ink']	['On title page']	
341441	Female stability: or, the history of Miss Belville. In a series of letters by the late Miss Palmer. Vol. I.	Palmer, Charlotte	1780	['J. Spencer']	['Ink']		['v.2', 'v.3', 'v.4', 'v.5']
341442	The fine lady a novel by the author of Miss Melmoth. In two volumes. Vol. I.	Briscoe, Sophia	1772	['Eliz: Bateman']	['Ink']	['On recto of front free endpaper']	['v.2']
341443	The fool of quality; or, the history of Henry Earl of Moreland. By Mr. Brooke. In four volumes. Vol. I. A new edition, greatly altered and improved.	Brooke, Henry	1776	['died at Dublin, 1783.']	['Ink']	['On bottom of title page, presumably about Henry Booke']	['v.1']
341452	The history of Arsaces, Prince of Betlis. [Epigraph.] By the editor of Chrysal. In two volumes. Volume I.	Johnstone, Charles	1774	['John Hallowell']	['Ink']	['First page of text (p.1)']	['v.1', 'v.2']
341454	The history of Lord Ashborn, and the honourable Miss Howe; or, the reclaimed libertine. In three volumes. By the author of Frederick, or the fortunate beggar. Vol. I.	Author of Frederick, or, The fortunate beggar	1773	['John Ray']	['Ink']	['On recto of front free end paper in all volumes']	['v.1', 'v.2', 'v.3']
341460	The history of Peggy Black and Wilmot Bond. Volume I.		1784	['L K M [?]']	['Ink']	['Unclear', 'On title page']	['v.1', 'v.3', 'v.4']
341461	The history of Sandford and Merton, a work intended for the use of children. Vol. III.	Day, Thomas	1783	['Josep[?]']	['Ink']	['Located on front free endpaper']	
341462	The history of the famous preacher Friar Gerund de Campazas: otherwise Gerund Zotes. Translated from the Spanish. In two volumes. Vol. I.	Isla, JoseÃÅ Francisco de	1772	['Edw. Pritham']	['Ink']	['On title page']	['v.1', 'v.2']
341463	The history of the Miss Baltimores; in a series of letters. Vol. I.		1783	['LL. Aug. 6th. 1783.']	['Ink']	['On full title page']	['v.1', 'v.2']
341466	The history of Tom Rigby. In three volumes. Vol. I.	Chater, John	1773	['Eliz. Bateman 3 vols']		['On title page']	['v.2', 'v.3']
341467	The expedition of Humphry Clinker. By the author of Roderick Random. In three volumes. Vol. I.	Smollett, Tobias George	1771	['Anna Susanna Salter her Book']	['Ink']	['p.1']	['v.1', 'v.3']
341468	The husband's resentment; or, the history of Lady Manchester. A novel. In two volumes. Vol. I.		1776	['D. of Beaufort']	['Ink']	['On verso of front free endpaper']	['v.1', 'v.2']
341475	The invisibe spy. By Explorabilis. In two volumes. Vol. I. A new edition.	Haywood, Eliza Fowler	1773	['James Egan']	['Ink']	['On back pastedown', 'Name is written three times']	['v.2']
341476	The Irish guardian. A pathetic story. In two volumes. By a lady. Vol. I.	A Lady	1776	['R.C. [Indeterminate] Lent[?]']	['Ink']		['v.1']
341477	The Irishman; or, the favourite of fortune: a satirical novel founded upon facts. In two volumes. Vol. 1		1772	['John Clarke']	['Ink']	['Front free endpaper']	['v.1']
341482	Julia de Roubigné, a tale. In a series of letters. Published by the author of the Man of Feeling, and the Man of the World. In two volumes. Vol. I.	Mackenzie, Henry	1777	["By Henry Mackenzie of his Majesty's Exchequer at Edinburgh."]	['Ink']	['On full title page, after author claim']	['v.1']
